sgRNA	Gene	HL60initial	HL60final	KBM7initial	KBM7final
A1CF_m52595977	A1CF	213	883	274	175
A1CF_m52596017	A1CF	294	1554	412	1891
A1CF_m52596056	A1CF	421	566	368	759
A1CF_m52603842	A1CF	274	314	243	855
A1CF_m52603847	A1CF	0	145	50	266
A1CF_p52595870	A1CF	623	1503	583	1117
A1CF_p52595881	A1CF	486	1775	378	1585
A1CF_p52596023	A1CF	195	783	429	774
A1CF_p52601638	A1CF	744	1233	459	2407
A1CF_p52603829	A1CF	76	332	142	471
AAAS_m53714382	AAAS	704	799	671	1426
AAAS_m53715169	AAAS	651	797	627	1690
AAAS_m53715176	AAAS	545	392	89	664
AAAS_m53715212	AAAS	254	429	340	742
AAAS_m53715238	AAAS	32	421	135	77
AAAS_p53714367	AAAS	323	652	328	469
AAAS_p53714374	AAAS	293	856	261	968
AAAS_p53714391	AAAS	283	954	399	940
AAAS_p53714405	AAAS	1119	2212	856	2715
AAAS_p53714441	AAAS	273	1093	327	829
AAK1_m69870049	AAK1	364	693	465	2006
AAK1_m69870056	AAK1	635	2234	707	3515
AAK1_m69870103	AAK1	485	914	452	629
AAK1_m69870119	AAK1	405	806	275	837
AAK1_m69870125	AAK1	274	1822	350	2101
AAK1_m69870131	AAK1	754	1411	763	2637
AAK1_m69870137	AAK1	905	512	294	798
AAK1_p69870063	AAK1	330	364	167	1139
AAK1_p69870070	AAK1	991	1790	718	1682
AAK1_p69870105	AAK1	190	922	163	1118
AATF_m35306444	AATF	449	1396	456	1402
AATF_m35306475	AATF	493	1102	612	537
AATF_m35306482	AATF	569	743	726	311
AATF_m35306509	AATF	250	476	322	204
AATF_m35307516	AATF	353	995	356	540
AATF_m35307525	AATF	276	514	146	291
AATF_p35306410	AATF	1426	2494	1104	1101
AATF_p35306466	AATF	189	289	245	0
AATF_p35307505	AATF	677	1154	269	481
AATF_p35307527	AATF	1487	2761	835	3255
AATK_m79102275	AATK	621	4568	435	1109
AATK_m79102281	AATK	465	1736	460	2651
AATK_m79102298	AATK	726	2538	798	2676
AATK_m79102320	AATK	1003	1932	655	3223
AATK_m79102325	AATK	633	1874	722	2030
AATK_p79102286	AATK	1284	1844	562	1624
AATK_p79102311	AATK	73	843	184	281
AATK_p79104850	AATK	298	507	316	602
AATK_p79104858	AATK	284	905	346	852
AATK_p79104864	AATK	597	2244	640	2543
ABCB8_m150725643	ABCB8	407	1738	583	2951
ABCB8_m150725669	ABCB8	821	1510	425	1077
ABCB8_m150730720	ABCB8	100	464	150	433
ABCB8_p150725600	ABCB8	298	350	225	482
ABCB8_p150725605	ABCB8	102	1396	146	428
ABCB8_p150725612	ABCB8	251	1110	107	685
ABCB8_p150725675	ABCB8	642	975	426	2565
ABCB8_p150730680	ABCB8	526	1012	481	1108
ABCB8_p150730705	ABCB8	743	1400	522	2105
ABCB8_p150730712	ABCB8	170	999	215	1004
ABCC1_m16043636	ABCC1	48	563	208	817
ABCC1_m16043645	ABCC1	1095	1280	551	1793
ABCC1_m16101705	ABCC1	873	1320	593	1374
ABCC1_m16101777	ABCC1	476	1487	410	1117
ABCC1_m16101788	ABCC1	453	754	296	857
ABCC1_m16101799	ABCC1	497	779	511	1023
ABCC1_p16043597	ABCC1	209	484	232	581
ABCC1_p16101667	ABCC1	218	392	140	695
ABCC1_p16101710	ABCC1	36	323	15	392
ABCC1_p16101721	ABCC1	1007	1399	684	2741
ABCF1_m30539291	ABCF1	147	305	163	871
ABCF1_p30539251	ABCF1	767	589	675	647
ABCF1_p30539272	ABCF1	756	1503	585	1612
ABCF1_p30545181	ABCF1	792	2674	678	3651
ABCF1_p30545587	ABCF1	33	1055	140	435
ABCF1_p30545605	ABCF1	341	692	218	550
ABCF1_p30545610	ABCF1	1344	2581	1012	2254
ABCF1_p30545638	ABCF1	145	641	212	844
ABCF1_p30545878	ABCF1	1369	1687	1120	755
ABCF1_p30545888	ABCF1	180	701	199	335
ABHD14B_m52004073	ABHD14B	322	616	191	546
ABHD14B_m52004106	ABHD14B	304	823	222	595
ABHD14B_m52004113	ABHD14B	394	1469	367	905
ABHD14B_m52004122	ABHD14B	1220	1559	1034	2275
ABHD14B_p52004005	ABHD14B	127	529	234	826
ABHD14B_p52004011	ABHD14B	341	1060	358	1399
ABHD14B_p52004019	ABHD14B	28	268	160	454
ABHD14B_p52004061	ABHD14B	265	598	341	324
ABHD14B_p52004076	ABHD14B	1415	3286	1062	2836
ABHD14B_p52004124	ABHD14B	584	1254	546	1988
ABI1_m27149710	ABI1	433	1145	671	574
ABI1_m27149743	ABI1	961	1282	396	1685
ABI1_m27149751	ABI1	839	1142	489	929
ABI1_m27149764	ABI1	139	322	187	470
ABI1_p27112164	ABI1	1163	1935	932	2368
ABI1_p27112174	ABI1	1010	3367	740	2458
ABI1_p27112180	ABI1	310	532	214	667
ABI1_p27149695	ABI1	158	242	43	324
ABI1_p27149701	ABI1	475	2839	439	1808
ABI1_p27149733	ABI1	84	395	265	348
ABL1_m133729449	ABL1	408	2194	211	1051
ABL1_m133729456	ABL1	779	1893	555	837
ABL1_m133729467	ABL1	670	2105	449	689
ABL1_m133729488	ABL1	423	1091	367	62
ABL1_m133729532	ABL1	953	3447	825	2456
ABL1_m133729594	ABL1	531	1802	283	137
ABL1_p133729441	ABL1	429	785	235	491
ABL1_p133729469	ABL1	633	1603	614	2103
ABL1_p133729492	ABL1	752	1616	660	701
ABL1_p133729502	ABL1	527	1071	298	400
ABL2_m179100447	ABL2	970	2465	578	2558
ABL2_m179100544	ABL2	442	868	151	527
ABL2_m179100554	ABL2	718	1451	407	1761
ABL2_m179100597	ABL2	423	1458	431	1285
ABL2_p179095768	ABL2	364	1280	325	822
ABL2_p179100489	ABL2	1567	2727	840	3472
ABL2_p179100503	ABL2	647	1579	560	881
ABL2_p179100524	ABL2	471	1198	266	1935
ABL2_p179100556	ABL2	412	1336	283	813
ABL2_p179100578	ABL2	424	871	321	886
ABLIM2_m8108265	ABLIM2	1080	1816	672	2314
ABLIM2_m8108274	ABLIM2	372	2237	784	2717
ABLIM2_m8108279	ABLIM2	458	755	338	1004
ABLIM2_m8108294	ABLIM2	709	2947	1285	3905
ABLIM2_m8108316	ABLIM2	198	245	173	304
ABLIM2_m8160405	ABLIM2	909	2217	1005	2001
ABLIM2_p8108286	ABLIM2	637	1768	561	2749
ABLIM2_p8108299	ABLIM2	639	2576	836	3115
ABLIM2_p8108320	ABLIM2	102	155	38	410
ABLIM2_p8108331	ABLIM2	885	2079	652	1885
ABT1_m26597238	ABT1	332	495	207	771
ABT1_m26597359	ABT1	244	940	222	469
ABT1_m26597388	ABT1	1186	1327	1115	492
ABT1_p26597221	ABT1	1087	1689	825	1735
ABT1_p26597240	ABT1	81	294	213	225
ABT1_p26597266	ABT1	671	520	420	528
ABT1_p26597293	ABT1	356	534	391	1045
ABT1_p26597300	ABT1	1063	669	430	385
ABT1_p26597313	ABT1	21	378	101	323
ABT1_p26597361	ABT1	231	492	252	360
ABTB1_m127395233	ABTB1	407	765	308	550
ABTB1_m127395403	ABTB1	576	765	877	2182
ABTB1_m127395808	ABTB1	806	1408	366	1592
ABTB1_m127395813	ABTB1	335	1368	199	1279
ABTB1_m127395855	ABTB1	381	1765	500	1327
ABTB1_m127395860	ABTB1	643	1404	621	2053
ABTB1_p127395220	ABTB1	444	1291	627	518
ABTB1_p127395242	ABTB1	573	1353	802	1655
ABTB1_p127395252	ABTB1	358	652	225	1348
ABTB1_p127395834	ABTB1	342	656	485	1442
ACAD11_m132378487	ACAD11	372	1310	404	1207
ACAD11_m132378519	ACAD11	273	719	248	639
ACAD11_m132378564	ACAD11	673	1657	870	2599
ACAD11_m132378578	ACAD11	358	789	334	810
ACAD11_p132378460	ACAD11	1103	1294	627	1663
ACAD11_p132378489	ACAD11	510	1345	745	1522
ACAD11_p132378501	ACAD11	725	1432	418	1513
ACAD11_p132378525	ACAD11	557	1139	648	2025
ACAD11_p132378547	ACAD11	35	398	262	250
ACAD11_p132378566	ACAD11	462	713	438	1096
ACAD9_m128598565	ACAD9	503	4007	521	3584
ACAD9_m128598607	ACAD9	91	326	121	476
ACAD9_m128598614	ACAD9	460	2733	544	923
ACAD9_m128598631	ACAD9	272	446	343	699
ACAD9_m128598636	ACAD9	388	489	297	253
ACAD9_p128598519	ACAD9	433	921	425	393
ACAD9_p128598525	ACAD9	391	430	299	1624
ACAD9_p128598545	ACAD9	564	1072	619	706
ACAD9_p128598551	ACAD9	789	1776	752	2200
ACAD9_p128598592	ACAD9	627	791	436	821
ACAT2_m160183168	ACAT2	448	568	147	619
ACAT2_m160183956	ACAT2	542	2289	577	1422
ACAT2_m160183968	ACAT2	1236	2875	1603	3082
ACAT2_p160183107	ACAT2	1384	1743	1266	3058
ACAT2_p160183121	ACAT2	1135	3564	1085	2633
ACAT2_p160183133	ACAT2	354	1046	378	1292
ACAT2_p160183141	ACAT2	846	973	475	2007
ACAT2_p160183152	ACAT2	1487	3365	1057	4954
ACAT2_p160183940	ACAT2	15	41	0	39
ACAT2_p160183972	ACAT2	94	700	156	1177
ACBD6_m180471277	ACBD6	800	1321	292	827
ACBD6_m180471338	ACBD6	764	692	459	1002
ACBD6_m180471378	ACBD6	403	1241	325	864
ACBD6_p180471251	ACBD6	332	896	115	609
ACBD6_p180471256	ACBD6	73	877	161	1202
ACBD6_p180471263	ACBD6	242	441	161	371
ACBD6_p180471279	ACBD6	539	1081	700	808
ACBD6_p180471286	ACBD6	492	1482	567	749
ACBD6_p180471344	ACBD6	708	2207	728	2977
ACBD6_p180471350	ACBD6	413	1196	303	1451
ACD_m67694254	ACD	799	2606	526	3199
ACD_m67694260	ACD	809	2093	931	1708
ACD_m67694316	ACD	190	648	254	674
ACD_m67694376	ACD	1262	1718	800	2069
ACD_p67694194	ACD	979	1841	589	2020
ACD_p67694285	ACD	414	874	279	1102
ACD_p67694333	ACD	209	249	137	449
ACD_p67694350	ACD	370	469	138	679
ACD_p67694355	ACD	512	1735	448	1603
ACD_p67694362	ACD	1082	2113	618	2505
ACHE_m100491721	ACHE	732	1307	492	991
ACHE_m100491729	ACHE	331	1364	468	1276
ACHE_m100491735	ACHE	1034	2107	902	2308
ACHE_m100491767	ACHE	1059	1539	990	1648
ACHE_m100491773	ACHE	384	257	219	395
ACHE_m100491779	ACHE	191	473	296	883
ACHE_m100491816	ACHE	201	603	237	592
ACHE_p100491631	ACHE	368	1066	331	1230
ACHE_p100491656	ACHE	1787	2773	961	4492
ACHE_p100491821	ACHE	588	606	627	579
ACIN1_m23535193	ACIN1	382	679	464	1012
ACIN1_m23538698	ACIN1	2330	3158	2150	1206
ACIN1_m23538715	ACIN1	576	531	555	727
ACIN1_m23538803	ACIN1	1655	1692	1195	272
ACIN1_m23538815	ACIN1	890	2350	1231	1743
ACIN1_p23538701	ACIN1	276	270	151	192
ACIN1_p23538719	ACIN1	436	1128	315	1105
ACIN1_p23538730	ACIN1	644	1051	265	800
ACIN1_p23538735	ACIN1	168	45	100	0
ACIN1_p23538745	ACIN1	387	894	345	473
ACLY_m40069993	ACLY	863	1801	795	1055
ACLY_m40070008	ACLY	223	82	256	42
ACLY_m40070029	ACLY	90	195	136	115
ACLY_m40070097	ACLY	337	443	330	426
ACLY_m40070116	ACLY	687	1961	621	1756
ACLY_p40069998	ACLY	597	853	403	1039
ACLY_p40070033	ACLY	1085	960	624	223
ACLY_p40070039	ACLY	214	141	142	629
ACLY_p40070062	ACLY	349	326	152	221
ACLY_p40070105	ACLY	518	887	268	1043
ACO2_m41865159	ACO2	811	1351	495	659
ACO2_m41895784	ACO2	561	1799	488	2344
ACO2_m41895810	ACO2	1517	2303	1009	2170
ACO2_m41895824	ACO2	402	463	188	1188
ACO2_m41903807	ACO2	323	1371	634	1351
ACO2_p41865164	ACO2	440	1056	175	852
ACO2_p41895716	ACO2	206	641	196	842
ACO2_p41895844	ACO2	180	596	296	1008
ACO2_p41903797	ACO2	386	598	375	175
ACO2_p41903813	ACO2	711	1887	275	1213
ACP1_m264983	ACP1	1432	2488	979	3262
ACP1_m264989	ACP1	991	2780	751	2161
ACP1_m272095	ACP1	348	785	377	1370
ACP1_m272137	ACP1	1177	1252	407	1058
ACP1_p264954	ACP1	862	1473	787	2180
ACP1_p272032	ACP1	1100	2170	804	2224
ACP1_p272042	ACP1	587	1412	667	1531
ACP1_p272054	ACP1	439	245	242	784
ACP1_p272099	ACP1	240	548	183	776
ACP1_p272185	ACP1	1106	1508	449	2250
ACRC_m70811980	ACRC	314	706	283	1554
ACRC_m70814198	ACRC	52	709	51	624
ACRC_p70800656	ACRC	176	846	386	980
ACRC_p70800697	ACRC	158	437	384	817
ACRC_p70800703	ACRC	948	1648	829	931
ACRC_p70800708	ACRC	1630	3904	1375	4302
ACRC_p70811990	ACRC	337	1838	341	2827
ACRC_p70814182	ACRC	464	2492	463	2331
ACRC_p70814187	ACRC	654	1521	618	1582
ACRC_p70814200	ACRC	1320	1494	726	1929
ACSL6_m131326625	ACSL6	436	1422	107	1026
ACSL6_m131326630	ACSL6	702	1272	341	2201
ACSL6_m131326651	ACSL6	429	1691	390	2488
ACSL6_m131329874	ACSL6	541	2163	602	1428
ACSL6_m131329908	ACSL6	688	884	488	734
ACSL6_p131329816	ACSL6	1223	1955	605	1719
ACSL6_p131329824	ACSL6	699	2121	551	725
ACSL6_p131329830	ACSL6	524	824	414	706
ACSL6_p131329859	ACSL6	165	515	127	533
ACSL6_p131329878	ACSL6	618	1583	808	2013
ACSS2_m33470722	ACSS2	500	859	202	662
ACSS2_m33500924	ACSS2	405	1683	333	1551
ACSS2_m33500940	ACSS2	1126	1695	531	3562
ACSS2_m33500955	ACSS2	426	820	498	1500
ACSS2_m33501214	ACSS2	463	845	421	1776
ACSS2_m33501222	ACSS2	451	1371	438	1376
ACSS2_p33470688	ACSS2	599	1065	350	1819
ACSS2_p33500893	ACSS2	64	1128	252	1621
ACSS2_p33500928	ACSS2	272	1819	454	1851
ACSS2_p33501184	ACSS2	475	799	299	608
ACTL6A_m179287950	ACTL6A	259	304	218	159
ACTL6A_m179287986	ACTL6A	450	470	202	590
ACTL6A_p179287878	ACTL6A	353	157	283	417
ACTL6A_p179287892	ACTL6A	283	1190	377	1878
ACTL6A_p179287902	ACTL6A	513	988	498	1159
ACTL6A_p179287911	ACTL6A	872	1947	670	1268
ACTL6A_p179287920	ACTL6A	818	1910	657	1654
ACTL6A_p179287966	ACTL6A	1006	869	410	304
ACTL6A_p179287976	ACTL6A	216	1954	555	1047
ACTL6A_p179291144	ACTL6A	126	232	253	721
ACTL6B_m100253076	ACTL6B	629	2063	628	1552
ACTL6B_m100253081	ACTL6B	396	750	389	916
ACTL6B_m100253086	ACTL6B	434	1882	521	2074
ACTL6B_m100253168	ACTL6B	511	748	529	2164
ACTL6B_m100253443	ACTL6B	758	2678	723	2516
ACTL6B_m100253971	ACTL6B	329	361	258	1120
ACTL6B_p100253037	ACTL6B	949	1018	460	2309
ACTL6B_p100253066	ACTL6B	669	889	576	767
ACTL6B_p100253094	ACTL6B	643	2197	793	1129
ACTL6B_p100253446	ACTL6B	823	1720	466	826
ACTL7A_m111624641	ACTL7A	1314	2510	876	3213
ACTL7A_m111624669	ACTL7A	377	956	215	842
ACTL7A_m111624684	ACTL7A	363	962	196	1151
ACTL7A_m111624726	ACTL7A	276	661	171	450
ACTL7A_m111624736	ACTL7A	594	578	467	763
ACTL7A_p111624607	ACTL7A	236	885	403	1854
ACTL7A_p111624631	ACTL7A	449	599	404	568
ACTL7A_p111624686	ACTL7A	232	168	67	519
ACTL7A_p111624691	ACTL7A	228	953	280	1363
ACTL7A_p111624699	ACTL7A	826	1417	437	950
ACTN1_m69392359	ACTN1	371	1423	199	1037
ACTN1_m69392382	ACTN1	466	1342	515	2479
ACTN1_m69445694	ACTN1	212	816	355	193
ACTN1_m69445700	ACTN1	476	1643	322	1666
ACTN1_m69445718	ACTN1	739	1746	356	1278
ACTN1_m69445724	ACTN1	1001	2437	742	2097
ACTN1_p69392370	ACTN1	1446	3111	919	3490
ACTN1_p69445679	ACTN1	175	381	74	334
ACTN1_p69445708	ACTN1	122	395	142	420
ACTN1_p69445745	ACTN1	591	1213	419	1105
ACTN4_m39138399	ACTN4	540	1210	400	1730
ACTN4_m39138430	ACTN4	111	596	149	620
ACTN4_m39138527	ACTN4	146	398	90	67
ACTN4_p39138381	ACTN4	447	1075	358	1450
ACTN4_p39138403	ACTN4	570	1744	837	2822
ACTN4_p39138433	ACTN4	590	1627	473	1689
ACTN4_p39138459	ACTN4	1072	1897	1136	2800
ACTN4_p39138465	ACTN4	1160	1726	610	2233
ACTN4_p39138476	ACTN4	306	1675	268	1709
ACTN4_p39138482	ACTN4	927	2530	566	2890
ACTR1A_m104248862	ACTR1A	719	2213	1214	2147
ACTR1A_m104250350	ACTR1A	284	189	126	193
ACTR1A_m104250365	ACTR1A	274	1128	91	1252
ACTR1A_p104248833	ACTR1A	547	1032	420	1967
ACTR1A_p104248866	ACTR1A	664	741	375	301
ACTR1A_p104250290	ACTR1A	412	3242	416	1959
ACTR1A_p104250304	ACTR1A	445	1731	586	2020
ACTR1A_p104262351	ACTR1A	662	1218	619	4097
ACTR1A_p104262374	ACTR1A	910	1189	407	1732
ACTR1A_p104262383	ACTR1A	844	342	471	627
ACTR3_m114684932	ACTR3	697	1401	767	693
ACTR3_m114688941	ACTR3	781	1286	589	326
ACTR3_p114674498	ACTR3	896	2125	664	1851
ACTR3_p114684915	ACTR3	609	1110	464	998
ACTR3_p114684941	ACTR3	648	1964	616	2548
ACTR3_p114684946	ACTR3	524	1193	309	643
ACTR3_p114684953	ACTR3	58	287	358	1091
ACTR3_p114688931	ACTR3	491	927	433	1553
ACTR3_p114691883	ACTR3	369	663	437	816
ACTR3_p114691894	ACTR3	1477	2229	1267	2034
ACTR5_m37377141	ACTR5	589	2529	527	2963
ACTR5_m37377155	ACTR5	65	659	208	363
ACTR5_m37377161	ACTR5	233	842	309	355
ACTR5_m37377171	ACTR5	298	764	250	685
ACTR5_m37377189	ACTR5	462	2502	436	1189
ACTR5_p37377163	ACTR5	362	1571	463	789
ACTR5_p37377178	ACTR5	258	1370	374	888
ACTR5_p37377198	ACTR5	254	673	270	1140
ACTR5_p37377204	ACTR5	198	570	172	543
ACTR5_p37377211	ACTR5	695	755	416	492
ACTR8_m53916047	ACTR8	1690	3444	1323	1592
ACTR8_m53916057	ACTR8	675	1179	566	350
ACTR8_m53916067	ACTR8	862	398	651	74
ACTR8_m53916073	ACTR8	1021	1269	741	2580
ACTR8_m53916081	ACTR8	1310	309	1157	411
ACTR8_m53916091	ACTR8	239	361	440	1091
ACTR8_m53916096	ACTR8	1170	565	567	388
ACTR8_m53916103	ACTR8	615	2350	814	1844
ACTR8_m53916111	ACTR8	443	913	609	1874
ACTR8_m53916121	ACTR8	194	157	230	78
ACTRT3_m169487192	ACTRT3	347	346	97	310
ACTRT3_m169487204	ACTRT3	257	950	156	1253
ACTRT3_m169487242	ACTRT3	1477	1672	907	2552
ACTRT3_m169487247	ACTRT3	294	457	470	812
ACTRT3_m169487252	ACTRT3	193	553	481	1045
ACTRT3_m169487267	ACTRT3	432	1343	381	1621
ACTRT3_m169487273	ACTRT3	549	282	406	1198
ACTRT3_m169487289	ACTRT3	760	752	300	681
ACTRT3_p169487206	ACTRT3	24	715	229	1043
ACTRT3_p169487280	ACTRT3	1000	2005	564	1704
ACVR1B_m52369170	ACVR1B	280	1538	468	2861
ACVR1B_m52369187	ACVR1B	707	1605	652	1647
ACVR1B_m52369192	ACVR1B	430	2364	268	748
ACVR1B_m52369211	ACVR1B	1029	1684	754	2786
ACVR1B_m52369226	ACVR1B	35	515	205	205
ACVR1B_m52369237	ACVR1B	1002	1931	865	1920
ACVR1B_p52369196	ACVR1B	276	275	160	415
ACVR1B_p52369243	ACVR1B	471	963	422	783
ACVR1B_p52369255	ACVR1B	114	70	94	263
ACVR1B_p52369266	ACVR1B	796	2414	679	2199
ACVR1C_m158401016	ACVR1C	305	723	258	1114
ACVR1C_m158401030	ACVR1C	748	2126	808	3206
ACVR1C_m158401075	ACVR1C	193	471	176	1063
ACVR1C_m158401097	ACVR1C	654	1557	444	1665
ACVR1C_m158401113	ACVR1C	224	486	185	717
ACVR1C_m158443700	ACVR1C	675	1390	359	2446
ACVR1C_m158443841	ACVR1C	323	1419	290	1520
ACVR1C_p158443781	ACVR1C	335	1156	259	1715
ACVR1C_p158443786	ACVR1C	959	2009	517	2015
ACVR1C_p158443795	ACVR1C	1008	2106	588	2524
ACVR1_m158637033	ACVR1	652	2567	426	2204
ACVR1_m158637046	ACVR1	485	2055	382	1724
ACVR1_m158637054	ACVR1	198	904	488	680
ACVR1_m158637066	ACVR1	483	1070	371	1150
ACVR1_m158655997	ACVR1	918	2692	1304	3010
ACVR1_p158637019	ACVR1	455	1145	605	1331
ACVR1_p158637035	ACVR1	1370	2676	776	3298
ACVR1_p158637068	ACVR1	469	2288	810	2807
ACVR1_p158655928	ACVR1	196	851	173	587
ACVR1_p158655958	ACVR1	279	1070	203	569
ACVR2A_m148602752	ACVR2A	955	1182	561	1126
ACVR2A_m148602767	ACVR2A	1084	1782	799	3155
ACVR2A_m148653941	ACVR2A	396	746	368	2145
ACVR2A_m148653961	ACVR2A	587	1032	243	954
ACVR2A_p148602720	ACVR2A	961	2354	403	3163
ACVR2A_p148602754	ACVR2A	350	731	142	943
ACVR2A_p148653859	ACVR2A	169	959	350	1370
ACVR2A_p148653946	ACVR2A	648	1457	263	2080
ACVR2A_p148653965	ACVR2A	390	190	95	583
ACVR2A_p148653997	ACVR2A	1091	2469	1020	2845
ACVR2B_m38495825	ACVR2B	1404	3150	1332	2677
ACVR2B_m38518828	ACVR2B	275	2219	617	2134
ACVR2B_m38518849	ACVR2B	440	1134	415	662
ACVR2B_p38495805	ACVR2B	547	872	437	1040
ACVR2B_p38495827	ACVR2B	789	1598	618	2756
ACVR2B_p38518810	ACVR2B	780	2390	728	2354
ACVR2B_p38518817	ACVR2B	861	2617	991	3970
ACVR2B_p38518836	ACVR2B	997	1180	438	1663
ACVR2B_p38518841	ACVR2B	400	1162	279	1254
ACVR2B_p38518854	ACVR2B	1460	2715	918	3235
ACVRL1_m52306276	ACVRL1	627	2249	496	2456
ACVRL1_m52306307	ACVRL1	557	1651	550	1462
ACVRL1_m52306881	ACVRL1	1133	2525	621	2059
ACVRL1_m52306910	ACVRL1	868	2322	640	2264
ACVRL1_m52306921	ACVRL1	504	2326	296	958
ACVRL1_p52306245	ACVRL1	569	1736	548	2092
ACVRL1_p52306281	ACVRL1	813	2675	505	2225
ACVRL1_p52306287	ACVRL1	1148	2205	859	3686
ACVRL1_p52306296	ACVRL1	906	1150	633	1272
ACVRL1_p52306883	ACVRL1	1056	1842	636	2022
ADAD1_m123301295	ADAD1	405	1518	500	1011
ADAD1_m123301308	ADAD1	531	878	425	2224
ADAD1_m123301332	ADAD1	711	1699	630	1668
ADAD1_m123301345	ADAD1	350	1162	264	654
ADAD1_m123301366	ADAD1	358	1423	314	1337
ADAD1_p123301314	ADAD1	991	2078	793	2170
ADAD1_p123301335	ADAD1	538	595	230	508
ADAD1_p123301349	ADAD1	651	802	161	1162
ADAD1_p123301358	ADAD1	1190	3236	1074	4172
ADAD1_p123301373	ADAD1	628	1456	471	1346
ADAM10_m58974490	ADAM10	417	676	394	702
ADAM10_m59009777	ADAM10	367	1729	575	1785
ADAM10_m59009866	ADAM10	415	538	353	1216
ADAM10_m59009883	ADAM10	815	2685	1060	3758
ADAM10_m59041689	ADAM10	61	79	56	309
ADAM10_m59041696	ADAM10	340	649	258	592
ADAM10_p58974401	ADAM10	659	936	487	448
ADAM10_p58974481	ADAM10	911	2327	649	2141
ADAM10_p59009761	ADAM10	246	293	134	508
ADAM10_p59009767	ADAM10	603	1536	423	912
ADAM12_m128018982	ADAM12	438	661	199	612
ADAM12_m128019019	ADAM12	753	1714	735	1670
ADAM12_m128019025	ADAM12	381	1516	485	1073
ADAM12_m128076635	ADAM12	242	825	399	1111
ADAM12_m128076658	ADAM12	523	2270	432	2731
ADAM12_p128018991	ADAM12	35	132	39	389
ADAM12_p128019039	ADAM12	1241	1049	459	1058
ADAM12_p128076618	ADAM12	82	305	131	410
ADAM12_p128076641	ADAM12	768	2339	751	3211
ADAM12_p128076650	ADAM12	530	673	365	1328
ADAMTS5_m28338537	ADAMTS5	668	1079	722	2252
ADAMTS5_m28338697	ADAMTS5	727	859	422	1530
ADAMTS5_m28338702	ADAMTS5	410	994	280	1053
ADAMTS5_p28338524	ADAMTS5	614	1600	586	1039
ADAMTS5_p28338585	ADAMTS5	662	853	529	1072
ADAMTS5_p28338596	ADAMTS5	572	592	322	1002
ADAMTS5_p28338607	ADAMTS5	758	2009	530	1206
ADAMTS5_p28338612	ADAMTS5	78	278	166	479
ADAMTS5_p28338620	ADAMTS5	272	566	118	822
ADAMTS5_p28338667	ADAMTS5	759	1914	520	3378
ADAP1_m975089	ADAP1	321	830	356	1158
ADAP1_m975116	ADAP1	399	602	189	758
ADAP1_m975132	ADAP1	651	1919	530	1445
ADAP1_m994042	ADAP1	199	720	208	1240
ADAP1_m994066	ADAP1	114	324	38	622
ADAP1_m994071	ADAP1	781	416	405	603
ADAP1_m994091	ADAP1	598	569	686	1671
ADAP1_m994101	ADAP1	781	1441	449	1951
ADAP1_m994106	ADAP1	300	1070	372	872
ADAP1_p975103	ADAP1	619	837	400	2124
ADARB1_m46591572	ADARB1	140	358	105	629
ADARB1_m46595675	ADARB1	387	1117	265	697
ADARB1_m46595697	ADARB1	485	952	319	1089
ADARB1_m46595715	ADARB1	510	749	213	1177
ADARB1_m46595721	ADARB1	156	1880	414	1598
ADARB1_m46595779	ADARB1	453	304	98	253
ADARB1_p46595645	ADARB1	738	2401	566	2617
ADARB1_p46595700	ADARB1	503	1573	515	1321
ADARB1_p46595705	ADARB1	1352	2843	1069	4330
ADARB1_p46595724	ADARB1	234	485	73	397
ADARB2_m1779246	ADARB2	1268	2792	893	2559
ADARB2_m1779251	ADARB2	505	1496	337	1434
ADARB2_m1779266	ADARB2	1067	2870	1173	3299
ADARB2_m1779272	ADARB2	693	1077	289	1441
ADARB2_m1779308	ADARB2	776	1395	671	1709
ADARB2_m1779330	ADARB2	92	557	67	699
ADARB2_m1779337	ADARB2	453	1564	395	1305
ADARB2_p1421307	ADARB2	285	597	169	1128
ADARB2_p1421336	ADARB2	382	1398	306	1015
ADARB2_p1779233	ADARB2	301	627	129	1138
ADAR_m154574098	ADAR	1070	1931	579	1523
ADAR_m154574103	ADAR	90	441	75	1151
ADAR_m154574108	ADAR	1085	2361	615	1748
ADAR_m154574165	ADAR	458	865	292	1012
ADAR_m154574219	ADAR	432	2566	715	1758
ADAR_p154574043	ADAR	521	1702	589	1435
ADAR_p154574114	ADAR	68	61	110	35
ADAR_p154574121	ADAR	0	0	5	0
ADAR_p154574126	ADAR	233	372	227	594
ADAR_p154574157	ADAR	701	1072	294	1160
ADCK1_m78285328	ADCK1	451	1746	568	2962
ADCK1_m78285358	ADCK1	1053	2964	1107	4114
ADCK1_m78285376	ADCK1	993	2055	664	2136
ADCK1_m78285413	ADCK1	812	2571	763	3331
ADCK1_p78285311	ADCK1	591	1142	395	1055
ADCK1_p78285331	ADCK1	543	2344	433	3069
ADCK1_p78285341	ADCK1	795	1394	511	1709
ADCK1_p78285386	ADCK1	551	1076	387	1513
ADCK1_p78285402	ADCK1	848	2063	424	2210
ADCK1_p78285416	ADCK1	562	1550	449	3612
ADCK2_m140373155	ADCK2	53	158	55	371
ADCK2_m140373168	ADCK2	469	710	309	1295
ADCK2_m140373177	ADCK2	396	1181	453	747
ADCK2_m140373210	ADCK2	587	2377	354	1644
