sgRNA	gene	HeLa_T0_counts_rep1	HeLa_T0_counts_rep2	HeLa_T12_counts_rep1	HeLa_T12_counts_rep2
20731	random	249	269	918	291
20732	random	546	694	2429	863
20733	random	508	465	1395	635
20734	random	790	621	2549	846
20735	random	399	380	1348	433
20736	random	308	255	1104	251
20737	random	859	664	2648	767
20738	random	553	579	1950	825
20739	random	480	383	1520	491
20740	random	553	472	1923	595
20741	random	1075	751	3326	1139
20742	random	511	421	1197	455
20743	random	391	363	1184	616
20744	random	586	515	1903	678
20745	random	741	640	2124	880
20746	random	561	518	1937	577
20747	random	379	313	1263	390
20748	random	599	539	1393	645
20749	random	287	220	1047	335
20750	random	354	254	852	345
20751	random	802	601	3324	797
20752	random	366	375	1279	430
20753	random	623	393	1795	627
20754	random	705	566	2194	718
