guide	gene	HeLa_T0_counts_rep1	HeLa_T0_counts_rep2	HeLa_T12_counts_rep1	HeLa_T12_counts_rep2
hela_unique:non-targeting_01642	random	792	588	2515	940
hela_unique:non-targeting_01643	random	1029	762	2526	1053
hela_unique:non-targeting_01644	random	667	516	1902	710
hela_unique:non-targeting_01645	random	38	34	169	24
hela_unique:non-targeting_01646	random	915	627	2886	930
hela_unique:non-targeting_01647	random	486	484	1083	878
hela_unique:non-targeting_01648	random	580	435	1625	416
hela_unique:non-targeting_01649	random	442	379	1515	516
hela_unique:non-targeting_01650	random	552	372	1555	406
hela_unique:non-targeting_01651	random	371	325	1003	458
hela_unique:non-targeting_01652	random	860	689	2915	940
hela_unique:non-targeting_01653	random	642	546	2349	806
hela_unique:non-targeting_01654	random	882	805	3129	1048
hela_unique:non-targeting_01655	random	396	416	572	130
hela_unique:non-targeting_01656	random	665	565	2818	793
hela_unique:non-targeting_01657	random	300	271	1030	365
hela_unique:non-targeting_01658	random	588	420	1602	519
hela_unique:non-targeting_01659	random	610	547	1944	646
hela_unique:non-targeting_01660	random	370	252	1137	302
hela_unique:non-targeting_01661	random	416	301	1548	479
hela_unique:non-targeting_01662	random	378	245	848	301
hela_unique:non-targeting_01663	random	326	331	1027	496
hela_unique:non-targeting_01664	random	637	516	1871	558
hela_unique:non-targeting_01665	random	651	588	2597	694
hela_unique:non-targeting_01666	random	491	313	1512	428
hela_unique:non-targeting_01667	random	193	227	478	245
hela_unique:non-targeting_01668	random	327	233	989	231
hela_unique:non-targeting_01669	random	311	204	1378	236
hela_unique:non-targeting_01670	random	786	625	3225	700
hela_unique:non-targeting_01671	random	401	309	1382	326
hela_unique:non-targeting_01672	random	540	422	1680	522
hela_unique:non-targeting_01673	random	467	447	1656	640
hela_unique:non-targeting_01674	random	464	409	1670	608
hela_unique:non-targeting_01675	random	142	131	386	269
hela_unique:non-targeting_01676	random	821	720	2010	1027
hela_unique:non-targeting_01677	random	662	470	2029	572
hela_unique:non-targeting_01678	random	263	220	820	381
hela_unique:non-targeting_01679	random	418	413	1338	428
hela_unique:non-targeting_01680	random	730	474	1971	515
hela_unique:non-targeting_01681	random	130	139	553	270
hela_unique:non-targeting_01682	random	623	431	2012	629
hela_unique:non-targeting_01683	random	672	544	2192	651
hela_unique:non-targeting_01684	random	539	337	1256	334
hela_unique:non-targeting_01685	random	605	404	1805	453
hela_unique:non-targeting_01686	random	745	651	2357	1089
hela_unique:non-targeting_01687	random	525	396	1614	476
hela_unique:non-targeting_01688	random	1197	1023	3765	1401
hela_unique:non-targeting_01689	random	417	267	1165	610
hela_unique:non-targeting_01690	random	735	540	1993	660
hela_unique:non-targeting_01691	random	756	432	1810	485
hela_unique:non-targeting_01692	random	473	328	1510	398
hela_unique:non-targeting_01693	random	350	259	1340	468
hela_unique:non-targeting_01694	random	612	425	1806	781
hela_unique:non-targeting_01695	random	446	360	1501	476
hela_unique:non-targeting_01696	random	285	293	1040	497
hela_unique:non-targeting_01697	random	245	302	858	283
hela_unique:non-targeting_01698	random	697	531	2195	1050
hela_unique:non-targeting_01699	random	660	455	2700	539
hela_unique:non-targeting_01700	random	732	514	2314	711
hela_unique:non-targeting_01701	random	665	469	2441	612
hela_unique:non-targeting_01702	random	531	321	1669	551
hela_unique:non-targeting_01703	random	634	473	1568	633
hela_unique:non-targeting_01704	random	738	542	2095	958
hela_unique:non-targeting_01705	random	557	474	1646	832
hela_unique:non-targeting_01706	random	552	445	1347	641
hela_unique:non-targeting_01707	random	399	439	1378	603
hela_unique:non-targeting_01708	random	557	635	1670	739
hela_unique:non-targeting_01709	random	215	155	1266	391
hela_unique:non-targeting_01710	random	327	280	913	326
hela_unique:non-targeting_01711	random	795	698	2523	942
hela_unique:non-targeting_01712	random	235	284	730	361
hela_unique:non-targeting_01713	random	678	562	1974	684
hela_unique:non-targeting_01714	random	963	773	2954	931
hela_unique:non-targeting_01715	random	251	163	512	159
hela_unique:non-targeting_01716	random	95	110	488	106
hela_unique:non-targeting_01717	random	608	531	2322	835
hela_unique:non-targeting_01718	random	855	529	2209	675
hela_unique:non-targeting_01719	random	548	521	1757	697
hela_unique:non-targeting_01720	random	472	432	1556	553
hela_unique:non-targeting_01721	random	567	465	1897	500
hela_unique:non-targeting_01722	random	467	322	1307	518
hela_unique:non-targeting_01723	random	481	356	1623	508
hela_unique:non-targeting_01724	random	1148	911	3013	1219
hela_unique:non-targeting_01725	random	583	419	1935	441
hela_unique:non-targeting_01726	random	579	413	1786	581
hela_unique:non-targeting_01727	random	115	102	251	108
hela_unique:non-targeting_01728	random	784	528	2568	650
hela_unique:non-targeting_01729	random	415	386	1162	569
hela_unique:non-targeting_01730	random	471	385	1410	332
hela_unique:non-targeting_01731	random	421	299	1152	510
hela_unique:non-targeting_01732	random	701	667	2172	902
hela_unique:non-targeting_01733	random	867	624	1992	725
hela_unique:non-targeting_01734	random	368	409	1705	629
hela_unique:non-targeting_01735	random	1072	771	3552	951
hela_unique:non-targeting_01736	random	862	715	2632	979
hela_unique:non-targeting_01737	random	859	692	2845	1030
hela_unique:non-targeting_01738	random	696	550	2113	747
hela_unique:non-targeting_01739	random	461	391	1763	466
hela_unique:non-targeting_01740	random	414	379	1170	453
hela_unique:non-targeting_01741	random	443	363	1201	567
hela_unique:non-targeting_01742	random	429	413	1539	640
hela_unique:non-targeting_01743	random	844	707	2677	904
hela_unique:non-targeting_01744	random	332	333	989	382
hela_unique:non-targeting_01745	random	897	628	2818	868
hela_unique:non-targeting_01746	random	870	680	3006	704
hela_unique:non-targeting_01747	random	933	807	2956	1114
hela_unique:non-targeting_01748	random	711	588	2406	695
hela_unique:non-targeting_01749	random	482	448	1532	479
hela_unique:non-targeting_01750	random	245	283	1221	353
hela_unique:non-targeting_01751	random	718	562	1792	788
hela_unique:non-targeting_01752	random	1040	798	2987	1121
hela_unique:non-targeting_01753	random	660	626	1780	782
hela_unique:non-targeting_01754	random	983	787	3294	1106
hela_unique:non-targeting_01755	random	360	243	1237	386
hela_unique:non-targeting_01756	random	626	486	2437	835
hela_unique:non-targeting_01757	random	325	331	1103	368
hela_unique:non-targeting_01758	random	471	326	1526	567
hela_unique:non-targeting_01759	random	524	445	1800	547
hela_unique:non-targeting_01760	random	377	325	1292	447
hela_unique:non-targeting_01761	random	578	553	1909	655
hela_unique:non-targeting_01762	random	214	162	751	272
hela_unique:non-targeting_01763	random	717	472	1810	570
hela_unique:non-targeting_01764	random	633	383	1738	506
hela_unique:non-targeting_01765	random	491	393	1156	568
hela_unique:non-targeting_01766	random	700	525	2218	722
hela_unique:non-targeting_01767	random	551	520	1835	795
hela_unique:non-targeting_01768	random	394	312	1246	350
hela_unique:non-targeting_01769	random	224	181	837	110
hela_unique:non-targeting_01770	random	831	661	2779	763
hela_unique:non-targeting_01771	random	1109	899	3237	1086
hela_unique:non-targeting_01772	random	682	469	2006	512
hela_unique:non-targeting_01773	random	622	408	2075	636
hela_unique:non-targeting_01774	random	1008	595	2815	857
hela_unique:non-targeting_01775	random	587	500	2428	574
hela_unique:non-targeting_01776	random	706	525	2217	549
hela_unique:non-targeting_01777	random	688	492	2141	640
hela_unique:non-targeting_01778	random	505	350	1346	483
hela_unique:non-targeting_01779	random	152	181	639	148
hela_unique:non-targeting_01780	random	1082	903	3385	1378
hela_unique:non-targeting_01781	random	643	573	2548	873
hela_unique:non-targeting_01782	random	122	86	273	57
hela_unique:non-targeting_01783	random	527	471	1696	754
hela_unique:non-targeting_01784	random	879	809	2525	977
hela_unique:non-targeting_01785	random	672	631	2448	894
hela_unique:non-targeting_01786	random	520	447	1593	589
hela_unique:non-targeting_01787	random	930	683	3000	847
hela_unique:non-targeting_01788	random	647	545	1503	893
hela_unique:non-targeting_01789	random	62	118	175	52
hela_unique:non-targeting_01790	random	736	662	2412	837
hela_unique:non-targeting_01791	random	486	484	1076	592
hela_unique:non-targeting_01792	random	119	148	243	151
hela_unique:non-targeting_01793	random	723	470	2068	629
hela_unique:non-targeting_01794	random	617	558	2348	656
hela_unique:non-targeting_01795	random	684	384	1863	787
hela_unique:non-targeting_01796	random	1278	957	3848	1409
hela_unique:non-targeting_01797	random	570	357	1212	521
hela_unique:non-targeting_01798	random	489	487	1584	594
hela_unique:non-targeting_01799	random	708	536	1861	851
hela_unique:non-targeting_01800	random	384	282	974	315
hela_unique:non-targeting_01801	random	121	84	148	154
hela_unique:non-targeting_01802	random	582	568	1767	685
hela_unique:non-targeting_01803	random	505	336	1333	453
hela_unique:non-targeting_01804	random	662	461	1439	612
hela_unique:non-targeting_01805	random	987	714	2935	1260
hela_unique:non-targeting_01806	random	131	113	278	79
hela_unique:non-targeting_01807	random	361	346	1101	530
hela_unique:non-targeting_01808	random	798	626	3017	895
hela_unique:non-targeting_01809	random	96	41	348	100
hela_unique:non-targeting_01810	random	316	253	842	278
hela_unique:non-targeting_01811	random	520	375	1495	456
hela_unique:non-targeting_01812	random	755	551	2256	1000
hela_unique:non-targeting_01813	random	318	242	931	424
hela_unique:non-targeting_01814	random	722	525	2502	791
hela_unique:non-targeting_01815	random	845	643	2517	801
hela_unique:non-targeting_01816	random	760	558	2813	881
hela_unique:non-targeting_01817	random	269	268	937	300
hela_unique:non-targeting_01818	random	533	364	1856	544
hela_unique:non-targeting_01819	random	890	606	3237	840
hela_unique:non-targeting_01820	random	378	247	1394	445
hela_unique:non-targeting_01821	random	568	463	1690	681
hela_unique:non-targeting_01822	random	366	373	1236	346
hela_unique:non-targeting_01823	random	762	580	2035	970
hela_unique:non-targeting_01824	random	880	743	3135	889
hela_unique:non-targeting_01825	random	607	551	2609	777
hela_unique:non-targeting_01826	random	413	440	1154	556
hela_unique:non-targeting_01827	random	649	581	1867	671
hela_unique:non-targeting_01828	random	348	314	1171	343
hela_unique:non-targeting_01829	random	486	421	1734	549
hela_unique:non-targeting_01830	random	239	185	955	220
hela_unique:non-targeting_01831	random	741	561	2507	855
hela_unique:non-targeting_01832	random	546	620	2313	595
hela_unique:non-targeting_01833	random	540	469	1555	645
hela_unique:non-targeting_01834	random	584	523	1936	637
hela_unique:non-targeting_01835	random	415	293	1404	389
hela_unique:non-targeting_01836	random	276	245	696	253
hela_unique:non-targeting_01837	random	483	526	1634	745
hela_unique:non-targeting_01838	random	272	234	916	544
hela_unique:non-targeting_01839	random	457	357	1555	477
hela_unique:non-targeting_01840	random	670	640	2091	759
hela_unique:non-targeting_01841	random	213	335	1054	391
hela_unique:non-targeting_01842	random	373	353	1157	767
hela_unique:non-targeting_01843	random	228	228	712	283
hela_unique:non-targeting_01844	random	120	137	492	206
hela_unique:non-targeting_01845	random	745	540	2116	797
hela_unique:non-targeting_01846	random	499	392	1301	478
hela_unique:non-targeting_01847	random	915	659	3149	618
hela_unique:non-targeting_01848	random	895	621	2769	831
hela_unique:non-targeting_01849	random	1188	898	3699	1177
hela_unique:non-targeting_01850	random	352	274	1216	523
hela_unique:non-targeting_01851	random	625	611	2034	713
hela_unique:non-targeting_01852	random	688	493	2149	682
hela_unique:non-targeting_01853	random	908	759	3445	753
hela_unique:non-targeting_01854	random	687	720	2656	1049
hela_unique:non-targeting_01855	random	723	506	2010	536
hela_unique:non-targeting_01856	random	570	451	2315	685
hela_unique:non-targeting_01857	random	573	367	1897	758
hela_unique:non-targeting_01858	random	488	371	1464	613
hela_unique:non-targeting_01859	random	440	435	1339	472
hela_unique:non-targeting_01860	random	879	737	2451	1044
hela_unique:non-targeting_01861	random	517	459	1471	631
hela_unique:non-targeting_01862	random	637	520	1866	681
hela_unique:non-targeting_01863	random	426	315	1157	383
hela_unique:non-targeting_01864	random	953	832	2496	974
hela_unique:non-targeting_01865	random	1226	860	3965	1128
hela_unique:non-targeting_01866	random	804	748	1799	902
hela_unique:non-targeting_01867	random	574	490	1896	488
hela_unique:non-targeting_01868	random	706	632	2984	981
hela_unique:non-targeting_01869	random	802	509	2497	590
hela_unique:non-targeting_01870	random	275	245	967	460
hela_unique:non-targeting_01871	random	242	250	710	255
hela_unique:non-targeting_01872	random	873	672	2894	924
hela_unique:non-targeting_01873	random	706	598	2280	743
hela_unique:non-targeting_01874	random	814	673	2645	833
hela_unique:non-targeting_01875	random	827	602	2487	928
hela_unique:non-targeting_01876	random	649	534	2126	816
hela_unique:non-targeting_01877	random	589	425	1498	541
hela_unique:non-targeting_01878	random	1485	1203	4726	1871
hela_unique:non-targeting_01879	random	816	957	3012	1436
hela_unique:non-targeting_01880	random	287	317	1067	382
hela_unique:non-targeting_01881	random	211	231	744	457
hela_unique:non-targeting_01882	random	782	658	2286	894
hela_unique:non-targeting_01883	random	619	361	2008	642
hela_unique:non-targeting_01884	random	313	205	1116	285
hela_unique:non-targeting_01885	random	296	239	1224	240
hela_unique:non-targeting_01886	random	662	565	2364	885
hela_unique:non-targeting_01887	random	860	535	2262	739
hela_unique:non-targeting_01888	random	655	526	1889	673
hela_unique:non-targeting_01889	random	773	692	2283	926
hela_unique:non-targeting_01890	random	519	477	1776	506
hela_unique:non-targeting_01891	random	758	565	2377	791
hela_unique:non-targeting_01892	random	801	735	2839	913
hela_unique:non-targeting_01893	random	716	641	2271	930
hela_unique:non-targeting_01894	random	712	591	2126	738
hela_unique:non-targeting_01895	random	395	341	1172	373
hela_unique:non-targeting_01896	random	662	529	1930	712
hela_unique:non-targeting_01897	random	686	553	2385	707
hela_unique:non-targeting_01898	random	602	412	1695	704
hela_unique:non-targeting_01899	random	419	345	1068	494
hela_unique:non-targeting_01900	random	293	260	704	398
hela_unique:non-targeting_01901	random	470	321	1286	370
hela_unique:non-targeting_01902	random	452	365	1679	460
hela_unique:non-targeting_01903	random	344	211	962	185
hela_unique:non-targeting_01904	random	570	470	1464	514
hela_unique:non-targeting_01905	random	365	267	992	382
hela_unique:non-targeting_01906	random	691	422	1796	442
hela_unique:non-targeting_01907	random	697	485	2277	699
hela_unique:non-targeting_01908	random	359	247	856	388
hela_unique:non-targeting_01909	random	401	439	1857	488
hela_unique:non-targeting_01910	random	480	436	1442	379
hela_unique:non-targeting_01911	random	360	290	1118	359
hela_unique:non-targeting_01912	random	768	687	2551	999
hela_unique:non-targeting_01913	random	536	358	1641	440
hela_unique:non-targeting_01914	random	946	798	2812	922
hela_unique:non-targeting_01915	random	483	383	1611	632
hela_unique:non-targeting_01916	random	659	631	1661	904
hela_unique:non-targeting_01917	random	441	292	1147	332
hela_unique:non-targeting_01918	random	226	262	631	391
hela_unique:non-targeting_01919	random	748	609	1815	641
hela_unique:non-targeting_01920	random	281	196	879	329
hela_unique:non-targeting_01921	random	467	356	1204	552
hela_unique:non-targeting_01922	random	362	233	1243	425
hela_unique:non-targeting_01923	random	438	352	1171	503
hela_unique:non-targeting_01924	random	486	329	1639	508
hela_unique:non-targeting_01925	random	573	460	1651	501
hela_unique:non-targeting_01926	random	579	383	1674	479
hela_unique:non-targeting_01927	random	331	321	789	331
hela_unique:non-targeting_01928	random	789	820	2132	1095
hela_unique:non-targeting_01929	random	854	674	3235	914
hela_unique:non-targeting_01930	random	611	478	2092	608
hela_unique:non-targeting_01931	random	651	796	2441	714
hela_unique:non-targeting_01932	random	517	413	1910	485
hela_unique:non-targeting_01933	random	605	446	1964	806
hela_unique:non-targeting_01934	random	474	418	1382	520
hela_unique:non-targeting_01935	random	607	440	1794	608
hela_unique:non-targeting_01936	random	789	801	3030	826
hela_unique:non-targeting_01937	random	505	448	1677	636
hela_unique:non-targeting_01938	random	677	629	2164	877
hela_unique:non-targeting_01939	random	451	385	1637	512
hela_unique:non-targeting_01940	random	371	310	1015	457
hela_unique:non-targeting_01941	random	863	702	2797	713
hela_unique:non-targeting_01942	random	816	604	2064	793
hela_unique:non-targeting_01943	random	352	310	1487	370
hela_unique:non-targeting_01944	random	631	556	2197	618
hela_unique:non-targeting_01945	random	349	338	1342	282
hela_unique:non-targeting_01946	random	616	471	2383	569
hela_unique:non-targeting_01947	random	777	685	2692	1018
hela_unique:non-targeting_01948	random	800	655	2541	1074
hela_unique:non-targeting_01949	random	320	373	1378	455
hela_unique:non-targeting_01950	random	711	502	2313	466
hela_unique:non-targeting_01951	random	883	524	2382	564
hela_unique:non-targeting_01952	random	802	662	2449	823
hela_unique:non-targeting_01953	random	395	416	1261	438
hela_unique:non-targeting_01954	random	304	293	922	315
hela_unique:non-targeting_01955	random	607	639	2394	705
hela_unique:non-targeting_01956	random	303	330	1254	466
hela_unique:non-targeting_01957	random	1354	1093	3930	1373
hela_unique:non-targeting_01958	random	418	286	1508	450
hela_unique:non-targeting_01959	random	835	701	2797	825
hela_unique:non-targeting_01960	random	642	608	1923	788
hela_unique:non-targeting_01961	random	804	645	2572	706
hela_unique:non-targeting_01962	random	567	501	1665	786
hela_unique:non-targeting_01963	random	408	322	1072	456
hela_unique:non-targeting_01964	random	511	361	1408	645
hela_unique:non-targeting_01965	random	756	708	2481	972
hela_unique:non-targeting_01966	random	547	461	2023	622
hela_unique:non-targeting_01967	random	645	589	2142	744
hela_unique:non-targeting_01968	random	153	209	414	189
hela_unique:non-targeting_01969	random	183	132	510	94
hela_unique:non-targeting_01970	random	544	291	1499	514
hela_unique:non-targeting_01971	random	978	955	3227	1529
hela_unique:non-targeting_01972	random	350	267	1114	310
hela_unique:non-targeting_01973	random	489	330	1684	536
hela_unique:non-targeting_01974	random	507	354	1780	484
hela_unique:non-targeting_01975	random	955	747	3150	949
hela_unique:non-targeting_01976	random	824	573	2765	674
hela_unique:non-targeting_01977	random	453	287	1503	230
hela_unique:non-targeting_01978	random	689	751	2425	1066
hela_unique:non-targeting_01979	random	1230	945	4018	1062
hela_unique:non-targeting_01980	random	471	372	1588	676
hela_unique:non-targeting_01981	random	910	692	3148	749
hela_unique:non-targeting_01982	random	396	299	1620	588
hela_unique:non-targeting_01983	random	649	481	2018	548
hela_unique:non-targeting_01984	random	238	258	562	169
hela_unique:non-targeting_01985	random	105	30	282	145
hela_unique:non-targeting_01986	random	719	562	1858	883
hela_unique:non-targeting_01987	random	1017	776	3256	1099
hela_unique:non-targeting_01988	random	369	339	1389	272
hela_unique:non-targeting_01989	random	461	327	1270	421
hela_unique:non-targeting_01990	random	471	336	1081	367
hela_unique:non-targeting_01991	random	738	645	2249	1027
hela_unique:non-targeting_01992	random	378	323	1504	346
hela_unique:non-targeting_01993	random	266	277	665	233
hela_unique:non-targeting_01994	random	792	645	2576	1010
hela_unique:non-targeting_01995	random	502	540	1935	756
hela_unique:non-targeting_01996	random	1027	728	2978	1066
hela_unique:non-targeting_01997	random	466	476	1502	500
hela_unique:non-targeting_01998	random	1152	1169	4450	1222
hela_unique:non-targeting_01999	random	153	136	574	194
hela_unique:non-targeting_02000	random	831	621	2395	1001
hela_unique:non-targeting_02001	random	672	447	1596	601
hela_unique:non-targeting_02002	random	617	471	2061	553
hela_unique:non-targeting_02003	random	478	344	1751	510
hela_unique:non-targeting_02004	random	668	651	2050	1156
hela_unique:non-targeting_02005	random	542	422	1682	638
hela_unique:non-targeting_02006	random	381	214	1600	321
hela_unique:non-targeting_02007	random	541	404	1433	620
hela_unique:non-targeting_02008	random	405	417	1429	457
hela_unique:non-targeting_02009	random	446	363	1597	416
hela_unique:non-targeting_02010	random	365	306	939	445
hela_unique:non-targeting_02011	random	391	348	895	599
hela_unique:non-targeting_02012	random	1184	823	3218	1179
hela_unique:non-targeting_02013	random	445	340	1204	424
hela_unique:non-targeting_02014	random	583	411	1913	393
hela_unique:non-targeting_02015	random	410	300	1306	376
hela_unique:non-targeting_02016	random	118	71	0	0
hela_unique:non-targeting_02017	random	264	236	841	197
hela_unique:non-targeting_02018	random	1117	1072	3650	1429
hela_unique:non-targeting_02019	random	207	197	783	195
hela_unique:non-targeting_02020	random	429	353	1055	553
hela_unique:non-targeting_02021	random	680	632	1817	808
hela_unique:non-targeting_02022	random	12	20	67	8
hela_unique:non-targeting_02023	random	1166	980	3872	1025
hela_unique:non-targeting_02024	random	334	254	972	335
hela_unique:non-targeting_02025	random	1073	693	3431	932
hela_unique:non-targeting_02026	random	849	717	2973	907
hela_unique:non-targeting_02027	random	706	515	2180	683
hela_unique:non-targeting_02028	random	577	412	1913	605
hela_unique:non-targeting_02029	random	722	510	2430	620
hela_unique:non-targeting_02030	random	866	806	2939	919
hela_unique:non-targeting_02031	random	658	561	2089	541
hela_unique:non-targeting_02032	random	285	251	898	304
hela_unique:non-targeting_02033	random	1201	1001	4354	1362
hela_unique:non-targeting_02034	random	1024	646	2877	1082
hela_unique:non-targeting_02035	random	515	473	1546	534
hela_unique:non-targeting_02036	random	97	110	384	191
hela_unique:non-targeting_02037	random	649	472	2629	787
hela_unique:non-targeting_02038	random	1012	929	3226	901
hela_unique:non-targeting_02039	random	20	11	63	79
hela_unique:non-targeting_02040	random	492	448	1878	622
hela_unique:non-targeting_02041	random	551	428	1700	611
hela_unique:non-targeting_02042	random	540	476	1687	801
hela_unique:non-targeting_02043	random	497	518	1811	579
hela_unique:non-targeting_02044	random	558	453	1969	437
hela_unique:non-targeting_02045	random	694	550	1722	670
hela_unique:non-targeting_02046	random	724	559	1961	820
k562_hela:non-targeting_00697	random	211	175	535	183
k562_hela:non-targeting_00698	random	793	537	2198	878
k562_hela:non-targeting_00699	random	677	429	2103	538
k562_hela:non-targeting_00700	random	323	213	955	342
k562_hela:non-targeting_00701	random	484	296	1418	528
k562_hela:non-targeting_00702	random	919	766	2755	1076
k562_hela:non-targeting_00703	random	263	244	601	416
k562_hela:non-targeting_00704	random	433	380	1084	341
k562_hela:non-targeting_00705	random	404	410	1530	562
k562_hela:non-targeting_00706	random	373	369	945	587
k562_hela:non-targeting_00707	random	437	387	1653	552
k562_hela:non-targeting_00708	random	364	212	1208	294
k562_hela:non-targeting_00709	random	594	371	1236	504
k562_hela:non-targeting_00710	random	261	237	1015	169
k562_hela:non-targeting_00711	random	524	401	1841	619
k562_hela:non-targeting_00712	random	313	213	996	390
k562_hela:non-targeting_00713	random	913	711	3278	877
k562_hela:non-targeting_00714	random	861	802	2914	841
k562_hela:non-targeting_00715	random	827	610	2490	689
k562_hela:non-targeting_00716	random	446	450	1450	470
k562_hela:non-targeting_00717	random	211	149	673	139
k562_hela:non-targeting_00718	random	337	162	1031	377
k562_hela:non-targeting_00719	random	518	418	1427	453
k562_hela:non-targeting_00720	random	889	610	2813	758
k562_hela:non-targeting_00721	random	170	205	765	269
k562_hela:non-targeting_00722	random	186	149	726	272
k562_hela:non-targeting_00723	random	606	507	1668	600
k562_hela:non-targeting_00724	random	953	743	3361	1013
k562_hela:non-targeting_00725	random	381	280	1152	352
k562_hela:non-targeting_00726	random	937	893	3198	1002
k562_hela:non-targeting_00727	random	737	573	1903	614
k562_hela:non-targeting_00728	random	638	579	1810	713
k562_hela:non-targeting_00729	random	1314	1044	4777	1697
k562_hela:non-targeting_00730	random	472	393	1623	506
k562_hela:non-targeting_00731	random	435	480	1706	445
k562_hela:non-targeting_00732	random	753	772	2519	856
k562_hela:non-targeting_00733	random	1412	1065	4533	1428
k562_hela:non-targeting_00734	random	1048	800	3035	1334
k562_hela:non-targeting_00735	random	599	425	1707	527
k562_hela:non-targeting_00736	random	714	432	1863	531
k562_hela:non-targeting_00737	random	286	293	719	340
k562_hela:non-targeting_00738	random	992	846	3295	1180
k562_hela:non-targeting_00739	random	707	534	2567	683
k562_hela:non-targeting_00740	random	742	599	2636	1052
k562_hela:non-targeting_00741	random	581	568	1609	712
k562_hela:non-targeting_00742	random	180	133	579	139
k562_hela:non-targeting_00743	random	576	423	1734	730
k562_hela:non-targeting_00744	random	379	411	1116	486
k562_hela:non-targeting_00745	random	474	476	1856	702
k562_hela:non-targeting_00746	random	772	660	2145	750
k562_hela:non-targeting_00747	random	664	505	2009	858
k562_hela:non-targeting_00748	random	295	247	949	314
k562_hela:non-targeting_00749	random	559	363	2108	530
k562_hela:non-targeting_00750	random	263	203	675	269
k562_hela:non-targeting_00751	random	555	386	1970	547
k562_hela:non-targeting_00752	random	226	143	377	152
k562_hela:non-targeting_00753	random	443	400	1568	427
k562_hela:non-targeting_00754	random	632	433	2209	475
k562_hela:non-targeting_00755	random	417	258	1308	379
k562_hela:non-targeting_00756	random	704	537	2572	923
k562_hela:non-targeting_00757	random	1040	831	3545	1289
k562_hela:non-targeting_00758	random	2468	2106	7275	2713
k562_hela:non-targeting_00759	random	488	452	2044	606
k562_hela:non-targeting_00760	random	59	25	21	43
k562_hela:non-targeting_00761	random	326	305	1023	690
k562_hela:non-targeting_00762	random	368	232	965	296
k562_hela:non-targeting_00763	random	171	182	549	177
k562_hela:non-targeting_00764	random	223	229	461	334
k562_hela:non-targeting_00765	random	609	509	1926	711
k562_hela:non-targeting_00766	random	1082	837	3230	1320
k562_hela:non-targeting_00767	random	435	443	1235	663
k562_hela:non-targeting_00768	random	295	245	844	174
k562_hela:non-targeting_00769	random	956	832	2645	1274
k562_hela:non-targeting_00770	random	1012	879	3853	1132
k562_hela:non-targeting_00771	random	735	480	1853	685
k562_hela:non-targeting_00772	random	650	564	1765	653
k562_hela:non-targeting_00773	random	514	387	1749	708
k562_hela:non-targeting_00774	random	658	444	1702	477
k562_hela:non-targeting_00775	random	335	385	1220	523
k562_hela:non-targeting_00776	random	567	436	1840	504
k562_hela:non-targeting_00777	random	901	822	3135	1359
k562_hela:non-targeting_00778	random	1002	735	3723	821
k562_hela:non-targeting_00779	random	1035	755	2641	1158
k562_hela:non-targeting_00780	random	302	212	857	167
k562_hela:non-targeting_00781	random	443	374	1122	408
k562_hela:non-targeting_00782	random	575	447	1759	543
k562_hela:non-targeting_00783	random	681	554	2008	941
k562_hela:non-targeting_00784	random	667	583	2070	492
k562_hela:non-targeting_00785	random	551	582	1922	878
k562_hela:non-targeting_00786	random	388	412	1006	575
k562_hela:non-targeting_00787	random	275	233	936	304
k562_hela:non-targeting_00788	random	376	343	1248	359
k562_hela:non-targeting_00789	random	334	311	947	245
k562_hela:non-targeting_00790	random	356	393	1144	384
k562_hela:non-targeting_00791	random	414	425	1483	602
k562_hela:non-targeting_00792	random	146	84	471	114
k562_hela:non-targeting_00793	random	799	585	2401	812
k562_hela:non-targeting_00794	random	553	480	1765	573
k562_hela:non-targeting_00795	random	403	336	1586	432
k562_hela:non-targeting_00796	random	535	485	1699	632
k562_hela:non-targeting_00797	random	658	498	2299	848
k562_hela:non-targeting_00798	random	691	511	2442	802
k562_hela:non-targeting_00799	random	1013	815	3251	1169
k562_hela:non-targeting_00800	random	33	52	357	97
k562_hela:non-targeting_00801	random	792	744	2536	953
k562_hela:non-targeting_00802	random	99	93	480	141
k562_hela:non-targeting_00803	random	596	512	1998	803
k562_hela:non-targeting_00804	random	849	747	3048	740
k562_hela:non-targeting_00805	random	436	301	1197	507
k562_hela:non-targeting_00806	random	620	487	2167	654
k562_hela:non-targeting_00807	random	512	357	1622	563
k562_hela:non-targeting_00808	random	985	803	2979	1244
k562_hela:non-targeting_00809	random	605	461	1693	615
k562_hela:non-targeting_00810	random	574	353	2031	460
k562_hela:non-targeting_00811	random	333	304	1336	389
k562_hela:non-targeting_00812	random	199	189	730	339
k562_hela:non-targeting_00813	random	592	561	2512	1010
k562_hela:non-targeting_00814	random	647	590	2503	778
k562_hela:non-targeting_00815	random	385	362	1372	575
k562_hela:non-targeting_00816	random	796	785	2167	719
k562_hela:non-targeting_00817	random	342	332	1205	638
k562_hela:non-targeting_00818	random	518	400	1721	548
k562_hela:non-targeting_00819	random	411	327	1403	346
k562_hela:non-targeting_00820	random	748	580	2009	706
k562_hela:non-targeting_00821	random	315	212	1455	165
k562_hela:non-targeting_00822	random	744	650	2039	921
k562_hela:non-targeting_00823	random	475	329	1472	474
k562_hela:non-targeting_00824	random	384	312	996	419
k562_hela:non-targeting_00825	random	444	303	1311	223
k562_hela:non-targeting_00826	random	161	177	503	249
