Spacer	Gene	KBM7initialRep1	KBM7finalRep1	KBM7initialRep2	KBM7finalRep2	K562initial	K562final	Jiyoyeinitial	Jiyoyefinal	Rajiinitial	Rajifinal
CTRL00326	CTRL	276	141	200	173	290	538	76	65	109	20
CTRL00327	CTRL	394	263	391	362	221	637	66	110	219	88
CTRL00328	CTRL	802	393	696	557	563	734	137	183	296	78
CTRL00329	CTRL	869	816	745	701	693	1034	146	132	415	118
CTRL00330	CTRL	114	83	157	37	137	361	66	35	94	34
CTRL00331	CTRL	760	589	835	638	572	1052	354	215	412	94
CTRL00332	CTRL	1595	2047	2076	1726	1536	3123	629	457	1073	261
CTRL00333	CTRL	496	181	321	466	325	554	138	124	224	88
CTRL00334	CTRL	351	298	477	297	284	479	98	81	275	112
CTRL00335	CTRL	982	638	706	672	536	1109	97	286	441	186
CTRL00336	CTRL	216	139	194	170	182	495	27	67	100	40
CTRL00337	CTRL	256	486	367	324	288	453	126	65	184	28
CTRL00338	CTRL	1214	713	859	911	962	1986	167	386	812	295
CTRL00339	CTRL	561	262	632	488	415	1079	198	174	364	75
CTRL00340	CTRL	987	900	762	965	725	1238	186	158	498	145
CTRL00341	CTRL	68	39	89	62	46	23	0	26	31	21
CTRL00342	CTRL	668	306	648	518	530	829	276	133	429	111
CTRL00343	CTRL	1041	1015	796	956	815	1543	218	170	447	208
CTRL00344	CTRL	564	922	646	555	580	988	157	112	199	129
CTRL00345	CTRL	491	518	498	511	324	454	92	58	144	38
CTRL00346	CTRL	522	408	523	474	364	776	128	135	359	83
CTRL00347	CTRL	177	81	194	96	178	243	55	10	162	29
CTRL00348	CTRL	1158	702	737	702	1043	1724	349	244	683	203
CTRL00349	CTRL	209	139	196	75	191	175	24	31	73	18
CTRL00350	CTRL	2136	2357	2763	1826	2389	4061	634	572	1194	406
CTRL00351	CTRL	495	292	582	332	446	592	86	99	298	53
CTRL00352	CTRL	583	399	571	499	338	882	69	88	212	63
CTRL00353	CTRL	746	880	763	538	525	951	161	144	448	106
CTRL00354	CTRL	876	563	884	486	696	1315	114	208	555	99
CTRL00355	CTRL	45	74	26	100	24	34	0	42	3	7
CTRL00356	CTRL	666	776	873	570	559	1356	95	170	394	105
CTRL00357	CTRL	799	1047	1025	665	649	1269	113	162	401	173
CTRL00358	CTRL	444	405	290	308	294	694	77	127	225	39
CTRL00359	CTRL	1444	746	1064	1095	1172	1536	233	245	615	163
CTRL00360	CTRL	618	242	533	448	387	908	138	101	249	110
CTRL00361	CTRL	894	665	708	798	701	1221	185	136	376	120
CTRL00362	CTRL	294	228	410	384	242	406	96	119	180	55
CTRL00363	CTRL	795	318	627	683	616	1072	253	193	338	106
CTRL00364	CTRL	415	471	400	287	450	522	79	139	228	84
CTRL00365	CTRL	252	242	162	205	213	312	48	54	115	71
CTRL00366	CTRL	538	347	671	173	424	832	218	116	251	74
