Spacer	Gene	KBM7initialRep1	KBM7finalRep1	KBM7initialRep2	KBM7finalRep2	K562initial	K562final	Jiyoyeinitial	Jiyoyefinal	Rajiinitial	Rajifinal
CTRL00617	CTRL	71	65	37	23	74	14	19	10	20	34
CTRL00618	CTRL	89	137	240	313	169	212	2	56	57	10
CTRL00619	CTRL	510	397	561	226	423	282	165	100	405	99
CTRL00620	CTRL	689	888	631	660	653	1202	134	223	351	131
CTRL00621	CTRL	781	368	576	478	563	740	245	197	402	156
CTRL00622	CTRL	535	525	846	696	393	645	195	84	334	54
CTRL00623	CTRL	253	96	262	212	242	508	9	62	179	48
CTRL00624	CTRL	238	209	348	378	233	438	29	147	169	63
CTRL00625	CTRL	406	571	428	298	329	545	102	80	235	81
CTRL00626	CTRL	787	635	696	686	423	891	209	113	294	123
CTRL00627	CTRL	1617	1456	1908	1086	1219	2668	379	318	618	220
CTRL00628	CTRL	1580	1366	1411	1103	1432	1906	446	274	697	234
CTRL00629	CTRL	760	325	738	448	499	985	264	146	336	96
CTRL00630	CTRL	722	516	730	566	638	1367	262	169	389	153
CTRL00631	CTRL	1926	2062	2141	1560	1327	3163	345	508	820	249
CTRL00632	CTRL	571	289	523	722	363	829	186	90	285	107
CTRL00633	CTRL	25	0	36	6	12	5	16	6	6	2
CTRL00634	CTRL	478	129	392	340	321	533	99	87	211	63
CTRL00635	CTRL	824	846	945	497	519	1137	110	104	420	99
CTRL00636	CTRL	860	743	1079	770	683	834	312	150	318	104
CTRL00637	CTRL	909	650	962	520	832	811	116	177	509	181
CTRL00638	CTRL	156	100	96	132	101	362	24	17	13	19
CTRL00639	CTRL	498	301	552	155	385	1081	232	136	287	69
CTRL00640	CTRL	78	225	89	122	92	94	38	20	46	14
CTRL00641	CTRL	55	79	119	78	98	248	18	33	45	17
CTRL00642	CTRL	872	632	1000	756	768	2281	257	192	623	241
CTRL00643	CTRL	1697	1313	1864	1302	1381	1835	505	308	613	190
CTRL00644	CTRL	302	244	302	90	188	234	33	55	174	88
CTRL00645	CTRL	335	199	190	180	283	399	162	62	166	53
CTRL00646	CTRL	347	173	387	338	281	588	105	117	217	34
CTRL00647	CTRL	688	656	943	491	760	1502	178	270	457	146
CTRL00648	CTRL	879	603	732	768	669	1374	166	532	358	136
CTRL00649	CTRL	606	754	800	641	680	899	191	190	353	147
CTRL00650	CTRL	1664	641	1339	677	1019	932	419	312	993	140
CTRL00651	CTRL	1837	1063	2098	1557	1724	2581	414	405	978	323
CTRL00652	CTRL	1194	1120	1222	891	930	1706	274	264	441	219
CTRL00653	CTRL	1149	904	978	1070	763	1487	185	297	397	172
CTRL00654	CTRL	794	355	674	432	582	616	214	156	451	161
CTRL00655	CTRL	50	69	55	19	102	91	24	19	48	30
CTRL00656	CTRL	804	844	665	601	572	1666	256	212	531	139
CTRL00657	CTRL	157	20	168	126	157	183	28	14	63	26
CTRL00658	CTRL	38	15	15	10	50	103	0	5	22	4
CTRL00659	CTRL	956	748	840	853	546	871	207	182	482	170
CTRL00660	CTRL	1260	1303	1420	1004	1173	1979	375	332	602	242
CTRL00661	CTRL	589	641	631	385	455	768	115	95	291	66
CTRL00662	CTRL	69	90	69	64	40	25	129	24	62	17
CTRL00663	CTRL	823	586	840	405	723	1989	232	185	401	125
CTRL00664	CTRL	1095	1167	1262	724	1252	1667	275	274	493	177
CTRL00665	CTRL	500	352	531	353	380	276	82	131	148	66
CTRL00666	CTRL	573	597	684	515	526	1067	193	151	300	49
CTRL00667	CTRL	18	0	47	33	68	147	0	10	4	6
CTRL00668	CTRL	868	431	579	351	413	1085	102	132	259	148
CTRL00669	CTRL	367	243	392	164	298	546	58	77	208	52
CTRL00670	CTRL	838	639	491	718	391	783	220	251	485	115
CTRL00671	CTRL	122	67	84	83	87	149	0	27	92	21
CTRL00672	CTRL	369	285	275	277	272	369	47	114	141	52
CTRL00673	CTRL	26	32	53	2	56	57	25	24	50	12
CTRL00674	CTRL	1101	804	1032	630	721	1496	182	179	546	187
CTRL00675	CTRL	637	663	577	459	423	762	254	175	291	132
CTRL00676	CTRL	602	431	473	308	340	320	93	60	207	69
CTRL00677	CTRL	866	775	727	482	597	1021	198	295	381	170
CTRL00678	CTRL	1344	841	876	713	1091	1967	346	325	542	217
CTRL00679	CTRL	403	351	488	275	353	1028	199	129	194	35
CTRL00680	CTRL	1644	1631	1607	1246	1560	3596	483	287	1075	292
CTRL00681	CTRL	1550	2076	1356	933	964	1794	260	205	641	258
CTRL00682	CTRL	444	175	271	321	319	641	140	82	196	78
CTRL00683	CTRL	596	581	546	442	539	1045	151	143	394	61
CTRL00684	CTRL	1676	920	1776	1272	1430	2622	473	386	755	322
CTRL00685	CTRL	895	760	1256	927	753	1822	162	232	508	212
CTRL00686	CTRL	350	244	289	319	333	574	36	52	199	80
CTRL00687	CTRL	102	19	24	21	39	57	0	8	13	24
CTRL00688	CTRL	335	340	417	206	381	373	58	71	234	65
CTRL00689	CTRL	814	298	619	480	684	689	314	218	410	86
CTRL00690	CTRL	874	556	591	492	655	961	261	127	417	132
CTRL00691	CTRL	848	415	628	516	539	838	92	92	379	108
CTRL00692	CTRL	334	170	171	234	171	409	0	55	151	64
CTRL00693	CTRL	381	418	581	327	371	624	156	115	161	104
CTRL00694	CTRL	806	269	579	434	575	1163	144	101	410	100
CTRL00695	CTRL	1422	1059	1329	1628	813	1828	225	166	501	180
CTRL00696	CTRL	336	557	377	188	273	284	17	62	227	36
CTRL00697	CTRL	882	968	1204	466	956	1586	194	195	486	136
CTRL00698	CTRL	985	1174	842	648	787	808	235	305	564	186
CTRL00699	CTRL	732	680	437	598	501	858	231	136	360	147
CTRL00700	CTRL	291	213	272	255	180	440	144	69	175	45
CTRL00701	CTRL	292	93	208	194	314	659	73	76	157	41
CTRL00702	CTRL	484	248	277	352	259	507	60	105	262	56
CTRL00703	CTRL	176	60	178	56	237	185	15	35	167	27
CTRL00704	CTRL	534	442	655	381	369	985	76	107	311	115
CTRL00705	CTRL	163	161	234	173	151	108	80	46	72	13
CTRL00706	CTRL	416	328	408	193	300	566	100	105	178	74
CTRL00707	CTRL	425	504	584	409	359	403	47	80	265	67
CTRL00708	CTRL	659	598	751	328	493	657	133	131	337	79
CTRL00709	CTRL	826	971	1044	478	735	1290	167	95	337	158
CTRL00710	CTRL	178	192	126	79	85	191	48	41	120	37
CTRL00711	CTRL	176	69	256	139	226	327	86	52	103	41
CTRL00712	CTRL	1271	458	1216	770	871	1319	163	157	560	208
CTRL00713	CTRL	1190	854	1175	998	1123	2241	373	181	747	236
CTRL00714	CTRL	32890	24609	29655	24691	26116	45873	7031	6414	16507	5373
CTRL00715	CTRL	715	591	1078	467	707	863	152	85	269	121
CTRL00716	CTRL	688	404	389	355	280	927	122	129	234	105
CTRL00717	CTRL	337	167	299	212	252	263	90	145	190	40
CTRL00718	CTRL	369	391	430	336	388	659	111	129	196	165
CTRL00719	CTRL	310	343	306	202	167	654	64	101	96	45
CTRL00720	CTRL	671	580	382	393	502	817	184	121	223	85
CTRL00721	CTRL	361	378	631	537	452	596	106	119	292	74
CTRL00722	CTRL	1700	1840	1519	1040	1125	2021	363	315	506	179
CTRL00723	CTRL	103	160	115	76	103	265	44	47	90	22
CTRL00724	CTRL	492	215	466	673	335	508	32	78	181	62
CTRL00725	CTRL	743	613	949	535	501	1279	191	127	353	88
CTRL00726	CTRL	613	313	560	360	384	788	163	65	253	64
CTRL00727	CTRL	584	925	732	466	501	596	185	66	219	72
CTRL00728	CTRL	507	282	404	320	500	496	213	99	297	85
CTRL00729	CTRL	305	180	221	306	272	499	97	60	194	54
CTRL00730	CTRL	455	395	439	431	474	528	108	78	222	95
CTRL00731	CTRL	407	201	380	261	374	396	15	43	163	63
CTRL00732	CTRL	676	439	665	524	481	839	119	103	395	126
CTRL00733	CTRL	475	211	270	271	475	646	61	99	192	139
CTRL00734	CTRL	358	544	319	126	215	409	81	105	108	55
CTRL00735	CTRL	809	680	995	637	681	1211	169	189	376	121
CTRL00736	CTRL	675	365	423	391	366	1062	136	91	311	115
CTRL00737	CTRL	485	343	445	236	401	680	186	102	335	87
CTRL00738	CTRL	696	663	848	545	564	1031	236	179	366	94
CTRL00739	CTRL	1651	1403	1427	1296	998	1683	389	317	923	264
CTRL00740	CTRL	788	636	810	532	629	750	265	148	256	96
CTRL00741	CTRL	223	248	323	147	191	283	78	66	154	77
CTRL00742	CTRL	615	365	588	535	586	1133	164	99	305	122
CTRL00743	CTRL	645	654	655	320	414	741	66	107	331	78
CTRL00744	CTRL	393	206	511	210	291	426	127	142	307	78
CTRL00745	CTRL	1053	959	995	669	908	1438	279	195	387	126
CTRL00746	CTRL	1180	586	897	738	698	1384	148	148	363	173
CTRL00747	CTRL	1735	1858	1601	1325	1457	4270	385	435	887	329
CTRL00748	CTRL	918	757	914	934	1021	1316	379	206	577	187
CTRL00749	CTRL	210	143	359	216	253	458	121	131	115	65
CTRL00750	CTRL	154	8	92	73	130	240	23	23	54	3
CTRL00751	CTRL	696	328	603	307	429	686	64	170	309	131
CTRL00752	CTRL	1001	594	825	981	794	1578	174	167	514	185
CTRL00753	CTRL	533	296	434	391	271	685	100	153	190	69
CTRL00754	CTRL	645	376	537	455	584	1116	211	132	297	121
CTRL00755	CTRL	237	145	134	112	121	317	29	48	55	22
CTRL00756	CTRL	796	573	1065	719	705	1463	117	203	427	154
CTRL00757	CTRL	484	213	494	429	471	828	163	104	285	64
CTRL00758	CTRL	788	663	1081	564	554	704	187	174	291	152
CTRL00759	CTRL	1156	919	997	514	794	1648	279	228	455	161
CTRL00760	CTRL	1318	814	1365	1194	1323	1957	282	187	693	261
CTRL00761	CTRL	570	190	410	269	310	617	111	90	283	65
CTRL00762	CTRL	211	125	185	98	155	373	116	66	191	26
CTRL00763	CTRL	1202	569	725	784	710	1275	448	221	567	187
CTRL00764	CTRL	450	361	362	469	400	465	78	87	243	129
CTRL00765	CTRL	399	389	398	521	389	458	170	129	273	45
CTRL00766	CTRL	577	450	753	694	531	795	109	129	247	130
CTRL00767	CTRL	253	175	205	107	145	347	41	35	104	17
CTRL00768	CTRL	870	1038	839	714	439	838	293	60	293	122
CTRL00769	CTRL	481	267	342	433	282	798	76	142	294	102
CTRL00770	CTRL	816	434	803	534	484	694	93	142	343	107
CTRL00771	CTRL	356	322	278	246	294	732	135	112	200	64
CTRL00772	CTRL	324	360	347	205	426	483	193	50	255	59
CTRL00773	CTRL	563	595	662	783	439	769	143	162	301	80
CTRL00774	CTRL	916	572	1149	654	758	1435	117	220	538	152
CTRL00775	CTRL	885	599	777	463	672	1048	51	147	326	88
CTRL00776	CTRL	1211	1426	1128	948	791	1036	277	344	429	152
CTRL00777	CTRL	827	421	865	1167	675	1393	153	255	479	108
CTRL00778	CTRL	125	136	67	122	61	118	16	33	29	19
CTRL00779	CTRL	1168	1273	1004	762	811	1574	292	160	471	78
CTRL00780	CTRL	539	659	546	382	394	609	143	69	314	110
CTRL00781	CTRL	309	420	306	77	119	342	21	33	109	14
CTRL00782	CTRL	352	139	192	60	177	90	0	22	82	26
CTRL00783	CTRL	623	399	532	675	434	448	52	142	280	63
CTRL00784	CTRL	619	281	332	352	528	648	83	117	200	112
CTRL00785	CTRL	825	581	901	451	615	1344	68	201	440	170
CTRL00786	CTRL	565	382	396	598	447	695	87	36	151	65
CTRL00787	CTRL	655	591	434	676	446	691	187	190	409	152
CTRL00788	CTRL	1216	1157	1141	838	909	1592	390	189	538	102
CTRL00789	CTRL	154	222	112	75	107	187	0	19	70	19
CTRL00790	CTRL	1167	515	914	675	671	1280	162	134	465	119
CTRL00791	CTRL	2105	1418	2185	1357	1690	2973	437	552	1089	251
CTRL00792	CTRL	432	270	575	159	478	748	115	115	243	48
CTRL00793	CTRL	664	719	715	273	585	787	203	101	354	73
CTRL00794	CTRL	356	392	380	202	270	676	48	66	324	60
CTRL00795	CTRL	201	177	373	134	233	636	29	54	150	38
CTRL00796	CTRL	552	704	587	389	400	762	97	109	284	92
CTRL00797	CTRL	357	338	376	277	279	542	63	80	180	43
CTRL00798	CTRL	846	916	1317	662	818	1554	248	199	576	181
CTRL00799	CTRL	422	276	429	239	251	506	89	71	249	51
CTRL00800	CTRL	789	351	685	328	564	1170	249	181	355	145
CTRL00801	CTRL	193	161	258	178	293	299	115	32	94	27
CTRL00802	CTRL	727	463	688	557	666	1054	229	176	680	115
CTRL00803	CTRL	106	90	97	58	69	44	0	18	48	18
CTRL00804	CTRL	1137	910	962	664	874	2223	199	276	620	224
CTRL00805	CTRL	294	404	225	301	305	461	10	56	177	23
CTRL00806	CTRL	200	175	215	179	128	66	38	40	124	37
CTRL00807	CTRL	332	213	284	186	266	509	40	48	129	48
CTRL00808	CTRL	1824	1338	1905	2025	1271	2176	409	435	686	284
CTRL00809	CTRL	378	184	485	315	434	744	117	123	303	45
CTRL00810	CTRL	838	744	689	716	519	1266	197	128	432	147
CTRL00811	CTRL	381	245	331	146	143	328	23	19	144	52
CTRL00812	CTRL	1103	1072	939	799	878	1946	419	411	896	258
CTRL00813	CTRL	642	416	476	477	480	874	78	144	315	87
CTRL00814	CTRL	905	706	757	577	642	556	195	224	457	135
CTRL00815	CTRL	226	105	302	169	322	515	47	85	146	79
CTRL00816	CTRL	389	369	383	243	454	674	154	128	356	82
CTRL00817	CTRL	1264	1266	1895	944	1215	2003	376	299	691	287
CTRL00818	CTRL	2558	1376	2225	1647	1889	2236	662	475	950	326
CTRL00819	CTRL	82	19	98	121	31	190	0	39	41	13
CTRL00820	CTRL	989	694	887	599	824	1267	121	198	394	135
CTRL00821	CTRL	1601	1364	1812	1672	1248	1654	214	210	858	279
CTRL00822	CTRL	546	360	420	418	304	495	93	87	164	78
CTRL00823	CTRL	1337	1078	1473	986	1043	1594	194	209	555	173
CTRL00824	CTRL	1406	783	1259	773	1068	1537	300	271	805	236
CTRL00825	CTRL	145	49	127	86	174	203	31	37	79	23
CTRL00826	CTRL	476	324	333	335	394	1245	36	124	305	114
CTRL00827	CTRL	1069	1261	1557	1013	992	1543	311	216	609	127
CTRL00828	CTRL	819	545	925	680	622	1239	308	236	554	151
CTRL00829	CTRL	315	206	353	283	289	544	55	143	218	60
CTRL00830	CTRL	329	243	334	305	215	410	18	52	182	35
CTRL00831	CTRL	925	311	731	460	575	1657	124	272	263	93
CTRL00832	CTRL	228	265	264	222	245	543	107	110	163	54
CTRL00833	CTRL	1801	1324	1746	1381	1569	2512	402	399	940	289
CTRL00834	CTRL	202	185	166	119	147	285	42	38	91	23
CTRL00835	CTRL	562	491	688	558	658	1374	114	187	540	127
CTRL00836	CTRL	458	356	545	371	426	622	238	106	254	92
CTRL00837	CTRL	1094	668	820	551	623	1403	364	277	461	185
CTRL00838	CTRL	1000	798	1294	657	784	1291	117	207	529	133
CTRL00839	CTRL	635	520	485	248	421	1453	173	154	212	62
CTRL00840	CTRL	537	749	787	515	634	879	158	149	311	124
CTRL00841	CTRL	136	94	119	72	105	135	63	16	62	12
CTRL00842	CTRL	393	290	374	269	168	283	59	89	116	46
CTRL00843	CTRL	139	202	128	104	95	147	27	31	112	26
CTRL00844	CTRL	163	155	181	232	213	193	111	30	156	24
CTRL00845	CTRL	449	347	313	254	288	546	100	43	175	48
CTRL00846	CTRL	587	529	633	449	663	574	88	84	247	94
CTRL00847	CTRL	74	67	91	99	44	114	21	26	36	8
CTRL00848	CTRL	380	403	435	350	456	749	187	119	258	66
CTRL00849	CTRL	308	482	338	467	231	581	55	108	218	59
CTRL00850	CTRL	567	270	400	459	282	669	111	145	188	110
CTRL00851	CTRL	706	542	1029	337	672	673	162	122	253	98
CTRL00852	CTRL	810	346	696	492	700	558	185	121	348	132
CTRL00853	CTRL	1462	1230	1551	1389	1132	1900	168	362	677	236
CTRL00854	CTRL	252	94	294	128	192	145	85	66	147	62
CTRL00855	CTRL	752	434	664	438	516	867	240	252	493	95
CTRL00856	CTRL	706	780	858	621	531	1024	169	135	380	129
CTRL00857	CTRL	342	385	459	476	308	591	141	92	264	92
CTRL00858	CTRL	573	693	824	426	489	948	96	115	177	88
CTRL00859	CTRL	364	246	205	211	234	232	22	104	139	48
CTRL00860	CTRL	116	139	109	225	91	166	19	22	53	9
CTRL00861	CTRL	1141	676	902	938	752	997	293	197	628	114
CTRL00862	CTRL	819	471	697	435	529	1101	279	186	326	104
CTRL00863	CTRL	1121	988	1178	610	604	1143	345	172	412	182
CTRL00864	CTRL	965	692	945	669	784	1659	174	311	484	136
CTRL00865	CTRL	295	144	408	218	293	562	101	74	219	46
CTRL00866	CTRL	378	443	343	199	212	586	50	113	235	72
CTRL00867	CTRL	1397	1085	1331	1000	1219	1806	381	361	628	245
CTRL00868	CTRL	247	131	172	119	170	163	73	29	66	36
CTRL00869	CTRL	328	190	287	404	181	366	97	77	117	55
CTRL00870	CTRL	513	286	378	274	297	473	86	132	259	99
CTRL00871	CTRL	1516	1156	1879	921	1351	1703	337	347	823	217
CTRL00872	CTRL	264	211	255	287	145	138	0	37	98	17
CTRL00873	CTRL	491	324	467	415	295	503	135	83	257	62
CTRL00874	CTRL	561	345	425	396	307	769	86	134	226	96
CTRL00875	CTRL	69	11	33	28	31	85	20	1	9	3
CTRL00876	CTRL	736	730	445	440	457	591	116	225	196	56
CTRL00877	CTRL	630	335	416	507	360	400	149	126	231	64
CTRL00878	CTRL	203	191	298	180	230	219	74	93	105	20
CTRL00879	CTRL	1009	1310	977	647	650	1194	157	156	472	174
CTRL00880	CTRL	634	568	697	427	516	1011	150	164	394	129
CTRL00881	CTRL	525	418	395	322	431	444	189	91	323	48
CTRL00882	CTRL	1100	993	1073	1052	616	1389	138	217	507	155
CTRL00883	CTRL	38	0	2	13	7	0	0	5	0	0
CTRL00884	CTRL	226	70	202	210	249	230	84	103	169	50
CTRL00885	CTRL	1102	761	768	615	591	1320	273	198	416	186
CTRL00886	CTRL	569	404	527	411	355	653	58	72	260	95
CTRL00887	CTRL	957	822	908	451	631	1315	157	191	415	98
CTRL00888	CTRL	1151	957	1445	1362	1136	2097	343	207	592	278
CTRL00889	CTRL	589	185	476	381	407	459	111	67	256	96
CTRL00890	CTRL	253	198	175	125	200	365	66	89	164	37
CTRL00891	CTRL	496	308	557	547	438	683	105	110	276	146
CTRL00892	CTRL	1367	1071	1283	1003	1059	1995	381	266	713	247
CTRL00893	CTRL	1277	973	1299	802	1187	1882	237	244	751	248
CTRL00894	CTRL	634	223	509	502	489	550	157	109	325	124
CTRL00895	CTRL	162	139	140	148	117	147	32	17	84	18
CTRL00896	CTRL	399	559	569	530	493	777	110	75	226	57
CTRL00897	CTRL	874	655	818	677	633	1003	76	188	249	115
CTRL00898	CTRL	319	297	283	380	226	259	52	70	228	48
CTRL00899	CTRL	441	225	439	78	252	365	137	51	270	58
CTRL00900	CTRL	602	826	612	611	474	1049	144	118	357	93
CTRL00901	CTRL	208	182	167	113	161	483	17	58	71	58
CTRL00902	CTRL	415	258	338	298	263	518	122	101	182	37
CTRL00903	CTRL	135	54	231	135	101	184	75	47	111	18
CTRL00904	CTRL	563	427	501	412	403	705	210	57	216	78
CTRL00905	CTRL	119	45	138	30	88	306	29	20	29	28
CTRL00906	CTRL	223	262	249	55	164	415	107	43	128	47
CTRL00907	CTRL	1061	725	1023	889	730	1423	236	246	512	188
CTRL00908	CTRL	777	655	922	771	641	1392	153	131	391	150
CTRL00909	CTRL	35	15	51	13	38	7	1	8	10	2
CTRL00910	CTRL	1041	1014	1227	844	821	1298	254	312	520	162
CTRL00911	CTRL	333	291	319	453	204	413	127	50	142	74
CTRL00912	CTRL	342	365	396	261	329	708	85	68	214	48
CTRL00913	CTRL	417	483	526	480	540	447	252	129	265	110
CTRL00914	CTRL	809	421	691	371	479	1071	210	120	421	81
CTRL00915	CTRL	1299	497	1587	685	684	1696	173	184	654	113
CTRL00916	CTRL	644	656	1210	348	739	825	192	94	312	161
CTRL00917	CTRL	202	394	278	350	186	342	37	30	148	43
CTRL00918	CTRL	259	104	173	89	147	471	40	19	87	23
CTRL00919	CTRL	282	149	392	243	207	301	47	62	167	58
CTRL00920	CTRL	1376	1472	1496	1520	1014	2095	212	237	491	216
CTRL00921	CTRL	344	234	232	199	284	435	132	102	174	55
CTRL00922	CTRL	858	665	621	521	612	1096	131	175	311	123
CTRL00923	CTRL	167	353	226	175	164	227	41	39	91	57
CTRL00924	CTRL	516	378	462	496	439	824	108	173	284	87
CTRL00925	CTRL	329	311	266	212	174	684	103	73	121	31
CTRL00926	CTRL	260	134	260	240	101	385	53	27	75	10
CTRL00927	CTRL	1814	2700	1766	1429	1000	1847	284	311	609	231
CTRL00928	CTRL	813	504	700	359	593	1167	231	94	292	94
CTRL00929	CTRL	839	848	1002	750	897	1255	367	241	628	150
CTRL00930	CTRL	556	528	585	340	357	579	63	114	281	73
CTRL00931	CTRL	273	279	329	223	263	542	46	69	104	68
CTRL00932	CTRL	680	248	599	360	625	842	143	198	212	125
CTRL00933	CTRL	1098	918	1160	730	844	1965	112	186	466	160
CTRL00934	CTRL	561	363	341	389	373	871	125	75	267	120
CTRL00935	CTRL	140	17	44	11	54	191	0	12	90	12
CTRL00936	CTRL	1028	608	827	1060	634	1036	248	287	398	150
CTRL00937	CTRL	772	688	678	228	545	932	58	161	386	157
CTRL00938	CTRL	623	539	612	744	397	1003	92	125	310	84
CTRL00939	CTRL	218	331	110	101	137	162	85	37	61	24
CTRL00940	CTRL	568	240	904	399	513	808	246	115	302	83
CTRL00941	CTRL	198	163	190	141	163	152	0	35	132	14
CTRL00942	CTRL	473	294	336	313	396	541	73	60	251	53
CTRL00943	CTRL	603	490	523	319	621	1127	73	108	288	119
CTRL00944	CTRL	748	205	655	466	597	1086	165	153	325	159
CTRL00945	CTRL	343	259	298	120	207	222	60	77	195	66
CTRL00946	CTRL	1147	1066	1209	700	905	2435	301	230	523	237
CTRL00947	CTRL	232	130	154	108	133	95	11	35	63	29
CTRL00948	CTRL	433	360	352	255	284	439	34	110	206	85
CTRL00949	CTRL	309	243	506	371	302	494	83	69	154	81
CTRL00950	CTRL	412	565	485	387	232	463	76	114	251	92
CTRL00951	CTRL	182	85	205	82	117	238	57	20	46	24
CTRL00952	CTRL	337	175	453	254	170	456	109	51	130	30
CTRL00953	CTRL	536	425	501	578	362	426	136	106	234	78
CTRL00954	CTRL	1483	1107	1231	1061	862	1431	290	207	862	279
CTRL00955	CTRL	466	210	418	204	341	739	78	73	272	71
CTRL00956	CTRL	701	427	574	565	409	1264	132	138	282	98
CTRL00957	CTRL	84	23	41	70	80	34	25	18	62	43
CTRL00958	CTRL	2	18	15	14	0	17	0	8	1	0
CTRL00959	CTRL	293	307	184	122	125	112	148	139	136	45
CTRL00960	CTRL	1172	979	1075	1106	893	1315	321	275	613	194
CTRL00961	CTRL	1031	1166	1074	727	828	1214	249	240	447	207
CTRL00962	CTRL	922	604	926	587	750	946	237	143	500	136
CTRL00963	CTRL	1320	1161	1203	648	1031	1766	261	253	876	153
CTRL00964	CTRL	119	61	130	108	48	100	0	13	46	28
CTRL00965	CTRL	1018	912	1076	1120	830	1405	187	109	570	154
CTRL00966	CTRL	274	163	220	244	218	126	15	42	116	19
CTRL00967	CTRL	1603	1464	1304	1310	1062	1982	342	392	738	222
CTRL00968	CTRL	235	219	208	135	208	190	170	49	87	49
CTRL00969	CTRL	480	192	419	421	374	387	149	110	262	123
CTRL00970	CTRL	258	149	242	71	219	316	107	35	78	39
CTRL00971	CTRL	310	69	391	195	152	373	0	40	148	62
CTRL00972	CTRL	298	89	186	144	160	156	108	40	42	21
CTRL00973	CTRL	1614	1272	2049	1016	1380	2210	290	499	960	256
CTRL00974	CTRL	769	436	691	510	428	946	183	105	308	123
CTRL00975	CTRL	1142	1076	1330	797	795	1596	403	164	371	190
CTRL00976	CTRL	1723	1355	1392	1186	1380	2071	304	336	824	260
CTRL00977	CTRL	380	407	400	266	295	826	69	70	126	60
CTRL00978	CTRL	1111	796	1272	647	893	1341	317	211	672	159
CTRL00979	CTRL	439	361	484	336	362	805	95	75	259	74
CTRL00980	CTRL	707	687	642	703	518	1000	229	140	372	120
CTRL00981	CTRL	103	121	178	112	134	99	33	83	36	19
CTRL00982	CTRL	992	812	778	467	677	1053	164	155	435	241
CTRL00983	CTRL	276	379	316	126	356	348	101	59	110	27
CTRL00984	CTRL	55	2	49	25	88	243	0	26	34	5
CTRL00985	CTRL	1249	1166	1268	1030	649	1895	299	197	542	242
CTRL00986	CTRL	321	244	215	137	249	501	26	51	132	56
CTRL00987	CTRL	175	102	295	103	122	357	61	49	121	37
CTRL00988	CTRL	862	615	670	595	651	931	117	97	420	146
CTRL00989	CTRL	846	502	845	636	1005	1857	255	265	628	172
CTRL00990	CTRL	207	82	178	127	182	268	26	50	94	35
CTRL00991	CTRL	298	229	382	159	211	165	50	47	113	20
CTRL00992	CTRL	63	193	172	55	95	229	51	43	93	45
CTRL00993	CTRL	862	578	808	504	582	1000	128	176	503	85
CTRL00994	CTRL	528	399	556	345	376	1096	190	179	407	133
CTRL00995	CTRL	1317	1128	1409	680	1369	1925	435	395	914	325
CTRL00996	CTRL	715	423	449	562	483	1066	132	192	309	78
CTRL00997	CTRL	643	495	523	790	371	601	174	138	238	94
CTRL00998	CTRL	201	264	214	94	168	540	81	17	101	52
CTRL00999	CTRL	633	392	779	838	758	1197	88	126	309	120
CTRL01000	CTRL	410	384	476	346	457	766	92	48	252	83
CTRL01001	CTRL	898	558	1025	827	818	1786	238	156	378	108
CTRL01002	CTRL	131	34	66	123	106	120	64	52	30	13
CTRL01003	CTRL	1400	1245	1476	1425	834	1473	284	240	515	215
CTRL01004	CTRL	188	69	205	130	192	383	57	63	131	30
