ID	Target	Plasmid	8aB_rep1	8aB_rep2	8aB_rep3
A2M-1	A2M	810	0	530	243
A2M-2	A2M	587	88	30	0
A2M-3	A2M	1072	0	0	468
A2M-4	A2M	1452	0	0	337
A2M-5	A2M	495	0	0	475
A2M-6	A2M	1038	0	0	0
A3GALT2-1	A3GALT2	685	0	0	0
A3GALT2-2	A3GALT2	1238	0	0	679
A3GALT2-3	A3GALT2	1801	412	132	1961
A3GALT2-4	A3GALT2	609	0	0	0
A3GALT2-5	A3GALT2	218	0	0	0
A3GALT2-6	A3GALT2	451	0	0	0
A3GALT2-7	A3GALT2	722	0	125	0
A4GALT-1	A4GALT	1460	0	0	337
A4GALT-2	A4GALT	749	0	0	329
A4GALT-3	A4GALT	2446	0	316	838
A4GALT-4	A4GALT	473	0	0	0
A4GALT-5	A4GALT	76	0	0	0
A4GALT-6	A4GALT	2363	0	145	446
A4GALT-7	A4GALT	73	0	0	8
A4GNT-1	A4GNT	1078	0	515	383
A4GNT-2	A4GNT	117	0	0	0
A4GNT-3	A4GNT	143	633	0	0
A4GNT-4	A4GNT	444	1054	120	0
A4GNT-5	A4GNT	603	0	0	84
A4GNT-6	A4GNT	1382	0	304	4
A4GNT-7	A4GNT	1428	1011	0	614
AADAC-1	AADAC	63	0	0	0
AADAC-2	AADAC	2567	0	288	1825
AADAC-3	AADAC	935	0	0	0
AADAC-4	AADAC	1475	0	179	396
AADAC-5	AADAC	634	0	0	0
AADACL4-1	AADACL4	545	0	0	190
AADACL4-2	AADACL4	913	0	160	213
AADACL4-3	AADACL4	390	0	0	0
AADACL4-4	AADACL4	943	0	32	0
AADACL4-5	AADACL4	604	0	0	11
AADACL4-6	AADACL4	305	420	0	105
AADACL4-7	AADACL4	1587	0	297	487
AARS-1	AARS	0	0	0	0
AARS-2	AARS	1414	0	319	475
AARS-3	AARS	1810	0	459	18
AARS-4	AARS	651	0	0	438
AARS-5	AARS	413	0	0	196
AARS-6	AARS	1919	0	523	1357
AARS-7	AARS	314	0	334	548
AASDH-1	AASDH	1256	376	236	535
AASDH-2	AASDH	1012	0	0	698
AASDH-3	AASDH	694	0	501	285
AASDH-4	AASDH	901	0	0	235
AASDH-5	AASDH	634	0	0	370
AASDH-6	AASDH	1293	0	0	607
AASDH-7	AASDH	1469	1438	931	311
AATK-1	AATK	1058	0	0	333
AATK-10	AATK	1084	669	0	636
AATK-11	AATK	1143	0	0	166
AATK-12	AATK	1564	0	0	4
AATK-13	AATK	1132	0	1097	0
AATK-14	AATK	254	0	0	3
AATK-2	AATK	1376	0	669	206
AATK-3	AATK	188	0	330	0
AATK-4	AATK	204	0	0	0
AATK-5	AATK	936	0	0	0
AATK-6	AATK	574	0	0	1100
AATK-7	AATK	961	0	0	0
AATK-8	AATK	1935	429	0	0
AATK-9	AATK	1524	1783	558	354
ABCA10-1	ABCA10	2121	0	0	0
ABCA10-2	ABCA10	1174	308	128	21
ABCA10-3	ABCA10	556	0	0	1
ABCA10-4	ABCA10	1189	609	0	182
ABCA10-5	ABCA10	432	0	1	0
ABCA1-1	ABCA1	239	0	0	0
ABCA1-2	ABCA1	1103	0	1	1
ABCA12-1	ABCA12	801	0	656	0
ABCA12-2	ABCA12	771	0	170	253
ABCA12-3	ABCA12	388	0	0	446
ABCA12-4	ABCA12	1846	0	183	777
ABCA12-5	ABCA12	5	0	0	0
ABCA12-6	ABCA12	1389	0	0	1128
ABCA12-7	ABCA12	1634	1125	671	30
ABCA12-8	ABCA12	1255	0	225	218
ABCA1-3	ABCA1	582	0	0	109
ABCA13-1	ABCA13	1886	0	211	1024
ABCA13-2	ABCA13	167	0	0	0
ABCA13-3	ABCA13	1645	0	552	97
ABCA13-4	ABCA13	473	0	0	1
ABCA13-5	ABCA13	1441	0	0	1830
ABCA13-6	ABCA13	1137	0	181	113
ABCA13-7	ABCA13	316	0	0	0
ABCA13-8	ABCA13	2227	0	2	49
ABCA13-9	ABCA13	1047	0	0	0
ABCA1-4	ABCA1	141	0	0	0
ABCA1-5	ABCA1	514	0	264	0
ABCA1-6	ABCA1	887	0	0	140
ABCA1-7	ABCA1	0	0	0	0
ABCA2-1	ABCA2	716	0	0	20
ABCA2-10	ABCA2	861	0	261	0
ABCA2-11	ABCA2	443	0	46	0
ABCA2-12	ABCA2	627	0	0	0
ABCA2-2	ABCA2	1184	0	1	576
ABCA2-3	ABCA2	975	0	0	223
ABCA2-4	ABCA2	1535	1039	1481	705
ABCA2-5	ABCA2	1032	0	0	895
ABCA2-6	ABCA2	1329	0	0	1104
ABCA2-7	ABCA2	353	1683	0	0
ABCA2-8	ABCA2	1077	0	144	0
ABCA2-9	ABCA2	30	0	0	0
ABCA3-1	ABCA3	638	0	369	968
ABCA3-2	ABCA3	42	0	0	0
ABCA3-3	ABCA3	1105	447	1	2
ABCA3-4	ABCA3	1572	293	0	0
ABCA3-5	ABCA3	577	0	0	15
ABCA3-6	ABCA3	717	0	0	1
ABCA3-7	ABCA3	667	0	517	391
ABCA4-1	ABCA4	1214	0	0	209
ABCA4-2	ABCA4	545	0	0	430
ABCA4-3	ABCA4	2175	1	230	251
ABCA4-4	ABCA4	298	0	0	12
ABCA4-5	ABCA4	295	0	0	0
ABCA4-6	ABCA4	211	0	0	0
ABCA4-7	ABCA4	1260	0	127	700
ABCA5-1	ABCA5	690	0	0	1
ABCA5-2	ABCA5	320	0	151	0
ABCA5-3	ABCA5	301	0	175	0
ABCA5-4	ABCA5	2088	0	206	274
ABCA5-5	ABCA5	560	0	0	0
ABCA5-6	ABCA5	1609	0	622	0
ABCA5-7	ABCA5	1928	1214	0	672
ABCA5-8	ABCA5	154	0	0	0
ABCA6-1	ABCA6	1654	0	748	755
ABCA6-2	ABCA6	1018	0	153	10
ABCA6-3	ABCA6	608	0	0	0
ABCA6-4	ABCA6	1389	0	1098	0
ABCA6-5	ABCA6	470	0	0	739
ABCA6-6	ABCA6	1185	0	0	714
ABCA7-1	ABCA7	2341	0	276	0
ABCA7-10	ABCA7	1540	491	0	179
ABCA7-11	ABCA7	868	0	165	8
ABCA7-12	ABCA7	1611	0	90	687
ABCA7-13	ABCA7	454	0	564	4
ABCA7-14	ABCA7	448	575	41	1
ABCA7-2	ABCA7	880	0	156	711
ABCA7-3	ABCA7	95	0	0	0
ABCA7-4	ABCA7	933	0	828	0
ABCA7-5	ABCA7	791	0	642	0
ABCA7-6	ABCA7	0	0	0	0
ABCA7-7	ABCA7	445	0	0	0
ABCA7-8	ABCA7	1196	1168	0	410
ABCA7-9	ABCA7	528	0	0	0
ABCA8-1	ABCA8	41	0	0	0
ABCA8-2	ABCA8	1514	0	1489	0
ABCA8-3	ABCA8	191	0	0	0
ABCA8-4	ABCA8	199	0	0	0
ABCA8-5	ABCA8	1230	0	45	10
ABCA8-6	ABCA8	287	0	0	312
ABCA9-1	ABCA9	13	0	0	0
ABCA9-2	ABCA9	1821	0	70	551
ABCA9-3	ABCA9	0	0	0	0
ABCA9-4	ABCA9	1382	0	468	545
ABCA9-5	ABCA9	916	0	0	242
ABCB10-1	ABCB10	1997	628	497	224
ABCB10-2	ABCB10	1034	637	358	161
ABCB10-3	ABCB10	941	956	151	1
ABCB10-4	ABCB10	31	0	0	0
ABCB10-5	ABCB10	408	0	644	1
ABCB10-6	ABCB10	1198	0	320	485
ABCB10-7	ABCB10	365	0	0	0
ABCB10-8	ABCB10	1327	0	386	0
ABCB10-9	ABCB10	317	1616	0	38
ABCB1-1	ABCB1	775	0	317	0
ABCB11-1	ABCB11	0	0	0	0
ABCB11-2	ABCB11	260	0	0	3
ABCB11-3	ABCB11	904	0	0	754
ABCB11-4	ABCB11	69	0	0	0
ABCB11-5	ABCB11	200	0	0	15
ABCB11-6	ABCB11	876	986	60	331
ABCB11-7	ABCB11	1951	1090	0	423
ABCB11-8	ABCB11	312	0	0	315
ABCB11-9	ABCB11	512	0	128	0
ABCB1-2	ABCB1	1527	0	0	222
ABCB1-3	ABCB1	857	0	352	0
ABCB1-4	ABCB1	749	0	0	205
ABCB1-5	ABCB1	1089	0	850	562
ABCB1-6	ABCB1	404	0	532	111
ABCB4-1	ABCB4	237	0	0	0
ABCB4-2	ABCB4	549	0	0	0
ABCB4-3	ABCB4	467	0	0	801
ABCB4-4	ABCB4	369	0	0	0
ABCB4-5	ABCB4	446	0	85	0
ABCB4-6	ABCB4	1283	0	257	0
ABCB4-7	ABCB4	1272	568	623	0
ABCB5-1	ABCB5	1594	0	136	1595
ABCB5-2	ABCB5	1199	0	0	439
ABCB5-3	ABCB5	468	0	0	0
ABCB5-4	ABCB5	711	623	0	236
ABCB5-5	ABCB5	188	0	0	286
ABCB5-6	ABCB5	1915	151	0	786
ABCB5-7	ABCB5	988	0	378	24
ABCB6-1	ABCB6	404	0	0	1
ABCB6-2	ABCB6	506	0	0	0
ABCB6-3	ABCB6	499	0	0	0
ABCB6-4	ABCB6	0	0	0	0
ABCB6-5	ABCB6	733	0	446	0
ABCB6-6	ABCB6	556	0	0	0
ABCB6-7	ABCB6	444	0	0	284
ABCB7-1	ABCB7	1100	0	0	0
ABCB7-2	ABCB7	213	0	1	215
ABCB7-3	ABCB7	1370	0	240	363
ABCB7-4	ABCB7	2007	0	277	1
ABCB7-5	ABCB7	594	0	0	258
ABCB7-6	ABCB7	556	0	0	160
ABCB7-7	ABCB7	268	0	0	0
ABCB8-1	ABCB8	360	0	0	442
ABCB8-10	ABCB8	0	0	0	0
ABCB8-11	ABCB8	716	0	0	0
ABCB8-12	ABCB8	191	0	0	0
ABCB8-13	ABCB8	648	0	0	0
ABCB8-14	ABCB8	830	842	683	0
ABCB8-2	ABCB8	704	0	418	504
ABCB8-3	ABCB8	2216	0	75	507
ABCB8-4	ABCB8	438	0	0	0
ABCB8-5	ABCB8	747	0	0	856
ABCB8-6	ABCB8	15	0	0	0
ABCB8-7	ABCB8	157	0	0	0
ABCB8-8	ABCB8	0	0	0	0
ABCB8-9	ABCB8	988	48	0	120
ABCB9-1	ABCB9	566	52	0	2
ABCB9-10	ABCB9	429	0	0	0
ABCB9-11	ABCB9	1182	0	157	5
ABCB9-12	ABCB9	241	0	0	0
ABCB9-13	ABCB9	1681	0	503	99
ABCB9-14	ABCB9	871	0	92	433
ABCB9-2	ABCB9	932	0	144	1
ABCB9-3	ABCB9	88	0	0	0
ABCB9-4	ABCB9	401	0	0	0
ABCB9-5	ABCB9	1301	0	323	0
ABCB9-6	ABCB9	2379	223	92	16
ABCB9-7	ABCB9	429	0	582	0
ABCB9-8	ABCB9	2717	143	371	1617
ABCB9-9	ABCB9	1087	1941	0	369
ABCC10-1	ABCC10	519	0	0	214
ABCC10-10	ABCC10	1247	0	450	139
ABCC10-11	ABCC10	169	0	384	0
ABCC10-12	ABCC10	876	0	0	0
ABCC10-13	ABCC10	967	0	0	275
ABCC10-14	ABCC10	506	0	126	0
ABCC10-2	ABCC10	1014	0	0	869
ABCC10-3	ABCC10	171	0	0	0
ABCC10-4	ABCC10	1272	0	0	5
ABCC10-5	ABCC10	947	0	0	570
ABCC10-6	ABCC10	455	0	0	0
ABCC10-7	ABCC10	474	0	0	140
ABCC10-8	ABCC10	948	0	0	1252
ABCC10-9	ABCC10	1533	0	1	139
ABCC1-1	ABCC1	304	0	0	1
ABCC11-1	ABCC11	786	0	63	185
ABCC11-2	ABCC11	509	0	0	398
ABCC11-3	ABCC11	1145	0	0	0
ABCC11-4	ABCC11	141	0	0	0
ABCC11-5	ABCC11	535	0	1	329
ABCC11-6	ABCC11	557	0	0	0
ABCC11-7	ABCC11	123	0	0	0
ABCC11-8	ABCC11	1406	2208	695	566
ABCC1-2	ABCC1	763	0	0	855
ABCC12-1	ABCC12	280	0	0	420
ABCC12-10	ABCC12	894	0	0	131
ABCC12-11	ABCC12	133	0	0	0
ABCC12-12	ABCC12	855	0	0	7
ABCC12-13	ABCC12	257	0	0	0
ABCC12-14	ABCC12	130	0	0	0
ABCC12-2	ABCC12	822	0	0	0
ABCC12-3	ABCC12	524	0	70	179
ABCC12-4	ABCC12	263	0	0	0
ABCC12-5	ABCC12	349	0	0	0
ABCC12-6	ABCC12	0	0	0	0
ABCC12-7	ABCC12	456	0	0	0
ABCC12-8	ABCC12	1166	0	0	332
ABCC12-9	ABCC12	1176	0	0	2
ABCC1-3	ABCC1	763	1072	0	0
ABCC1-4	ABCC1	1416	979	0	0
ABCC1-5	ABCC1	1021	0	0	540
ABCC1-6	ABCC1	1309	217	115	360
ABCC1-7	ABCC1	262	0	0	0
ABCC2-1	ABCC2	88	170	0	0
ABCC2-2	ABCC2	1401	0	743	738
ABCC2-3	ABCC2	956	0	0	0
ABCC2-4	ABCC2	875	777	0	35
ABCC2-5	ABCC2	600	114	387	1211
ABCC2-6	ABCC2	464	0	53	119
ABCC2-7	ABCC2	458	0	232	0
ABCC3-1	ABCC3	594	0	0	767
ABCC3-10	ABCC3	834	0	170	3
ABCC3-11	ABCC3	88	0	0	332
ABCC3-12	ABCC3	424	0	0	0
ABCC3-13	ABCC3	620	0	771	159
ABCC3-14	ABCC3	533	0	0	246
ABCC3-2	ABCC3	1204	0	21	1059
ABCC3-3	ABCC3	666	0	131	1
ABCC3-4	ABCC3	824	0	0	1
ABCC3-5	ABCC3	95	0	0	0
ABCC3-6	ABCC3	459	0	0	594
ABCC3-7	ABCC3	404	0	0	0
ABCC3-8	ABCC3	257	0	0	245
ABCC3-9	ABCC3	869	0	109	14
ABCC4-1	ABCC4	1183	0	71	889
ABCC4-2	ABCC4	412	0	0	0
ABCC4-3	ABCC4	1666	0	1046	475
ABCC4-4	ABCC4	688	0	0	596
ABCC4-5	ABCC4	250	0	0	0
ABCC4-6	ABCC4	0	0	0	0
ABCC4-7	ABCC4	896	0	0	601
ABCC5-1	ABCC5	243	0	0	0
ABCC5-10	ABCC5	0	0	0	0
ABCC5-11	ABCC5	1248	0	200	0
ABCC5-12	ABCC5	1477	644	0	0
ABCC5-13	ABCC5	522	0	875	83
ABCC5-2	ABCC5	162	0	0	0
ABCC5-3	ABCC5	66	0	209	0
ABCC5-4	ABCC5	1198	0	0	0
ABCC5-5	ABCC5	411	0	0	0
ABCC5-6	ABCC5	372	0	487	0
ABCC5-7	ABCC5	534	0	323	0
ABCC5-8	ABCC5	1905	894	0	0
ABCC5-9	ABCC5	182	0	0	0
ABCC6-1	ABCC6	337	36	49	161
ABCC6-2	ABCC6	619	0	0	250
ABCC6-3	ABCC6	1041	0	300	713
ABCC6-4	ABCC6	1037	0	276	540
ABCC6-5	ABCC6	457	0	0	256
ABCC6-6	ABCC6	231	0	0	121
ABCC6-7	ABCC6	767	0	0	97
ABCC6-8	ABCC6	224	0	388	339
ABCC8-1	ABCC8	1198	1	0	170
ABCC8-2	ABCC8	635	0	0	0
ABCC8-3	ABCC8	1103	0	0	0
ABCC8-4	ABCC8	45	1640	0	0
ABCC8-5	ABCC8	2555	413	361	468
ABCC8-6	ABCC8	1533	1046	172	342
ABCC8-7	ABCC8	629	0	0	0
ABCC9-1	ABCC9	2186	0	0	797
ABCC9-10	ABCC9	1136	0	0	150
ABCC9-11	ABCC9	1423	0	0	0
ABCC9-2	ABCC9	187	0	119	312
ABCC9-3	ABCC9	646	568	0	22
ABCC9-4	ABCC9	810	426	0	250
ABCC9-5	ABCC9	668	0	0	2
ABCC9-6	ABCC9	494	47	0	0
ABCC9-7	ABCC9	193	0	0	0
ABCC9-8	ABCC9	74	0	0	0
ABCC9-9	ABCC9	176	0	0	0
ABCD1-1	ABCD1	570	0	0	74
ABCD1-2	ABCD1	852	0	713	0
ABCD1-3	ABCD1	39	0	0	0
ABCD1-4	ABCD1	2464	0	0	824
ABCD1-5	ABCD1	270	0	0	920
ABCD1-6	ABCD1	1075	0	245	332
ABCD1-7	ABCD1	1386	1	0	492
ABCD2-1	ABCD2	156	0	0	3
ABCD2-2	ABCD2	172	0	0	1
ABCD2-3	ABCD2	694	0	0	232
ABCD2-4	ABCD2	482	1598	114	345
ABCD2-5	ABCD2	1243	101	485	149
ABCD2-6	ABCD2	1080	513	0	7
ABCD2-7	ABCD2	59	0	0	0
ABCD3-1	ABCD3	480	0	218	280
ABCD3-2	ABCD3	978	0	0	0
ABCD3-3	ABCD3	2551	492	1268	245
ABCD3-4	ABCD3	950	660	0	1262
ABCD3-5	ABCD3	620	0	0	385
ABCD3-6	ABCD3	1490	281	95	507
ABCD3-7	ABCD3	1315	0	660	461
ABCD4-1	ABCD4	755	0	0	1
ABCD4-2	ABCD4	82	0	0	0
ABCD4-3	ABCD4	947	0	0	324
ABCD4-4	ABCD4	1397	0	1424	532
ABCD4-5	ABCD4	394	0	0	1
ABCD4-6	ABCD4	757	0	0	0
ABCD4-7	ABCD4	375	0	0	0
ABCG1-1	ABCG1	876	0	0	282
ABCG1-10	ABCG1	1248	41	328	426
ABCG1-11	ABCG1	141	0	0	677
ABCG1-12	ABCG1	12	0	0	0
ABCG1-13	ABCG1	902	0	163	721
ABCG1-14	ABCG1	358	0	686	0
ABCG1-2	ABCG1	1297	0	479	0
ABCG1-3	ABCG1	161	0	0	0
ABCG1-4	ABCG1	331	0	1	3
ABCG1-5	ABCG1	429	0	0	94
ABCG1-6	ABCG1	555	0	0	0
ABCG1-7	ABCG1	1320	1167	0	0
ABCG1-8	ABCG1	876	180	16	529
ABCG1-9	ABCG1	406	0	0	4
ABCG2-1	ABCG2	297	0	0	0
ABCG2-10	ABCG2	1540	0	746	1028
ABCG2-2	ABCG2	978	0	0	1
ABCG2-3	ABCG2	517	0	0	479
ABCG2-4	ABCG2	571	0	0	0
ABCG2-5	ABCG2	114	0	0	0
ABCG2-6	ABCG2	0	0	0	0
ABCG2-7	ABCG2	314	0	0	10
ABCG2-8	ABCG2	2225	0	0	739
ABCG2-9	ABCG2	254	0	90	0
ABCG4-1	ABCG4	885	0	180	0
ABCG4-10	ABCG4	44	0	0	0
ABCG4-11	ABCG4	1737	1144	173	986
ABCG4-12	ABCG4	204	0	0	0
ABCG4-13	ABCG4	533	0	0	309
ABCG4-2	ABCG4	720	342	363	354
ABCG4-3	ABCG4	733	0	409	0
ABCG4-4	ABCG4	1221	0	70	588
ABCG4-5	ABCG4	287	0	0	0
ABCG4-6	ABCG4	0	0	0	0
ABCG4-7	ABCG4	1026	0	84	123
ABCG4-8	ABCG4	799	0	55	427
ABCG4-9	ABCG4	245	0	0	0
ABCG5-1	ABCG5	224	117	0	41
ABCG5-2	ABCG5	311	0	0	503
ABCG5-3	ABCG5	2377	0	602	974
ABCG5-4	ABCG5	388	0	1	0
ABCG5-5	ABCG5	960	0	344	1151
ABCG5-6	ABCG5	824	0	0	0
ABCG8-1	ABCG8	284	0	0	19
ABCG8-2	ABCG8	904	570	518	301
ABCG8-3	ABCG8	555	0	0	0
ABCG8-4	ABCG8	1065	0	386	398
ABCG8-5	ABCG8	71	0	0	0
ABCG8-6	ABCG8	973	0	0	191
ABCG8-7	ABCG8	274	0	0	0
ABHD1-1	ABHD1	914	0	0	0
ABHD1-2	ABHD1	1083	0	0	782
ABHD12-1	ABHD12	403	0	0	613
ABHD12-10	ABHD12	564	0	0	0
ABHD12-11	ABHD12	660	0	0	0
ABHD12-12	ABHD12	1447	0	74	21
ABHD12-13	ABHD12	115	0	0	0
ABHD12-14	ABHD12	2407	1948	576	2314
ABHD12-2	ABHD12	1030	0	0	12
ABHD12-3	ABHD12	1372	0	0	2
ABHD12-4	ABHD12	252	0	0	0
ABHD12-5	ABHD12	433	823	0	3
ABHD12-6	ABHD12	352	0	0	218
ABHD12-7	ABHD12	921	0	271	14
ABHD12-8	ABHD12	0	0	0	0
ABHD12-9	ABHD12	1381	0	0	114
ABHD1-3	ABHD1	852	0	0	399
ABHD13-1	ABHD13	221	0	0	0
ABHD13-2	ABHD13	302	0	0	0
ABHD13-3	ABHD13	1203	1003	521	1398
ABHD13-4	ABHD13	411	0	0	0
ABHD13-5	ABHD13	1093	0	170	1
ABHD13-6	ABHD13	817	0	0	162
ABHD13-7	ABHD13	416	0	0	6
ABHD1-4	ABHD1	0	0	0	0
ABHD14A-1	ABHD14A	1238	0	0	618
ABHD14A-2	ABHD14A	65	0	0	22
ABHD14A-3	ABHD14A	417	0	0	341
ABHD14A-4	ABHD14A	173	0	0	2
ABHD14A-5	ABHD14A	0	0	0	0
ABHD14A-6	ABHD14A	574	0	0	0
ABHD14A-7	ABHD14A	789	92	143	575
ABHD1-5	ABHD1	1322	0	257	676
ABHD15-1	ABHD15	102	0	0	0
ABHD15-2	ABHD15	831	0	0	396
ABHD15-3	ABHD15	749	0	0	603
ABHD15-4	ABHD15	584	0	0	441
ABHD15-5	ABHD15	176	0	239	0
ABHD15-6	ABHD15	1370	0	0	0
ABHD1-6	ABHD1	1216	0	0	1705
ABHD16A-1	ABHD16A	1481	56	0	670
ABHD16A-10	ABHD16A	304	0	0	1
ABHD16A-11	ABHD16A	1240	1448	228	740
ABHD16A-2	ABHD16A	101	0	0	0
ABHD16A-3	ABHD16A	480	0	0	234
ABHD16A-4	ABHD16A	664	0	284	13
ABHD16A-5	ABHD16A	1813	0	1876	544
ABHD16A-6	ABHD16A	1446	0	0	0
ABHD16A-7	ABHD16A	173	0	63	9
ABHD16A-8	ABHD16A	247	0	0	1
ABHD16A-9	ABHD16A	132	0	0	0
ABHD1-7	ABHD1	0	0	0	0
ABHD2-1	ABHD2	350	0	0	5
ABHD2-10	ABHD2	1583	0	381	234
ABHD2-11	ABHD2	1195	1	520	906
ABHD2-12	ABHD2	1100	0	23	1
ABHD2-13	ABHD2	871	444	32	6
ABHD2-14	ABHD2	1587	614	0	950
ABHD2-2	ABHD2	113	0	0	73
ABHD2-3	ABHD2	99	0	0	221
ABHD2-4	ABHD2	1225	0	0	342
ABHD2-5	ABHD2	55	0	0	208
ABHD2-6	ABHD2	0	0	0	0
ABHD2-7	ABHD2	1285	619	0	15
ABHD2-8	ABHD2	445	115	0	108
ABHD2-9	ABHD2	2074	0	547	338
ABHD3-1	ABHD3	604	836	0	228
ABHD3-10	ABHD3	2098	0	434	2
ABHD3-11	ABHD3	660	0	0	0
ABHD3-12	ABHD3	0	0	0	0
ABHD3-13	ABHD3	397	0	0	0
ABHD3-2	ABHD3	617	0	1	0
ABHD3-3	ABHD3	2678	430	202	445
ABHD3-4	ABHD3	1309	0	594	1350
ABHD3-5	ABHD3	1885	0	161	155
ABHD3-6	ABHD3	100	0	0	0
ABHD3-7	ABHD3	528	0	1	1
ABHD3-8	ABHD3	86	0	0	0
ABHD3-9	ABHD3	753	0	0	1
ABHD6-1	ABHD6	184	0	0	0
ABHD6-10	ABHD6	676	0	471	231
ABHD6-11	ABHD6	443	0	0	456
ABHD6-12	ABHD6	774	0	495	84
ABHD6-13	ABHD6	75	0	0	0
ABHD6-14	ABHD6	1174	0	0	0
ABHD6-2	ABHD6	96	0	0	0
ABHD6-3	ABHD6	278	0	0	679
ABHD6-4	ABHD6	626	0	49	0
ABHD6-5	ABHD6	503	0	0	766
ABHD6-6	ABHD6	844	0	0	148
ABHD6-7	ABHD6	818	0	518	81
ABHD6-8	ABHD6	976	0	0	463
ABHD6-9	ABHD6	411	0	0	0
ABI3BP-1	ABI3BP	402	0	130	0
ABI3BP-2	ABI3BP	1161	0	0	12
ABI3BP-3	ABI3BP	174	0	0	0
ABO-1	ABO	1038	0	1	0
ABO-2	ABO	1488	0	0	12
ABO-3	ABO	527	0	216	0
ABO-4	ABO	1458	0	100	0
ABO-5	ABO	775	0	320	1046
ABO-6	ABO	832	0	434	0
ABO-7	ABO	632	0	67	0
AC002365.1-1	AC002365.1	308	0	337	2
AC002365.1-2	AC002365.1	544	0	0	802
AC002365.1-3	AC002365.1	2687	0	870	599
AC002365.1-4	AC002365.1	398	0	0	0
AC002365.1-5	AC002365.1	513	0	0	1
AC002365.1-6	AC002365.1	331	0	0	0
AC002365.1-7	AC002365.1	1184	718	0	312
AC005013.1-1	AC005013.1	2041	0	0	305
AC005013.1-2	AC005013.1	380	0	129	96
AC005013.1-3	AC005013.1	1295	0	591	0
AC005013.1-4	AC005013.1	303	0	0	0
AC005013.1-5	AC005013.1	1005	0	1249	0
AC005013.1-6	AC005013.1	197	0	0	0
AC005013.1-7	AC005013.1	2044	1027	0	18
AC006538.4-1	AC006538.4	1000	0	859	1896
AC006538.4-2	AC006538.4	504	0	77	373
AC006538.4-3	AC006538.4	2625	0	35	0
AC006538.4-4	AC006538.4	758	814	1	194
AC006538.4-5	AC006538.4	242	0	0	143
AC006538.4-6	AC006538.4	0	0	0	0
AC006538.4-7	AC006538.4	594	392	0	207
AC006547.14-1	AC006547.14	357	0	0	0
AC006547.14-2	AC006547.14	374	0	0	121
AC006547.14-3	AC006547.14	629	0	637	209
AC006547.14-4	AC006547.14	757	0	305	168
AC006547.14-5	AC006547.14	663	173	0	493
AC006547.14-6	AC006547.14	1404	0	0	0
AC006547.14-7	AC006547.14	1211	292	647	691
AC007040.11-1	AC007040.11	851	0	907	334
AC007040.11-2	AC007040.11	761	0	0	0
AC007040.11-3	AC007040.11	844	0	0	10
AC007040.11-4	AC007040.11	1488	0	153	0
AC007040.11-5	AC007040.11	1374	0	0	1005
AC007040.11-6	AC007040.11	414	0	0	581
AC007040.11-7	AC007040.11	1488	0	0	0
AC012313.1-1	AC012313.1	543	0	0	332
AC012313.1-2	AC012313.1	1506	0	0	101
AC012313.1-3	AC012313.1	472	0	0	0
AC012313.1-4	AC012313.1	377	0	704	559
AC012313.1-5	AC012313.1	213	0	0	0
AC012313.1-6	AC012313.1	1100	0	146	206
AC024592.12-1	AC024592.12	559	0	1	0
AC024592.12-2	AC024592.12	597	0	298	166
AC024592.12-3	AC024592.12	12	0	0	0
AC024592.12-4	AC024592.12	425	0	0	0
AC024592.12-5	AC024592.12	483	0	83	20
AC024592.12-6	AC024592.12	390	0	0	0
AC024592.12-7	AC024592.12	96	0	0	418
AC092653.5-1	AC092653.5	1040	0	626	470
AC092653.5-2	AC092653.5	410	0	0	0
AC092653.5-3	AC092653.5	244	0	0	223
AC092653.5-4	AC092653.5	0	0	0	0
AC092653.5-5	AC092653.5	1519	0	321	27
AC092653.5-6	AC092653.5	208	0	774	19
AC092653.5-7	AC092653.5	672	0	0	0
AC109829.1-1	AC109829.1	594	0	0	292
AC109829.1-2	AC109829.1	401	0	0	0
AC109829.1-3	AC109829.1	1397	0	235	21
AC109829.1-4	AC109829.1	0	0	0	0
AC109829.1-5	AC109829.1	0	0	0	0
AC109829.1-6	AC109829.1	1146	0	0	1750
AC211429.1-1	AC211429.1	1000	554	0	198
AC211429.1-2	AC211429.1	2842	0	498	1224
AC211429.1-3	AC211429.1	0	0	0	0
AC211429.1-4	AC211429.1	1593	929	185	624
AC211429.1-5	AC211429.1	1157	0	52	0
AC211429.1-6	AC211429.1	212	0	0	522
AC211429.1-7	AC211429.1	0	0	0	0
AC244102.1-1	AC244102.1	271	0	0	0
AC244102.1-2	AC244102.1	1487	0	0	0
AC244102.1-3	AC244102.1	185	0	0	0
AC244102.1-4	AC244102.1	179	0	0	374
AC244102.1-5	AC244102.1	14	0	0	0
AC244102.1-6	AC244102.1	1123	0	0	319
AC244102.1-7	AC244102.1	336	0	0	0
AC244517.1-1	AC244517.1	1271	0	256	250
AC244517.1-2	AC244517.1	1066	0	0	1910
AC244517.1-3	AC244517.1	236	0	385	0
AC244517.1-4	AC244517.1	1012	0	0	204
AC244517.1-5	AC244517.1	341	0	0	16
AC244517.1-6	AC244517.1	660	0	566	349
AC244517.1-7	AC244517.1	430	0	52	0
ACAA1-1	ACAA1	1595	0	0	1090
ACAA1-2	ACAA1	851	0	0	245
ACAA1-3	ACAA1	1452	0	0	0
ACAA1-4	ACAA1	1248	0	677	8
ACAA1-5	ACAA1	280	0	115	526
ACAA1-6	ACAA1	348	0	0	0
