guide	plasmid	cas9T14Rep1	cas9T14Rep2	gene
A1BG_19_c_58864686.26-all	565	289	371	A1BG
A1BG_19_c_58864798.24-all	182	133	237	A1BG
A1BG_19_w_58864769.26-all	1140	511	1239	A1BG
A1BG_19_w_58864770.25-all	598	309	686	A1BG
A1CF_10_c_52603848.23-all	452	225	351	A1CF
A1CF_10_c_52603851.24-all	394	208	456	A1CF
A1CF_10_w_52603819.27-all	555	339	525	A1CF
A1CF_10_w_52603856.26-all	599	329	406	A1CF
A2ML1_12_c_8975277.27-all	690	309	662	A2ML1
A2ML1_12_w_8975261.26-all	548	252	304	A2ML1
A2ML1_12_w_8975278.27-all	1055	570	927	A2ML1
A2ML1_12_w_8975279.26-all	784	421	613	A2ML1
A2M_12_c_9268394.27-all	570	303	474	A2M
A2M_12_c_9268403.28-all	816	374	637	A2M
A2M_12_c_9268427.28-all	800	374	638	A2M
A2M_12_w_9268411.26-all	654	354	472	A2M
A4GALT_22_c_43089945.26-all	757	359	601	A4GALT
A4GALT_22_c_43089946.27-all	1342	601	994	A4GALT
A4GALT_22_c_43089947.27-all	1682	791	1394	A4GALT
A4GALT_22_c_43089952.27-all	462	241	134	A4GALT
A4GNT_3_c_137850063.26-all	904	409	552	A4GNT
A4GNT_3_c_137850074.25-all	1211	632	924	A4GNT
A4GNT_3_c_137850083.26-all	502	238	553	A4GNT
A4GNT_3_w_137850045.27-all	1064	527	1045	A4GNT
AAAS_12_c_53715221.24-all	444	223	546	AAAS
AAAS_12_c_53715224.28-all	701	346	970	AAAS
AAAS_12_c_53715227.27-all	468	209	429	AAAS
AAAS_12_c_53715228.28-all	790	384	764	AAAS
AACS_12_c_125550156.25-all	102	43	214	AACS
AACS_12_w_125550147.28-all	1023	491	1423	AACS
AACS_12_w_125550148.28-all	632	276	849	AACS
AACS_12_w_125550149.26-all	249	133	382	AACS
AADACL2_3_c_151451848.24-all	707	318	678	AADACL2
AADACL2_3_c_151451849.25-all	1646	814	1483	AADACL2
AADACL2_3_w_151451886.27-all	1408	658	1263	AADACL2
AADACL2_3_w_151451887.26-all	768	320	636	AADACL2
AADACL3_1_c_12780919.25-all	1097	428	752	AADACL3
AADACL3_1_c_12780934.27-all	543	232	684	AADACL3
AADACL3_1_c_12780940.27-all	620	277	484	AADACL3
AADACL3_1_w_12780888.28-all	1273	530	804	AADACL3
AADACL4_1_c_12704595.28-all	353	261	617	AADACL4
AADACL4_1_w_12704573.24-all	439	264	403	AADACL4
AADACL4_1_w_12704574.28-all	1722	876	1116	AADACL4
AADACL4_1_w_12704575.28-all	821	402	416	AADACL4
AADAC_3_c_151531983.27-all	797	474	771	AADAC
AADAC_3_c_151531984.28-all	1753	990	1709	AADAC
AADAC_3_w_151531970.27-all	620	282	539	AADAC
AADAC_3_w_151531988.27-all	798	404	537	AADAC
AADAT_4_c_171009694.23-all	692	339	707	AADAT
AADAT_4_c_171010803.25-all	266	140	362	AADAT
AADAT_4_w_171010781.27-all	600	261	502	AADAT
AADAT_4_w_171010816.23-all	828	459	780	AADAT
AAED1_9_c_99417547.26-all	365	173	439	AAED1
AAED1_9_c_99417548.28-all	704	387	871	AAED1
AAED1_9_c_99417549.26-all	1080	583	1068	AAED1
AAED1_9_c_99417553.27-all	422	218	418	AAED1
AAGAB_15_c_67546925.27-all	505	205	466	AAGAB
AAGAB_15_c_67546928.24-all	100	76	208	AAGAB
AAGAB_15_c_67546952.23-all	93	33	917	AAGAB
AAGAB_15_c_67546953.26-all	70	67	450	AAGAB
AAK1_2_c_69870152.27-all	571	281	515	AAK1
AAK1_2_w_69870123.26-all	755	349	583	AAK1
AAK1_2_w_69870137.27-all	782	382	840	AAK1
AAK1_2_w_69870138.26-all	387	191	402	AAK1
AAMDC_11_c_77553577.24-all	791	391	902	AAMDC
AAMDC_11_c_77553614.28-all	258	100	190	AAMDC
AAMDC_11_w_77553551.28-all	531	278	336	AAMDC
AAMDC_11_w_77553606.25-all	814	447	610	AAMDC
AAMP_2_c_219134768.24-all	200	123	445	AAMP
AAMP_2_c_219134771.26-all	331	141	470	AAMP
AAMP_2_c_219134801.22-all	394	213	822	AAMP
AAMP_2_w_219134784.22-all	219	119	661	AAMP
AANAT_17_w_74464832.28-all	357	152	316	AANAT
AANAT_17_w_74464844.27-all	1278	570	954	AANAT
AANAT_17_w_74464845.26-all	834	375	627	AANAT
AANAT_17_w_74464848.26-all	335	125	540	AANAT
AAR2_20_w_34827797.25-all	840	444	753	AAR2
AAR2_20_w_34827811.24-all	232	133	561	AAR2
AAR2_20_w_34827821.25-all	298	145	326	AAR2
AAR2_20_w_34827828.28-all	431	249	466	AAR2
AARD_8_c_117950527.24-all	322	140	256	AARD
AARD_8_c_117950528.25-all	632	328	696	AARD
AARD_8_c_117950529.26-all	942	528	1128	AARD
AARD_8_w_117950532.26-all	987	412	676	AARD
AARS2_6_c_44281034.24-all	167	85	474	AARS2
AARS2_6_w_44281018.28-all	561	359	894	AARS2
AARS2_6_w_44281021.27-all	305	210	431	AARS2
AARS2_6_w_44281027.27-all	190	78	421	AARS2
AARSD1_17_c_41116234.25-all	625	338	645	AARSD1
AARSD1_17_c_41116243.27-all	292	176	439	AARSD1
AARSD1_17_c_41116246.25-all	252	96	590	AARSD1
AARSD1_17_c_41116249.25-all	413	237	482	AARSD1
AARS_16_c_70316569.24-all	110	76	677	AARS
AARS_16_c_70316574.27-all	502	256	512	AARS
AARS_16_c_70316636.25-all	206	111	270	AARS
AARS_16_w_70316606.25-all	738	320	629	AARS
AASDHPPT_11_c_105948467.28-all	1063	444	965	AASDHPPT
AASDHPPT_11_w_105948445.27-all	1571	714	1168	AASDHPPT
AASDHPPT_11_w_105948446.26-all	782	301	434	AASDHPPT
AASDHPPT_11_w_105948450.25-all	782	403	777	AASDHPPT
AASDH_4_c_57250384.25-all	402	208	554	AASDH
AASDH_4_c_57250433.25-all	335	115	305	AASDH
AASDH_4_w_57250419.28-all	574	260	556	AASDH
AASDH_4_w_57250437.26-all	562	309	496	AASDH
AASS_7_w_121773743.28-all	1368	602	1175	AASS
AASS_7_w_121773747.24-all	864	375	708	AASS
AASS_7_w_121773751.27-all	1589	742	932	AASS
AASS_7_w_121773752.26-all	802	378	455	AASS
AATF_17_c_35306458.26-all	609	345	673	AATF
AATF_17_w_35306434.28-all	404	195	473	AATF
AATF_17_w_35306472.24-all	429	199	722	AATF
AATF_17_w_35306479.28-all	425	163	692	AATF
AATK_17_c_79102311.25-all	1356	578	1106	AATK
AATK_17_c_79102333.27-all	642	283	587	AATK
AATK_17_w_79102321.27-all	523	212	505	AATK
AATK_17_w_79102322.23-all	633	269	732	AATK
ABAT_16_w_8829600.28-all	737	360	557	ABAT
ABAT_16_w_8829603.25-all	331	187	291	ABAT
ABAT_16_w_8829615.27-all	1098	592	1053	ABAT
ABAT_16_w_8829616.26-all	687	325	651	ABAT
ABCA10_17_c_67218704.28-all	862	475	598	ABCA10
ABCA10_17_c_67218731.28-all	627	273	476	ABCA10
ABCA10_17_c_67218817.28-all	668	319	495	ABCA10
ABCA10_17_w_67218766.28-all	211	143	330	ABCA10
ABCA12_2_c_215896571.25-all	597	309	530	ABCA12
ABCA12_2_w_215896551.27-all	685	331	562	ABCA12
ABCA12_2_w_215896584.28-all	741	404	505	ABCA12
ABCA12_2_w_215896591.27-all	958	384	651	ABCA12
ABCA13_7_c_48211118.27-all	407	238	375	ABCA13
ABCA13_7_c_48211127.28-all	789	363	650	ABCA13
ABCA13_7_w_48211108.26-all	1566	755	1170	ABCA13
ABCA13_7_w_48211109.25-all	837	393	650	ABCA13
ABCA1_9_c_107651453.26-all	312	195	302	ABCA1
ABCA1_9_c_107665918.24-all	696	284	531	ABCA1
ABCA1_9_w_107651449.26-all	899	409	718	ABCA1
ABCA1_9_w_107665924.25-all	1058	504	844	ABCA1
ABCA2_9_c_139918661.26-all	352	161	528	ABCA2
ABCA2_9_c_139918682.26-all	632	332	563	ABCA2
ABCA2_9_c_139922577.28-all	744	316	728	ABCA2
ABCA2_9_w_139922532.26-all	766	333	659	ABCA2
ABCA3_16_c_2376263.26-all	1006	401	667	ABCA3
ABCA3_16_c_2376440.26-all	629	288	655	ABCA3
ABCA3_16_w_2376247.23-all	834	397	681	ABCA3
ABCA3_16_w_2376431.28-all	544	267	567	ABCA3
ABCA4_1_w_94578595.23-all	795	418	642	ABCA4
ABCA4_1_w_94586541.25-all	374	215	473	ABCA4
ABCA4_1_w_94586556.28-all	1061	484	961	ABCA4
ABCA4_1_w_94586565.27-all	1431	656	1170	ABCA4
ABCA5_17_c_67309355.27-all	968	511	633	ABCA5
ABCA5_17_c_67309379.26-all	339	175	197	ABCA5
ABCA5_17_c_67310515.26-all	540	221	482	ABCA5
ABCA5_17_w_67310530.24-all	451	221	318	ABCA5
ABCA6_17_c_67133594.28-all	1019	472	612	ABCA6
ABCA6_17_c_67136809.27-all	701	299	523	ABCA6
ABCA6_17_w_67133615.26-all	425	227	433	ABCA6
ABCA6_17_w_67136769.26-all	419	178	311	ABCA6
ABCA7_19_c_1041416.23-all	663	308	859	ABCA7
ABCA7_19_w_1041364.27-all	910	478	904	ABCA7
ABCA7_19_w_1041510.26-all	469	254	388	ABCA7
ABCA7_19_w_1041516.25-all	390	228	539	ABCA7
ABCA8_17_c_66937017.25-all	765	389	656	ABCA8
ABCA8_17_c_66937082.27-all	544	270	340	ABCA8
ABCA8_17_w_66937012.25-all	500	235	401	ABCA8
ABCA8_17_w_66938135.26-all	765	296	503	ABCA8
ABCA9_17_w_67047227.27-all	1399	826	1059	ABCA9
ABCA9_17_w_67047228.26-all	718	447	452	ABCA9
ABCA9_17_w_67047241.24-all	1763	868	1437	ABCA9
ABCA9_17_w_67047242.23-all	1087	535	741	ABCA9
ABCB10_1_c_229694388.26-all	655	323	580	ABCB10
ABCB10_1_c_229694389.27-all	1288	654	972	ABCB10
ABCB10_1_c_229694390.28-all	1894	998	1548	ABCB10
ABCB10_1_w_229694369.28-all	475	253	607	ABCB10
ABCB11_2_c_169869957.26-all	314	146	414	ABCB11
ABCB11_2_w_169870825.27-all	952	452	840	ABCB11
ABCB11_2_w_169870837.27-all	470	240	406	ABCB11
ABCB11_2_w_169874589.24-all	532	294	491	ABCB11
ABCB1_7_c_87229482.28-all	921	427	701	ABCB1
ABCB1_7_w_87214953.26-all	819	442	637	ABCB1
ABCB1_7_w_87229471.27-all	794	369	898	ABCB1
ABCB1_7_w_87229474.24-all	273	134	344	ABCB1
ABCB4_7_c_87104740.27-all	622	318	645	ABCB4
ABCB4_7_c_87104741.28-all	998	510	1066	ABCB4
ABCB4_7_c_87104749.26-all	416	251	259	ABCB4
ABCB4_7_w_87104729.27-all	326	130	316	ABCB4
ABCB5_7_c_20691083.28-all	787	436	705	ABCB5
ABCB5_7_c_20691103.24-all	489	256	397	ABCB5
ABCB5_7_c_20691108.26-all	592	269	389	ABCB5
ABCB5_7_w_20691095.26-all	655	378	463	ABCB5
ABCB6_2_c_220083366.23-all	268	127	460	ABCB6
ABCB6_2_w_220083359.24-all	2111	974	1445	ABCB6
ABCB6_2_w_220083360.26-all	609	245	424	ABCB6
ABCB6_2_w_220083367.25-all	552	293	625	ABCB6
ABCB7_X_w_74376070.25-all	301	120	729	ABCB7
ABCB7_X_w_74376073.26-all	992	449	1189	ABCB7
ABCB7_X_w_74376074.28-all	461	201	617	ABCB7
ABCB7_X_w_74376080.24-all	242	154	565	ABCB7
ABCB8_7_c_150725627.24-all	352	160	263	ABCB8
ABCB8_7_c_150725628.25-all	955	428	804	ABCB8
ABCB8_7_c_150725634.25-all	418	170	311	ABCB8
ABCB8_7_c_150725635.26-all	895	469	707	ABCB8
ABCB9_12_c_123444720.26-all	502	234	383	ABCB9
ABCB9_12_c_123444747.28-all	727	470	659	ABCB9
ABCB9_12_w_123444733.25-all	785	316	600	ABCB9
ABCB9_12_w_123444748.26-all	933	445	811	ABCB9
ABCC10_6_w_43399883.26-all	534	351	469	ABCC10
ABCC10_6_w_43399894.26-all	696	379	445	ABCC10
ABCC10_6_w_43399898.28-all	814	495	657	ABCC10
ABCC10_6_w_43399899.23-all	1175	639	1001	ABCC10
ABCC11_16_c_48265787.28-all	514	274	452	ABCC11
ABCC11_16_c_48265803.27-all	623	306	457	ABCC11
ABCC11_16_c_48265804.28-all	1292	626	952	ABCC11
ABCC11_16_w_48265791.28-all	873	437	718	ABCC11
ABCC12_16_c_48180314.23-all	594	270	643	ABCC12
ABCC12_16_c_48180318.23-all	650	395	689	ABCC12
ABCC12_16_c_48180319.28-all	1401	824	1514	ABCC12
ABCC12_16_w_48180298.28-all	997	508	811	ABCC12
ABCC1_16_c_16043639.27-all	371	201	468	ABCC1
ABCC1_16_c_16043655.26-all	560	259	684	ABCC1
ABCC1_16_w_16101694.26-all	619	239	694	ABCC1
ABCC2_10_c_101542633.25-all	1229	570	905	ABCC2
ABCC2_10_w_101544368.25-all	763	350	577	ABCC2
ABCC2_10_w_101544375.26-all	575	297	455	ABCC2
ABCC2_10_w_101544396.24-all	457	271	423	ABCC2
ABCC3_17_c_48712328.26-all	444	207	359	ABCC3
ABCC3_17_c_48712341.24-all	567	310	597	ABCC3
ABCC3_17_w_48712304.28-all	921	438	1010	ABCC3
ABCC3_17_w_48712305.25-all	521	230	444	ABCC3
ABCC4_13_c_95953540.24-all	849	435	593	ABCC4
ABCC4_13_c_95953553.26-all	685	327	377	ABCC4
ABCC4_13_c_95953560.28-all	741	376	657	ABCC4
ABCC4_13_c_95953561.28-all	1690	823	1300	ABCC4
ABCC5_3_c_183732109.26-all	932	417	605	ABCC5
ABCC5_3_w_183732096.25-all	398	251	467	ABCC5
ABCC5_3_w_183732097.28-all	927	454	649	ABCC5
ABCC5_3_w_183732133.28-all	749	421	547	ABCC5
ABCC6_16_c_16315538.27.pass20-all	512	188	507	ABCC6
ABCC6_16_c_16315547.26.pass11-all	246	146	580	ABCC6
ABCC6_16_c_16315553.27.pass1-all	604	302	530	ABCC6
ABCC6_16_c_16317286.22.fail-all	288	121	569	ABCC6
ABCC8_11_c_17498312.28-all	820	427	700	ABCC8
ABCC8_11_c_17498317.25-all	577	280	428	ABCC8
ABCC8_11_c_17498318.26-all	1012	488	768	ABCC8
ABCC8_11_c_17498319.28-all	1720	759	1254	ABCC8
ABCC9_12_c_22089524.26-all	696	412	523	ABCC9
ABCC9_12_c_22089525.27-all	1025	604	814	ABCC9
ABCC9_12_c_22089602.27-all	633	344	532	ABCC9
ABCC9_12_w_22089529.28-all	929	419	703	ABCC9
ABCD1_X_w_152990724.28-all	271	100	400	ABCD1
ABCD1_X_w_152990734.28-all	458	224	389	ABCD1
ABCD1_X_w_152990739.25-all	778	337	833	ABCD1
ABCD1_X_w_152990740.24-all	336	169	404	ABCD1
ABCD2_12_c_40013373.28-all	533	266	482	ABCD2
ABCD2_12_w_40013350.26-all	1201	674	1068	ABCD2
ABCD2_12_w_40013351.26-all	780	435	693	ABCD2
ABCD2_12_w_40013375.24-all	659	377	625	ABCD2
ABCD3_1_c_94884061.26-all	582	290	528	ABCD3
ABCD3_1_c_94884083.27-all	534	265	375	ABCD3
ABCD3_1_w_94884071.27-all	586	294	581	ABCD3
ABCD3_1_w_94884093.26-all	683	322	441	ABCD3
ABCD4_14_c_74766937.27-all	773	389	811	ABCD4
ABCD4_14_c_74766968.27-all	620	276	553	ABCD4
ABCD4_14_c_74766969.28-all	1262	592	1068	ABCD4
ABCD4_14_w_74766940.25-all	680	331	643	ABCD4
ABCE1_4_c_146030369.27-all	572	288	416	ABCE1
ABCE1_4_c_146031294.28-all	506	250	592	ABCE1
ABCE1_4_w_146031260.23-all	230	102	856	ABCE1
ABCE1_4_w_146033406.25-all	52	32	779	ABCE1
ABCF1_6_c_30545627.25-all	281	128	483	ABCF1
ABCF1_6_c_30545631.24-all	319	167	403	ABCF1
ABCF1_6_c_30545632.28-all	475	199	362	ABCF1
ABCF1_6_c_30545633.25-all	814	365	711	ABCF1
ABCF2_7_c_150921995.27-all	1240	615	554	ABCF2
ABCF2_7_c_150923435.26-all	488	208	365	ABCF2
ABCF2_7_w_150923411.28-all	767	342	545	ABCF2
ABCF2_7_w_150923478.25-all	890	475	888	ABCF2
ABCF3_3_c_183904021.25-all	325	222	539	ABCF3
ABCF3_3_w_183904008.24-all	451	233	556	ABCF3
ABCF3_3_w_183904015.28-all	493	207	589	ABCF3
ABCF3_3_w_183904030.25-all	848	439	629	ABCF3
ABCG1_21_c_43645810.28-all	464	214	346	ABCG1
ABCG1_21_c_43645822.25-all	439	217	389	ABCG1
ABCG1_21_c_43645834.25-all	751	353	638	ABCG1
ABCG1_21_w_43645784.25-all	1008	487	809	ABCG1
ABCG2_4_c_89061085.28-all	194	73	142	ABCG2
ABCG2_4_c_89061087.23-all	720	317	672	ABCG2
ABCG2_4_c_89061097.26-all	554	302	500	ABCG2
ABCG2_4_w_89061059.25-all	1171	656	883	ABCG2
ABCG4_11_c_119020703.26-all	365	221	516	ABCG4
ABCG4_11_c_119020709.27-all	742	424	681	ABCG4
ABCG4_11_c_119020715.27-all	887	484	658	ABCG4
ABCG4_11_w_119020697.28-all	528	257	405	ABCG4
ABCG5_2_c_44065809.27-all	360	147	374	ABCG5
ABCG5_2_w_44065785.27-all	1250	618	1040	ABCG5
ABCG5_2_w_44065786.28-all	1439	718	972	ABCG5
ABCG5_2_w_44065789.25-all	893	452	539	ABCG5
ABCG8_2_c_44066220.27-all	582	265	468	ABCG8
ABCG8_2_c_44066221.28-all	819	417	850	ABCG8
ABCG8_2_w_44066196.27-all	383	200	344	ABCG8
ABCG8_2_w_44066225.27-all	572	279	725	ABCG8
ABHD10_3_c_111697935.26-all	661	290	492	ABHD10
ABHD10_3_c_111697938.25-all	959	526	965	ABHD10
ABHD10_3_c_111697943.27-all	619	291	581	ABHD10
ABHD10_3_w_111697939.26-all	636	309	640	ABHD10
ABHD11_7_c_73153080.26-all	215	104	465	ABHD11
ABHD11_7_c_73153094.26-all	368	204	613	ABHD11
ABHD11_7_c_73153115.25-all	444	181	549	ABHD11
ABHD11_7_c_73153119.24-all	403	199	492	ABHD11
ABHD12B_14_c_51338916.23-all	671	322	702	ABHD12B
ABHD12B_14_w_51338909.28-all	367	191	281	ABHD12B
ABHD12B_14_w_51338931.27-all	250	152	315	ABHD12B
ABHD12B_14_w_51338935.28-all	511	287	322	ABHD12B
ABHD12_20_c_25371313.26-all	799	459	536	ABHD12
ABHD12_20_c_25371319.26-all	791	347	659	ABHD12
ABHD12_20_c_25371320.27-all	1322	681	1173	ABHD12
ABHD12_20_c_25371325.27-all	812	417	465	ABHD12
ABHD13_13_c_108881607.25-all	712	369	755	ABHD13
ABHD13_13_c_108881620.25-all	789	501	715	ABHD13
ABHD13_13_c_108881628.23-all	807	474	723	ABHD13
ABHD13_13_w_108881615.26-all	471	238	442	ABHD13
ABHD14A_3_c_52009177.25-all	603	248	577	ABHD14A
ABHD14A_3_c_52009187.26-all	315	126	330	ABHD14A
ABHD14A_3_w_52009180.25-all	438	213	560	ABHD14A
ABHD14A_3_w_52009183.27-all	310	162	448	ABHD14A
ABHD14B_3_c_52005650.28-all	633	292	535	ABHD14B
ABHD14B_3_w_52005646.26-all	454	223	393	ABHD14B
ABHD14B_3_w_52005657.27-all	678	356	652	ABHD14B
ABHD14B_3_w_52005658.22-all	893	424	803	ABHD14B
ABHD15_17_c_27893964.24-all	785	344	765	ABHD15
ABHD15_17_c_27893967.27-all	1642	781	1268	ABHD15
ABHD15_17_c_27893977.27-all	165	88	311	ABHD15
ABHD15_17_c_27893980.27-all	492	251	533	ABHD15
ABHD16A_6_c_31668778.28-all	677	451	568	ABHD16A
ABHD16A_6_c_31668789.28-all	488	234	491	ABHD16A
ABHD16A_6_w_31668758.25-all	1059	463	690	ABHD16A
ABHD16A_6_w_31668759.26-all	796	369	583	ABHD16A
ABHD16B_20_c_62492917.23-all	1271	556	1061	ABHD16B
ABHD16B_20_c_62492923.25-all	872	513	798	ABHD16B
ABHD16B_20_w_62492943.28-all	653	303	442	ABHD16B
ABHD16B_20_w_62492948.23-all	505	255	550	ABHD16B
ABHD17A_19_c_1881457.27.pass1-all	370	203	354	ABHD17A
ABHD17A_19_c_1881458.22.pass1-all	178	86	746	ABHD17A
ABHD17A_19_c_1881464.28.pass1-all	340	164	512	ABHD17A
ABHD17A_19_w_1881433.22.pass1-all	715	358	941	ABHD17A
ABHD17B_9_c_74489864.26-all	563	302	482	ABHD17B
ABHD17B_9_c_74489941.26-all	720	300	510	ABHD17B
ABHD17B_9_w_74489769.25-all	730	394	708	ABHD17B
ABHD17B_9_w_74489858.28-all	1013	526	879	ABHD17B
ABHD17C_15_c_80987798.27-all	379	206	375	ABHD17C
ABHD17C_15_w_80987773.27-all	1095	537	819	ABHD17C
ABHD17C_15_w_80987774.26-all	581	326	458	ABHD17C
ABHD17C_15_w_80987779.26-all	515	322	446	ABHD17C
ABHD1_2_w_27346826.26-all	234	119	270	ABHD1
ABHD1_2_w_27346830.27-all	372	198	294	ABHD1
ABHD1_2_w_27346836.25-all	483	184	360	ABHD1
ABHD1_2_w_27346837.26-all	361	229	554	ABHD1
ABHD2_15_w_89659565.25-all	529	226	566	ABHD2
ABHD2_15_w_89659587.26-all	1450	800	1005	ABHD2
ABHD2_15_w_89659588.25-all	953	491	584	ABHD2
ABHD2_15_w_89659592.25-all	376	221	287	ABHD2
ABHD3_18_c_19284591.27-all	510	219	556	ABHD3
ABHD3_18_c_19284605.28-all	385	167	581	ABHD3
ABHD3_18_c_19284612.24-all	482	227	519	ABHD3
ABHD3_18_c_19284617.28-all	726	356	472	ABHD3
ABHD4_14_c_23070595.25-all	731	367	735	ABHD4
ABHD4_14_c_23070607.26-all	555	201	553	ABHD4
ABHD4_14_w_23070599.26-all	1120	560	1183	ABHD4
ABHD4_14_w_23070600.27-all	693	317	561	ABHD4
ABHD5_3_c_43732524.26-all	331	139	284	ABHD5
ABHD5_3_w_43740791.27-all	2498	1403	2019	ABHD5
ABHD5_3_w_43740792.28-all	1639	960	1381	ABHD5
ABHD5_3_w_43740793.27-all	781	478	632	ABHD5
ABHD6_3_c_58242349.28-all	979	487	728	ABHD6
ABHD6_3_c_58242350.26-all	2046	987	1699	ABHD6
ABHD6_3_c_58242353.26-all	1558	679	1407	ABHD6
ABHD6_3_c_58242361.22-all	1057	435	727	ABHD6
ABHD8_19_c_17412389.25-all	457	192	290	ABHD8
ABHD8_19_c_17412408.24-all	517	252	664	ABHD8
ABHD8_19_w_17412381.26-all	1884	822	1337	ABHD8
ABHD8_19_w_17412382.25-all	1046	431	717	ABHD8
ABI1_10_c_27149755.24-all	1132	584	739	ABI1
ABI1_10_c_27149756.25-all	1945	1061	1421	ABI1
ABI1_10_w_27149748.27-all	640	295	798	ABI1
ABI1_10_w_27149761.25-all	756	394	693	ABI1
ABI2_2_c_204193276.26-all	728	381	718	ABI2
ABI2_2_c_204193278.28-all	1141	552	1154	ABI2
ABI2_2_w_204193273.27-all	3	2	5	ABI2
ABI3BP_3_c_100712178.25-all	502	252	411	ABI3BP
ABI3BP_3_w_100712193.25-all	867	271	638	ABI3BP
ABI3BP_3_w_100712211.28-all	2118	958	1452	ABI3BP
ABI3BP_3_w_100712212.28-all	1228	624	801	ABI3BP
ABI3_17_c_47288129.27-all	545	271	473	ABI3
ABI3_17_w_47288121.28-all	1199	586	1523	ABI3
ABI3_17_w_47288122.27-all	797	369	954	ABI3
ABI3_17_w_47288123.26-all	456	224	559	ABI3
ABL1_9_c_133729491.25-all	199	109	571	ABL1
ABL1_9_w_133729453.26-all	186	105	1237	ABL1
ABL1_9_w_133729454.25-all	61	53	757	ABL1
ABL1_9_w_133729464.25-all	67	35	832	ABL1
ABL2_1_c_179100579.23-all	1268	594	919	ABL2
ABL2_1_c_179100600.28-all	907	490	666	ABL2
ABL2_1_c_179100601.24-all	1381	734	1007	ABL2
ABL2_1_w_179100562.28-all	582	338	464	ABL2
ABLIM1_10_c_116247757.26-all	644	294	476	ABLIM1
ABLIM1_10_c_116247768.24-all	750	356	717	ABLIM1
ABLIM1_10_c_116247771.27-all	1389	630	1433	ABLIM1
ABLIM1_10_w_116251569.28-all	613	375	541	ABLIM1
ABLIM2_4_c_8108337.26-all	594	290	507	ABLIM2
ABLIM2_4_c_8108338.27-all	1053	479	955	ABLIM2
ABLIM2_4_c_8108342.28-all	276	109	298	ABLIM2
ABLIM2_4_c_8108343.27-all	790	376	837	ABLIM2
ABLIM3_5_c_148563080.23-all	921	431	938	ABLIM3
ABLIM3_5_w_148563016.28-all	738	341	814	ABLIM3
ABLIM3_5_w_148563040.25-all	428	225	418	ABLIM3
ABLIM3_5_w_148563063.28-all	581	304	646	ABLIM3
ABRACL_6_c_139355330.28-all	639	378	651	ABRACL
ABRACL_6_c_139355333.28-all	1437	788	1283	ABRACL
ABRACL_6_c_139355349.23-all	722	478	942	ABRACL
ABRACL_6_c_139363885.26-all	529	272	538	ABRACL
ABRA_8_c_107782411.27-all	376	147	409	ABRA
ABRA_8_w_107782390.25-all	829	396	1091	ABRA
ABRA_8_w_107782391.25-all	819	383	965	ABRA
ABRA_8_w_107782392.24-all	470	252	526	ABRA
ABR_17_c_916397.24-all	831	378	738	ABR
ABR_17_c_916398.25-all	1424	714	1298	ABR
ABR_17_w_916345.27-all	790	447	776	ABR
ABR_17_w_916364.25-all	630	332	591	ABR
ABT1_6_c_26597258.25-all	191	79	182	ABT1
ABT1_6_c_26597262.26-all	302	167	578	ABT1
ABT1_6_c_26597263.27-all	546	347	1110	ABT1
ABT1_6_c_26597315.26-all	446	268	548	ABT1
ABTB1_3_c_127395226.27-all	852	448	688	ABTB1
ABTB1_3_c_127395264.23-all	1255	678	981	ABTB1
ABTB1_3_w_127395230.23-all	1163	642	1111	ABTB1
ABTB1_3_w_127395383.26-all	480	249	430	ABTB1
ABTB2_11_c_34379083.23-all	371	196	478	ABTB2
ABTB2_11_c_34379125.28-all	744	434	612	ABTB2
ABTB2_11_w_34379090.24-all	505	267	531	ABTB2
ABTB2_11_w_34379093.26-all	513	217	523	ABTB2
ACAA1_3_c_38178496.25-all	212	85	189	ACAA1
ACAA1_3_c_38178499.24-all	314	193	450	ACAA1
ACAA1_3_w_38178489.26-all	1500	670	1300	ACAA1
ACAA1_3_w_38178490.25-all	868	394	766	ACAA1
ACAA2_18_c_47329192.24-all	337	143	383	ACAA2
ACAA2_18_c_47329193.25-all	794	393	830	ACAA2
ACAA2_18_w_47329174.27-all	495	250	506	ACAA2
ACAA2_18_w_47329186.26-all	799	346	757	ACAA2
ACACA_17_w_35641760.23-all	498	236	684	ACACA
ACACA_17_w_35641791.25-all	742	349	725	ACACA
ACACA_17_w_35641835.27-all	1219	496	1219	ACACA
ACACA_17_w_35641836.26-all	637	277	571	ACACA
ACACB_12_c_109577266.28-all	698	293	770	ACACB
ACACB_12_c_109577278.25-all	483	258	463	ACACB
ACACB_12_c_109577279.26-all	1106	533	1051	ACACB
ACACB_12_w_109577262.28-all	626	274	412	ACACB
ACAD10_12_w_112130538.28-all	2615	1350	2553	ACAD10
ACAD10_12_w_112130539.27-all	1948	1055	1895	ACAD10
ACAD10_12_w_112130540.26-all	1311	735	1274	ACAD10
ACAD10_12_w_112130541.28-all	793	394	722	ACAD10
ACAD11_3_c_132378549.28-all	603	262	483	ACAD11
ACAD11_3_c_132378560.26-all	556	329	665	ACAD11
ACAD11_3_c_132378569.24-all	621	302	607	ACAD11
ACAD11_3_w_132378561.22-all	751	293	786	ACAD11
ACAD8_11_c_134123522.27-all	109	102	314	ACAD8
ACAD8_11_c_134123523.23-all	129	84	444	ACAD8
ACAD8_11_c_134123524.26-all	87	68	437	ACAD8
ACAD8_11_w_134123511.28-all	552	250	480	ACAD8
