Guide	Counts
FCGR1A_1_w_149755643.24.pass1-all	106
FCGR1A_1_w_149755650.28.pass11-all	415
FCGR1B_1_c_120930271.28.pass1-all	385
FCGR1B_1_w_120930239.25.pass1-all	324
FCGR1B_1_w_120930250.26.pass20-all	656
FCGR1B_1_w_120935864.25.fail-all	602
FCGR2A_1_w_161475270.25-all	2180
FCGR2A_1_w_161475271.25-all	1314
FCGR2A_1_w_161475293.26-all	1255
FCGR2A_1_w_161475294.25-all	731
FCGR2B_1_w_161647117.25-all	871
FCGR2B_1_w_161647123.23-all	963
FCGR2B_1_w_161647281.28-all	564
FCGR2B_1_w_161647300.28-all	593
FCGR3A_1_c_161518293.26.pass20-all	802
FCGR3A_1_w_161514537.28.pass20-all	490
FCGR3A_1_w_161514627.27-all	467
FCGR3A_1_w_161518421.25-all	817
FCGR3B_1_c_161596040.22.pass11-all	729
FCGR3B_1_c_161599650.26.pass20-all	402
FCGR3B_1_w_161595981.28.pass20-all	571
FCGR3B_1_w_161599632.26.pass11-all	1121
FCGRT_19_w_50016666.28-all	501
FCGRT_19_w_50016672.28-all	321
FCGRT_19_w_50016678.24-all	300
FCGRT_19_w_50016679.27-all	90
FCHO1_19_c_17875217.23-all	1265
FCHO1_19_c_17875235.26-all	778
FCHO1_19_c_17875245.27-all	262
FCHO1_19_w_17875227.26-all	429
FCHO2_5_c_72251955.24-all	439
FCHO2_5_c_72264373.26-all	532
FCHO2_5_w_72264350.26-all	881
FCHO2_5_w_72264356.27-all	631
FCHSD1_5_c_141030633.27-all	707
FCHSD1_5_c_141030651.28-all	831
FCHSD1_5_c_141030677.28-all	424
FCHSD1_5_w_141030647.28-all	583
FCHSD2_11_c_72851114.27-all	856
FCHSD2_11_w_72726864.25-all	870
FCHSD2_11_w_72726883.28-all	696
FCHSD2_11_w_72726888.23-all	1127
FCN1_9_c_137809690.25-all	870
FCN1_9_c_137809691.26-all	872
FCN1_9_c_137809697.27-all	489
FCN1_9_c_137809700.27-all	143
FCN2_9_c_137772697.28-all	542
FCN2_9_c_137772698.27-all	750
FCN2_9_w_137772693.27-all	414
FCN2_9_w_137772704.26-all	301
FCN3_1_c_27701282.26-all	501
FCN3_1_c_27701283.27-all	953
FCN3_1_w_27701261.28-all	1307
FCN3_1_w_27701262.27-all	756
FCRL1_1_c_157773871.25-all	767
FCRL1_1_c_157773875.27-all	337
FCRL1_1_c_157773876.28-all	857
FCRL1_1_c_157773881.26-all	410
FCRL2_1_c_157740435.27-all	479
FCRL2_1_c_157740445.25-all	380
FCRL2_1_c_157740446.26-all	584
FCRL2_1_w_157740416.26-all	544
FCRL3_1_c_157668393.28-all	814
FCRL3_1_c_157668410.26-all	962
FCRL3_1_c_157668411.26-all	1692
FCRL3_1_c_157668412.28-all	2502
FCRL4_1_c_157559205.28-all	854
FCRL4_1_c_157559223.26-all	700
FCRL4_1_w_157559129.28-all	248
FCRL4_1_w_157559207.24-all	934
FCRL5_1_c_157516977.28-all	495
FCRL5_1_c_157516978.28-all	925
FCRL5_1_w_157522121.26-all	419
FCRL5_1_w_157522127.23-all	635
FCRL6_1_w_159778120.26-all	322
FCRL6_1_w_159778758.25-all	750
FCRL6_1_w_159778761.26-all	821
FCRL6_1_w_159778764.25-all	668
FCRLA_1_c_161677034.24-all	800
FCRLA_1_c_161677063.28-all	751
FCRLA_1_w_161677052.28-all	543
FCRLA_1_w_161677071.27-all	689
FCRLB_1_c_161692492.27-all	694
FCRLB_1_c_161693196.28-all	700
FCRLB_1_w_161693171.28-all	805
FCRLB_1_w_161693191.28-all	510
FDCSP_4_c_71096947.28-all	708
FDCSP_4_w_71096925.24-all	769
FDCSP_4_w_71096928.27-all	656
FDCSP_4_w_71096939.28-all	603
FDFT1_8_w_11660358.28-all	784
FDFT1_8_w_11660364.22-all	227
FDFT1_8_w_11660367.26-all	674
FDFT1_8_w_11660368.27-all	310
FDPS_1_c_155282096.23-all	86
FDPS_1_c_155282110.28-all	465
FDPS_1_c_155282111.28-all	1046
FDPS_1_w_155282157.27-all	556
FDX1L_19_c_10426654.26-all	479
FDX1L_19_c_10426655.27-all	718
FDX1L_19_c_10426661.26-all	875
FDX1L_19_c_10426664.28-all	1418
FDX1_11_c_110300899.27-all	164
FDX1_11_c_110300973.25-all	423
FDX1_11_c_110300974.26-all	724
FDX1_11_c_110300977.28-all	921
FDXACB1_11_c_111749838.27-all	545
FDXACB1_11_c_111749841.28-all	1120
FDXR_17_c_72862986.26-all	988
FDXR_17_c_72862987.24-all	187
FDXR_17_c_72862994.24-all	146
FDXR_17_c_72862995.25-all	297
FECH_18_c_55253811.27-all	249
FECH_18_c_55253819.26-all	229
FECH_18_w_55253821.27-all	155
FEM1A_19_c_4791977.28-all	574
FEM1A_19_c_4791984.23-all	303
FEM1A_19_c_4792146.27-all	257
FEM1A_19_w_4792131.26-all	215
FEM1B_15_c_68570785.28-all	483
FEM1B_15_c_68570788.23-all	820
FEM1B_15_w_68570763.27-all	308
FEM1B_15_w_68570789.28-all	605
FEM1C_5_c_114879110.26-all	888
FEM1C_5_w_114879149.26-all	454
FEM1C_5_w_114879153.26-all	1469
FEM1C_5_w_114879154.25-all	912
FEN1_11_c_61563058.26-all	973
FEN1_11_w_61563039.28-all	115
FEN1_11_w_61563044.26-all	885
FEN1_11_w_61563073.25-all	70
FER1L6_8_c_124968274.26-all	577
FER1L6_8_c_124968284.27-all	554
FER1L6_8_c_124968285.28-all	1010
FER1L6_8_c_124968304.26-all	481
FERD3L_7_c_19184972.28-all	794
FERD3L_7_c_19184977.23-all	932
FERD3L_7_w_19184948.23-all	772
FERD3L_7_w_19184957.26-all	528
FERMT1_20_c_6100139.28-all	677
FERMT1_20_c_6100144.28-all	511
FERMT1_20_c_6100153.26-all	976
FERMT1_20_c_6100169.27-all	570
FERMT2_14_c_53417261.26-all	595
FERMT2_14_w_53417238.25-all	515
FERMT2_14_w_53417239.28-all	1045
FERMT2_14_w_53417243.24-all	598
FERMT3_11_c_63974862.24-all	256
FERMT3_11_c_63974863.25-all	582
FERMT3_11_w_63974855.22-all	613
FERMT3_11_w_63974858.22-all	753
FER_5_c_108133942.27-all	557
FER_5_c_108133943.25-all	417
FER_5_c_108133951.28-all	576
FER_5_c_108133958.26-all	537
FES_15_w_91428288.26-all	371
FES_15_w_91428301.26-all	784
FES_15_w_91428302.25-all	559
FES_15_w_91428310.23-all	400
FETUB_3_w_186358260.28-all	977
FETUB_3_w_186358264.25-all	1540
FETUB_3_w_186358265.24-all	1041
FETUB_3_w_186358266.28-all	905
FEV_2_c_219849771.24-all	1017
FEV_2_c_219849772.22-all	730
FEV_2_c_219849776.25-all	871
FEV_2_c_219849777.26-all	1593
FEZ1_11_c_125359620.27-all	505
FEZ1_11_c_125359631.27-all	711
FEZ1_11_w_125359612.25-all	830
FEZ1_11_w_125359648.23-all	782
FEZ2_2_c_36825235.26-all	392
FEZ2_2_c_36825246.28-all	240
FEZ2_2_w_36825236.25-all	295
FEZ2_2_w_36825242.28-all	394
FEZF1_7_c_121944442.26-all	592
FEZF1_7_c_121944462.27-all	414
FEZF1_7_c_121944476.27-all	581
FEZF1_7_w_121944434.22-all	855
FEZF2_3_c_62358517.26-all	109
FEZF2_3_c_62358525.28-all	547
FEZF2_3_c_62358526.26-all	755
FEZF2_3_w_62358512.28-all	662
FFAR1_19_c_35842482.27-all	378
FFAR1_19_c_35842493.23-all	370
FFAR1_19_w_35842476.28-all	390
FFAR1_19_w_35842483.28-all	394
FFAR2_19_c_35940652.24-all	565
FFAR2_19_w_35940622.24-all	328
FFAR2_19_w_35940638.26-all	821
FFAR2_19_w_35940645.26-all	1219
FFAR3_19_c_35849933.25.pass20-all	416
FFAR3_19_c_35849936.28.pass30-all	650
FFAR3_19_c_35850317.26.pass20-all	585
FFAR3_19_c_35850473.27.pass20-all	412
FFAR4_10_c_95326504.26-all	506
FFAR4_10_w_95326481.26-all	1040
FFAR4_10_w_95326482.28-all	1187
FFAR4_10_w_95326483.27-all	656
FGA_4_c_155511815.27-all	671
FGA_4_c_155511831.24-all	996
FGA_4_w_155511799.26-all	1131
FGA_4_w_155511811.26-all	608
FGB_4_c_155484264.27-all	984
FGB_4_c_155484281.26-all	569
FGB_4_w_155484196.26-all	639
FGB_4_w_155486986.26-all	794
FGD1_X_c_54521847.27-all	2
FGD1_X_c_54521848.28-all	141
FGD1_X_c_54521853.27-all	76
FGD1_X_c_54521856.27-all	162
FGD2_6_c_36973620.26-all	654
FGD2_6_c_36973638.28-all	241
FGD2_6_w_36976613.28-all	577
FGD2_6_w_36976625.28-all	1062
FGD3_9_c_95738572.26-all	503
FGD3_9_w_95738557.28-all	480
FGD3_9_w_95738563.24-all	526
FGD3_9_w_95738568.28-all	355
FGD4_12_c_32729348.27-all	457
FGD4_12_c_32729379.26-all	637
FGD4_12_w_32729339.28-all	882
FGD4_12_w_32729340.23-all	1496
FGD5_3_c_14860688.27-all	1220
FGD5_3_c_14860779.25-all	558
FGD5_3_w_14860590.26-all	180
FGD5_3_w_14860759.26-all	599
FGD6_12_c_95605012.28-all	588
FGD6_12_c_95605013.28-all	1367
FGD6_12_c_95605020.24-all	635
FGD6_12_c_95605021.25-all	1463
FGF10_5_c_44388742.28-all	393
FGF10_5_c_44388743.26-all	789
FGF10_5_c_44388744.27-all	1515
FGF10_5_w_44388731.28-all	966
FGF11_17_c_7342968.24-all	515
FGF11_17_w_7342952.24-all	535
FGF11_17_w_7342959.28-all	805
FGF11_17_w_7342965.26-all	653
FGF12_3_c_192078274.24-all	497
FGF12_3_c_192078289.26-all	923
FGF12_3_w_192078281.24-all	1021
FGF12_3_w_192078282.25-all	533
FGF13_X_c_137791052.26-all	1221
FGF13_X_c_137791065.26-all	483
FGF13_X_c_137791087.28-all	727
FGF13_X_w_137791044.26-all	440
FGF14_13_c_102527621.26-all	429
FGF14_13_c_102527642.22-all	1044
FGF14_13_w_102527600.26-all	431
FGF14_13_w_102527605.27-all	627
FGF17_8_w_21900446.25-all	531
FGF17_8_w_21903635.25-all	330
FGF17_8_w_21903642.28-all	769
FGF17_8_w_21903653.25-all	868
FGF18_5_c_170863120.25-all	810
FGF18_5_c_170863138.28-all	1258
FGF18_5_w_170863106.26-all	761
FGF18_5_w_170863131.24-all	683
FGF19_11_c_69518608.27-all	212
FGF19_11_c_69518620.25-all	429
FGF19_11_w_69518604.23-all	1058
FGF19_11_w_69518611.28-all	604
FGF1_5_c_141993634.28-all	387
FGF1_5_c_141993637.28-all	1363
FGF1_5_c_141993659.26-all	394
FGF1_5_c_141993660.28-all	752
FGF20_8_c_16859527.26-all	207
FGF20_8_c_16859533.24-all	497
FGF20_8_c_16859534.25-all	1161
FGF20_8_w_16859517.22-all	576
FGF21_19_c_49259527.26-all	579
FGF21_19_c_49259534.28-all	804
FGF21_19_c_49259535.24-all	860
FGF21_19_c_49259551.25-all	404
FGF22_19_w_639933.26-all	366
FGF22_19_w_639936.26-all	418
FGF22_19_w_639948.27-all	717
FGF22_19_w_639953.25-all	247
FGF23_12_c_4488713.26-all	809
FGF23_12_c_4488733.28-all	497
FGF23_12_c_4488736.25-all	848
FGF23_12_w_4488720.26-all	238
FGF2_4_c_123747974.26-all	427
FGF2_4_w_123747969.27-all	517
FGF2_4_w_123747975.27-all	480
FGF2_4_w_123747976.26-all	271
FGF3_11_c_69633660.28-all	232
FGF3_11_c_69633671.27-all	455
FGF3_11_w_69633653.25-all	536
FGF3_11_w_69633657.27-all	740
FGF4_11_c_69589816.27-all	287
FGF4_11_c_69589832.26-all	261
FGF4_11_c_69589841.28-all	434
FGF4_11_c_69589842.25-all	595
FGF5_4_w_81188001.28-all	490
FGF5_4_w_81188013.28-all	759
FGF5_4_w_81188016.25-all	505
FGF5_4_w_81188030.26-all	738
FGF6_12_c_4554700.27-all	825
FGF6_12_c_4554701.26-all	1459
FGF6_12_c_4554730.24-all	1079
FGF6_12_w_4554697.25-all	1095
FGF7_15_c_49716569.24-all	914
FGF7_15_c_49716570.25-all	2203
FGF7_15_w_49716520.24-all	649
FGF7_15_w_49716524.24-all	589
FGF8_10_c_103534591.25-all	657
FGF8_10_c_103534594.28-all	1165
FGF8_10_c_103534597.28-all	1042
FGF8_10_c_103534618.28-all	634
FGF9_13_c_22246093.28-all	285
FGF9_13_c_22246099.27-all	1213
FGF9_13_w_22246057.27-all	705
FGF9_13_w_22246102.26-all	639
FGFBP1_4_c_15938222.25-all	570
FGFBP1_4_c_15938234.27-all	447
FGFBP1_4_c_15938235.25-all	755
FGFBP1_4_w_15938166.27-all	179
FGFBP2_4_c_15964738.25-all	568
FGFBP2_4_c_15964739.26-all	1543
FGFBP2_4_c_15964740.28-all	2178
FGFBP2_4_w_15964724.26-all	637
FGFBP3_10_c_93668716.23-all	714
FGFBP3_10_c_93668719.22-all	566
FGFBP3_10_w_93668645.28-all	884
FGFBP3_10_w_93668653.26-all	506
FGFR1OP2_12_c_27109519.27-all	888
FGFR1OP2_12_c_27109525.24-all	749
FGFR1OP2_12_w_27110566.27-all	261
FGFR1OP2_12_w_27110637.28-all	391
FGFR1OP_6_c_167412933.28-all	508
FGFR1OP_6_c_167412942.28-all	332
FGFR1OP_6_w_167412916.25-all	65
FGFR1OP_6_w_167412928.27-all	356
FGFR1_8_c_38285588.26-all	909
FGFR1_8_c_38285589.27-all	1463
FGFR1_8_c_38285610.25-all	408
FGFR1_8_w_38285899.25-all	1322
FGFR2_10_c_123353290.28-all	713
FGFR2_10_c_123353304.24-all	390
FGFR2_10_w_123353294.27-all	798
FGFR2_10_w_123353300.28-all	569
FGFR3_4_w_1795668.26-all	2527
FGFR3_4_w_1795669.25-all	1721
FGFR3_4_w_1795670.24-all	735
FGFR3_4_w_1795680.25-all	645
FGFR4_5_c_176516630.24-all	274
FGFR4_5_w_176516619.27-all	1446
FGFR4_5_w_176516620.27-all	789
FGFR4_5_w_176516632.28-all	1122
FGFRL1_4_w_1006279.28-all	634
FGFRL1_4_w_1006284.27-all	1277
FGFRL1_4_w_1006285.28-all	867
FGFRL1_4_w_1006286.27-all	507
FGGY_1_c_59787250.24-all	588
FGGY_1_c_59787260.23-all	331
FGGY_1_c_59787261.24-all	760
FGGY_1_w_59787242.27-all	875
FGG_4_c_155533740.27-all	301
FGG_4_c_155533741.23-all	331
FGG_4_c_155533742.24-all	701
FGG_4_c_155533750.26-all	244
FGL1_8_c_17743028.28-all	841
FGL1_8_c_17743039.28-all	670
FGL1_8_w_17743009.27-all	1813
FGL1_8_w_17743013.23-all	1140
FGL2_7_c_76829066.25-all	514
FGL2_7_w_76829043.25-all	432
FGL2_7_w_76829049.25-all	971
FGL2_7_w_76829057.27-all	592
FGR_1_c_27950396.26-all	1121
FGR_1_w_27950390.28-all	936
FGR_1_w_27950393.27-all	586
FGR_1_w_27950399.26-all	229
FHDC1_4_c_153864236.26-all	1236
FHDC1_4_c_153864288.26-all	1099
FHDC1_4_w_153864264.27-all	589
FHDC1_4_w_153864272.28-all	388
FHIT_3_c_60522630.25-all	818
FHIT_3_c_60522660.27-all	507
FHIT_3_c_60522661.28-all	920
FHIT_3_w_60522611.27-all	575
FHL1_X_c_135288623.25-all	1090
FHL1_X_c_135288624.26-all	2121
FHL1_X_c_135288636.27-all	450
FHL1_X_c_135288637.28-all	1093
FHL2_2_c_106002913.25-all	215
FHL2_2_c_106002949.25-all	535
FHL2_2_c_106002952.28-all	900
FHL2_2_w_106002926.28-all	545
FHL3_1_c_38465045.22-all	697
FHL3_1_c_38465046.24-all	494
FHL3_1_w_38465010.28-all	882
FHL3_1_w_38465037.26-all	518
FHL5_6_c_97051538.28-all	731
FHL5_6_c_97051615.28-all	697
FHL5_6_c_97052651.27-all	647
FHL5_6_w_97051567.25-all	721
FHOD1_16_c_67281279.28-all	526
FHOD1_16_c_67281295.24-all	281
FHOD1_16_w_67281276.28-all	298
FHOD1_16_w_67281284.27-all	106
FHOD3_18_c_33877831.22-all	945
FHOD3_18_c_33877840.27-all	532
FHOD3_18_w_33877802.26-all	672
FHOD3_18_w_33877815.28-all	728
FH_1_c_241682983.25-all	322
FH_1_c_241682985.27-all	642
FH_1_c_241683001.26-all	254
FH_1_c_241683016.27-all	345
FIBCD1_9_c_133813982.22-all	67
FIBCD1_9_w_133813962.23-all	159
FIBCD1_9_w_133813965.27-all	231
FIBCD1_9_w_133813966.26-all	131
FIBIN_11_c_27016125.27-all	504
FIBIN_11_c_27016137.28-all	810
FIBIN_11_w_27016111.28-all	1342
FIBIN_11_w_27016114.28-all	579
FIBP_11_c_65655850.25-all	754
FIBP_11_c_65655851.26-all	1311
FIBP_11_w_65655804.24-all	932
FIBP_11_w_65655837.23-all	1861
FICD_12_c_108910779.26-all	550
FICD_12_c_108910799.25-all	651
FICD_12_w_108910761.26-all	1047
FICD_12_w_108910791.24-all	782
FIG4_6_w_110012641.27-all	708
FIG4_6_w_110012642.26-all	337
FIG4_6_w_110012648.26-all	652
FIG4_6_w_110012654.27-all	806
FIGF_X_w_15401988.24-all	730
FIGF_X_w_15402006.27-all	1350
FIGF_X_w_15402007.26-all	828
FIGF_X_w_15402013.28-all	853
FIGLA_2_c_71017757.23-all	600
FIGLA_2_c_71017762.28-all	379
FIGLA_2_c_71017763.24-all	317
FIGLA_2_c_71017764.24-all	406
FIGNL1_7_c_50514905.24-all	839
FIGNL1_7_c_50514955.25-all	734
FIGNL1_7_c_50514977.24-all	862
FIGNL1_7_w_50514914.27-all	877
FIGN_2_c_164468284.28-all	943
FIGN_2_c_164468285.26-all	1962
FIGN_2_c_164468295.28-all	1027
FIGN_2_w_164468278.28-all	454
FILIP1L_3_c_99569758.27-all	445
FILIP1L_3_w_99569768.28-all	585
FILIP1L_3_w_99569775.25-all	642
FILIP1L_3_w_99569789.26-all	659
FILIP1_6_c_76124633.26-all	806
FILIP1_6_c_76124638.26-all	373
FILIP1_6_w_76124646.23-all	884
FILIP1_6_w_76124647.23-all	1102
FIP1L1_4_c_54244038.22-all	436
FIP1L1_4_c_54244048.26-all	104
FIP1L1_4_w_54244012.25-all	135
FIP1L1_4_w_54244028.27-all	156
FIS1_7_c_100887373.26-all	685
FIS1_7_w_100888248.28-all	1595
FIS1_7_w_100888251.28-all	858
FIS1_7_w_100888260.22-all	705
FITM1_14_c_24600805.27-all	21
FITM1_14_c_24600807.28-all	325
FITM1_14_c_24600808.26-all	575
FITM1_14_c_24600813.27-all	614
FITM2_20_w_42939750.26-all	1550
FITM2_20_w_42939751.26-all	1026
FITM2_20_w_42939752.25-all	631
FITM2_20_w_42939761.25-all	616
FIZ1_19_c_56109212.26-all	595
FIZ1_19_c_56109213.28-all	1096
FIZ1_19_c_56109214.26-all	1227
FIZ1_19_c_56109218.28-all	960
FJX1_11_c_35640220.27-all	534
FJX1_11_w_35640206.27-all	452
FJX1_11_w_35640209.24-all	197
FJX1_11_w_35640212.25-all	252
FKBP10_17_w_39969291.26-all	391
FKBP10_17_w_39969292.24-all	164
FKBP10_17_w_39969293.27-all	188
FKBP10_17_w_39969300.28-all	232
FKBP11_12_c_49317612.25-all	634
FKBP11_12_w_49317600.27-all	942
FKBP11_12_w_49318005.24-all	1179
FKBP11_12_w_49318006.23-all	518
FKBP14_7_c_30066057.28-all	1025
FKBP14_7_w_30066066.23-all	1443
FKBP14_7_w_30066067.28-all	1289
FKBP14_7_w_30066068.27-all	757
FKBP15_9_c_115973860.28-all	371
FKBP15_9_c_115983494.23-all	142
FKBP15_9_w_115983470.23-all	521
FKBP15_9_w_115983473.26-all	846
FKBP1A_20_c_1373512.27-all	1099
FKBP1A_20_c_1373514.22.pass20-all	649
FKBP1A_20_c_1373518.26-all	1212
FKBP1A_20_w_1373503.22-all	932
FKBP1B_2_c_24272750.26-all	945
FKBP1B_2_w_24276782.28-all	1809
FKBP1B_2_w_24276783.27-all	1073
FKBP1B_2_w_24276793.24-all	944
FKBP2_11_c_64009916.28-all	234
FKBP2_11_w_64009876.28-all	420
FKBP2_11_w_64009882.28-all	668
FKBP2_11_w_64009896.28-all	39
FKBP3_14_c_45603643.28-all	541
FKBP3_14_c_45603648.23-all	754
FKBP3_14_w_45603629.25-all	731
FKBP3_14_w_45603634.23-all	520
FKBP4_12_c_2904339.26-all	303
FKBP4_12_c_2904340.27-all	582
FKBP4_12_c_2904350.26-all	700
FKBP4_12_w_2904330.25-all	140
FKBP5_6_c_35610581.28-all	198
FKBP5_6_w_35610508.27-all	353
FKBP5_6_w_35610536.28-all	1344
FKBP5_6_w_35610537.27-all	725
FKBP6_7_c_72745689.26-all	592
FKBP6_7_w_72744278.27-all	324
FKBP6_7_w_72744285.25-all	1044
FKBP6_7_w_72745677.26-all	417
FKBP7_2_c_179343131.27-all	685
FKBP7_2_w_179343170.28-all	1389
FKBP7_2_w_179343171.27-all	921
FKBP7_2_w_179343172.26-all	492
FKBP8_19_c_18652745.27-all	574
FKBP8_19_c_18652751.27-all	417
FKBP8_19_c_18652752.28-all	580
FKBP8_19_c_18652760.28-all	588
FKBP9_7_w_32997193.27-all	412
FKBP9_7_w_32997207.27-all	380
FKBP9_7_w_32997226.26-all	472
FKBP9_7_w_32997246.27-all	312
FKBPL_6_c_32097508.25-all	971
FKBPL_6_c_32097544.27-all	626
FKBPL_6_w_32097494.27-all	799
FKBPL_6_w_32097528.24-all	627
FKRP_19_w_47258717.28-all	1224
FKRP_19_w_47258718.27-all	593
FKRP_19_w_47258724.27-all	436
FKRP_19_w_47258732.27-all	768
FKTN_9_c_108337337.23-all	611
FKTN_9_c_108337343.27-all	720
FKTN_9_w_108337344.25-all	968
FKTN_9_w_108337345.24-all	591
FLAD1_1_c_154960580.27-all	39
FLAD1_1_c_154960581.28-all	430
FLAD1_1_w_154960596.27-all	493
FLAD1_1_w_154960602.26-all	589
FLCN_17_c_17131404.27-all	366
FLCN_17_c_17131405.28-all	933
FLCN_17_c_17131412.27-all	318
FLCN_17_c_17131427.26-all	448
FLG2_1_c_152331304.27-all	682
FLG2_1_c_152331331.26-all	593
FLG2_1_c_152331355.26-all	754
FLG2_1_w_152331269.25-all	865
FLG_1_c_152287219.27-all	1118
FLG_1_c_152287903.28-all	375
FLG_1_w_152287806.25-all	533
FLG_1_w_152287829.28-all	457
FLI1_11_c_128675296.26-all	848
FLI1_11_w_128651864.26-all	410
FLI1_11_w_128651876.24-all	416
FLI1_11_w_128651885.26-all	730
FLII_17_c_18160304.27-all	775
FLII_17_c_18160320.23-all	690
FLII_17_c_18160321.24-all	951
FLII_17_w_18160305.24-all	190
FLNA_X_c_153599601.27-all	671
FLNA_X_c_153599602.28-all	1181
FLNA_X_w_153599587.22-all	451
FLNA_X_w_153599588.23-all	226
FLNB_3_c_57994321.25-all	1000
FLNB_3_c_57994332.25-all	1254
FLNB_3_w_57994294.23-all	1052
FLNB_3_w_57994377.25-all	1244
FLNC_7_c_128470722.27-all	553
FLNC_7_c_128470728.25-all	386
FLNC_7_w_128470719.25-all	762
FLNC_7_w_128470723.25-all	630
FLOT1_6_c_30709629.25-all	687
FLOT1_6_c_30709947.24-all	668
FLOT1_6_c_30709948.24-all	767
FLOT1_6_w_30709938.26-all	1211
FLOT2_17_c_27216028.26-all	478
FLOT2_17_c_27224567.23-all	369
FLOT2_17_c_27224580.26-all	320
FLOT2_17_w_27224549.23-all	255
FLRT1_11_w_63883754.25-all	215
FLRT1_11_w_63883767.28-all	1742
FLRT1_11_w_63883770.28-all	1198
FLRT1_11_w_63883773.28-all	289
FLRT2_14_c_86087892.24-all	562
FLRT2_14_w_86087863.25-all	656
FLRT2_14_w_86087883.28-all	673
FLRT2_14_w_86087887.24-all	389
FLRT3_20_c_14308125.28-all	471
FLRT3_20_w_14308105.28-all	790
FLRT3_20_w_14308116.27-all	1708
FLRT3_20_w_14308117.26-all	695
FLT1_13_c_29041724.25-all	516
FLT1_13_c_29068953.26-all	1026
FLT1_13_c_29068960.26-all	582
FLT1_13_w_29068955.23-all	913
FLT3LG_19_c_49978991.28-all	687
FLT3LG_19_w_49978958.28-all	724
FLT3LG_19_w_49978993.27-all	1400
FLT3LG_19_w_49978994.26-all	681
FLT3_13_c_28636195.22-all	524
FLT3_13_c_28644701.28-all	242
FLT3_13_c_28674643.24-all	544
FLT3_13_w_28644648.22-all	895
FLT4_5_c_180076521.26-all	254
FLT4_5_c_180076531.26-all	588
FLT4_5_w_180076499.24-all	515
FLT4_5_w_180076509.26-all	910
FLVCR1_1_c_213031819.24-all	570
FLVCR1_1_c_213031820.25-all	1501
FLVCR1_1_c_213031821.23-all	294
FLVCR1_1_w_213031803.23-all	423
FLVCR2_14_c_76088460.24-all	940
FLVCR2_14_w_76088451.28-all	621
FLVCR2_14_w_76088463.25-all	1241
FLVCR2_14_w_76088464.24-all	469
FLYWCH1_16_w_2979755.28-all	956
FLYWCH1_16_w_2979783.27-all	397
FLYWCH1_16_w_2979791.28-all	1019
FLYWCH1_16_w_2979792.27-all	434
FLYWCH2_16_w_2946519.27-all	807
FLYWCH2_16_w_2946547.27-all	421
FLYWCH2_16_w_2946555.28-all	984
FLYWCH2_16_w_2946556.27-all	599
FMN1_15_c_33360023.27-all	769
FMN1_15_c_33360030.25-all	1373
FMN1_15_w_33360056.24-all	566
FMN1_15_w_33360060.23-all	1014
FMN2_1_c_240255438.26-all	321
FMN2_1_c_240255446.27-all	686
FMN2_1_c_240255464.27-all	685
FMN2_1_w_240255417.27-all	749
FMNL1_17_c_43299528.27-all	418
FMNL1_17_w_43299513.28-all	391
FMNL1_17_w_43299531.28-all	820
FMNL1_17_w_43299534.28-all	404
FMNL2_2_c_153192161.24-all	878
FMNL2_2_c_153192162.26-all	1521
FMNL2_2_w_153192151.25-all	1045
FMNL2_2_w_153192174.26-all	452
FMNL3_12_c_50100943.28-all	135
FMNL3_12_c_50100954.24-all	15
FMNL3_12_w_50100935.24-all	157
FMNL3_12_w_50100936.24-all	350
FMO1_1_c_171227250.23-all	1401
FMO1_1_c_171227251.24-all	1842
FMO1_1_w_171227230.25-all	876
FMO1_1_w_171227242.27-all	473
FMO2_1_c_171154877.24-all	342
FMO2_1_c_171154884.25-all	644
FMO2_1_c_171154885.26-all	1285
FMO2_1_c_171154918.28-all	518
FMO3_1_c_171061830.28-all	558
FMO3_1_c_171061839.27-all	743
FMO3_1_c_171061855.24-all	749
FMO3_1_w_171061848.27-all	520
FMO4_1_c_171289030.28-all	893
FMO4_1_c_171289076.25-all	886
FMO4_1_w_171288968.25-all	741
FMO4_1_w_171289013.26-all	1249
FMO5_1_w_146696577.26-all	330
FMO5_1_w_146696586.27-all	555
FMO5_1_w_146696591.28-all	1065
FMO5_1_w_146696592.27-all	573
FMOD_1_c_203317380.25-all	395
FMOD_1_c_203317383.28-all	888
FMOD_1_c_203317384.28-all	1415
FMOD_1_c_203317387.26-all	670
FMR1NB_X_c_147062949.26-all	881
FMR1NB_X_c_147062950.27-all	1283
FMR1NB_X_c_147062951.28-all	1667
FMR1NB_X_c_147062960.25-all	775
FMR1_X_c_146993724.26-all	564
FMR1_X_c_146993725.27-all	1234
FMR1_X_c_146993734.26-all	673
FMR1_X_w_147007079.26-all	769
FN1_2_c_216300483.28-all	788
FN1_2_c_216300487.28-all	1450
FN1_2_c_216300512.26-all	506
FN1_2_w_216300488.28-all	266
FN3KRP_17_c_80674658.26-all	662
FN3KRP_17_c_80674659.24-all	698
FN3KRP_17_c_80674675.28-all	805
FN3KRP_17_w_80674642.25-all	649
FN3K_17_w_80693531.24-all	428
FN3K_17_w_80693543.26-all	197
FN3K_17_w_80693549.22-all	298
FN3K_17_w_80693550.25-all	264
FNBP1L_1_c_93965059.23-all	910
FNBP1L_1_c_93965060.24-all	1425
FNBP1L_1_c_93965061.25-all	2280
FNBP1L_1_c_93965104.26-all	835
FNBP1_9_c_132740864.26-all	953
