Guide	Counts
ABCA8_17_w_66938135.26-all	765
ABCA9_17_w_67047227.27-all	1399
ABCA9_17_w_67047228.26-all	718
ABCA9_17_w_67047241.24-all	1763
ABCA9_17_w_67047242.23-all	1087
ABCB10_1_c_229694388.26-all	655
ABCB10_1_c_229694389.27-all	1288
ABCB10_1_c_229694390.28-all	1894
ABCB10_1_w_229694369.28-all	475
ABCB11_2_c_169869957.26-all	314
ABCB11_2_w_169870825.27-all	952
ABCB11_2_w_169870837.27-all	470
ABCB11_2_w_169874589.24-all	532
ABCB1_7_c_87229482.28-all	921
ABCB1_7_w_87214953.26-all	819
ABCB1_7_w_87229471.27-all	794
ABCB1_7_w_87229474.24-all	273
ABCB4_7_c_87104740.27-all	622
ABCB4_7_c_87104741.28-all	998
ABCB4_7_c_87104749.26-all	416
ABCB4_7_w_87104729.27-all	326
ABCB5_7_c_20691083.28-all	787
ABCB5_7_c_20691103.24-all	489
ABCB5_7_c_20691108.26-all	592
ABCB5_7_w_20691095.26-all	655
ABCB6_2_c_220083366.23-all	268
ABCB6_2_w_220083359.24-all	2111
ABCB6_2_w_220083360.26-all	609
ABCB6_2_w_220083367.25-all	552
ABCB7_X_w_74376070.25-all	301
ABCB7_X_w_74376073.26-all	992
ABCB7_X_w_74376074.28-all	461
ABCB7_X_w_74376080.24-all	242
ABCB8_7_c_150725627.24-all	352
ABCB8_7_c_150725628.25-all	955
ABCB8_7_c_150725634.25-all	418
ABCB8_7_c_150725635.26-all	895
ABCB9_12_c_123444720.26-all	502
ABCB9_12_c_123444747.28-all	727
ABCB9_12_w_123444733.25-all	785
ABCB9_12_w_123444748.26-all	933
ABCC10_6_w_43399883.26-all	534
ABCC10_6_w_43399894.26-all	696
ABCC10_6_w_43399898.28-all	814
ABCC10_6_w_43399899.23-all	1175
ABCC11_16_c_48265787.28-all	514
ABCC11_16_c_48265803.27-all	623
ABCC11_16_c_48265804.28-all	1292
ABCC11_16_w_48265791.28-all	873
ABCC12_16_c_48180314.23-all	594
ABCC12_16_c_48180318.23-all	650
ABCC12_16_c_48180319.28-all	1401
ABCC12_16_w_48180298.28-all	997
ABCC1_16_c_16043639.27-all	371
ABCC1_16_c_16043655.26-all	560
ABCC1_16_w_16101694.26-all	619
ABCC2_10_c_101542633.25-all	1229
ABCC2_10_w_101544368.25-all	763
ABCC2_10_w_101544375.26-all	575
ABCC2_10_w_101544396.24-all	457
ABCC3_17_c_48712328.26-all	444
ABCC3_17_c_48712341.24-all	567
ABCC3_17_w_48712304.28-all	921
ABCC3_17_w_48712305.25-all	521
ABCC4_13_c_95953540.24-all	849
ABCC4_13_c_95953553.26-all	685
ABCC4_13_c_95953560.28-all	741
ABCC4_13_c_95953561.28-all	1690
ABCC5_3_c_183732109.26-all	932
ABCC5_3_w_183732096.25-all	398
ABCC5_3_w_183732097.28-all	927
ABCC5_3_w_183732133.28-all	749
ABCC6_16_c_16315538.27.pass20-all	512
ABCC6_16_c_16315547.26.pass11-all	246
ABCC6_16_c_16315553.27.pass1-all	604
ABCC6_16_c_16317286.22.fail-all	288
ABCC8_11_c_17498312.28-all	820
ABCC8_11_c_17498317.25-all	577
ABCC8_11_c_17498318.26-all	1012
ABCC8_11_c_17498319.28-all	1720
ABCC9_12_c_22089524.26-all	696
ABCC9_12_c_22089525.27-all	1025
ABCC9_12_c_22089602.27-all	633
ABCC9_12_w_22089529.28-all	929
ABCD1_X_w_152990724.28-all	271
ABCD1_X_w_152990734.28-all	458
ABCD1_X_w_152990739.25-all	778
ABCD1_X_w_152990740.24-all	336
ABCD2_12_c_40013373.28-all	533
ABCD2_12_w_40013350.26-all	1201
ABCD2_12_w_40013351.26-all	780
ABCD2_12_w_40013375.24-all	659
ABCD3_1_c_94884061.26-all	582
ABCD3_1_c_94884083.27-all	534
ABCD3_1_w_94884071.27-all	586
ABCD3_1_w_94884093.26-all	683
ABCD4_14_c_74766937.27-all	773
ABCD4_14_c_74766968.27-all	620
ABCD4_14_c_74766969.28-all	1262
ABCD4_14_w_74766940.25-all	680
ABCE1_4_c_146030369.27-all	572
ABCE1_4_c_146031294.28-all	506
ABCE1_4_w_146031260.23-all	230
ABCE1_4_w_146033406.25-all	52
ABCF1_6_c_30545627.25-all	281
ABCF1_6_c_30545631.24-all	319
ABCF1_6_c_30545632.28-all	475
ABCF1_6_c_30545633.25-all	814
ABCF2_7_c_150921995.27-all	1240
ABCF2_7_c_150923435.26-all	488
ABCF2_7_w_150923411.28-all	767
ABCF2_7_w_150923478.25-all	890
ABCF3_3_c_183904021.25-all	325
ABCF3_3_w_183904008.24-all	451
ABCF3_3_w_183904015.28-all	493
ABCF3_3_w_183904030.25-all	848
ABCG1_21_c_43645810.28-all	464
ABCG1_21_c_43645822.25-all	439
ABCG1_21_c_43645834.25-all	751
ABCG1_21_w_43645784.25-all	1008
ABCG2_4_c_89061085.28-all	194
ABCG2_4_c_89061087.23-all	720
ABCG2_4_c_89061097.26-all	554
ABCG2_4_w_89061059.25-all	1171
ABCG4_11_c_119020703.26-all	365
ABCG4_11_c_119020709.27-all	742
ABCG4_11_c_119020715.27-all	887
ABCG4_11_w_119020697.28-all	528
ABCG5_2_c_44065809.27-all	360
ABCG5_2_w_44065785.27-all	1250
ABCG5_2_w_44065786.28-all	1439
ABCG5_2_w_44065789.25-all	893
ABCG8_2_c_44066220.27-all	582
ABCG8_2_c_44066221.28-all	819
ABCG8_2_w_44066196.27-all	383
ABCG8_2_w_44066225.27-all	572
ABHD10_3_c_111697935.26-all	661
ABHD10_3_c_111697938.25-all	959
ABHD10_3_c_111697943.27-all	619
ABHD10_3_w_111697939.26-all	636
ABHD11_7_c_73153080.26-all	215
ABHD11_7_c_73153094.26-all	368
ABHD11_7_c_73153115.25-all	444
ABHD11_7_c_73153119.24-all	403
ABHD12B_14_c_51338916.23-all	671
ABHD12B_14_w_51338909.28-all	367
ABHD12B_14_w_51338931.27-all	250
ABHD12B_14_w_51338935.28-all	511
ABHD12_20_c_25371313.26-all	799
ABHD12_20_c_25371319.26-all	791
ABHD12_20_c_25371320.27-all	1322
ABHD12_20_c_25371325.27-all	812
ABHD13_13_c_108881607.25-all	712
